Theta_calculated,yaw_world,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,Time,odom_world_velocity_x,odom_world_velocity_y,odom_angular_velocity,odom_yaw_world
3.141589674640039,3.141493808614076,-2.2863119533783898e-07,2.2863119533682453e-07,-6.810808431318283e-13,4.904974386880697e-06,6.268449006398269e-05,0.0004213341119075,8.119528054142938e-07,8.833016563879722e-09,1.2732220167066544e-08,7.613418811579089e-09,-6.815453323505024e-15,1.6333564708312722e-07,-2.251884903805545e-05,0.358,2.251884892803112e-05,-2.2260374079397708e-09,-2.7829323763691097e-08,3.1414938014056606
3.141589837975686,3.1414831406581523,0.0001415940389249,-0.0001415940389244,3.986741735092224e-10,-9.59306639456644e-05,0.0042589390426518,-0.0030280972472235,-3.5089426501950377e-06,-1.0552733468400175e-05,-1.0667955923970853e-05,-4.7150814962218e-06,1.1367617294408782e-11,-3.194491109390625e-06,0.0002237213039842,0.392,-0.0002237213026885,2.4077414879804008e-08,-0.0002633686727496,3.141485031228858
3.1415866434845765,3.1414718085849134,5.388129826264417e-05,-5.388129826167104e-05,3.2383227177089824e-10,-0.0003672282239225,-0.0026340162361058,-0.0081470738731806,-1.148703003917527e-06,2.415996859653109e-07,-1.133207323888996e-05,-1.794247232058979e-06,1.8162262907194774e-11,-1.2228699856621878e-05,4.641983189345858e-07,0.426,-4.641983155343703e-07,5.6184950135905046e-11,-0.0004028276745471,3.141471617067296
3.14157441478472,3.141478272047918,-2.897474317635158e-06,2.89747431715323e-06,-5.2846469281796085e-11,8.289301008046169e-05,-0.001705068245654,0.0135171541742654,6.836323986070258e-08,-4.143762836284572e-07,6.463463005257353e-06,9.648589476639709e-08,-1.433462933090941e-12,2.7603372356793744e-06,-2.559123043124821e-06,0.46,2.5591230260067048e-06,-2.9599785652505477e-10,0.0001613434714893,3.141476989804896
3.1415771751219554,3.1414881762733704,-2.1427233637927974e-06,2.142723363536117e-06,-3.316607467043047e-11,0.0002249047189533,2.2665193809079893e-05,0.0042646158820695,1.0131232560262744e-07,-6.429604697850785e-07,9.904225451773384e-06,7.135268801048454e-08,-6.94392818289556e-13,7.4893271411474995e-06,-3.12456290983914e-06,0.494,3.1245628922807298e-06,-3.312472120856207e-10,0.0002897852487567,3.14148663965368
3.141584664449097,3.1414989224195926,-9.723744030990702e-07,9.723744030680388e-07,-7.76843591568842e-12,0.0002540278390994,3.5145614435247056e-05,0.0008745681725543,1.0975614317138701e-07,-6.990429255707801e-07,1.0746146222206931e-05,3.238006762281316e-08,-5.691167772360522e-14,8.459127042011256e-06,-3.266228123927207e-06,0.528,3.266228108985397e-06,-3.1242073678610355e-10,0.0003111739898919,3.141497001747543
3.1414989224195926,3.141509888441497,-2.58115208950478e-07,2.5811520781663824e-07,-2.419344054608269e-11,0.0002634082725696,2.144922504950728e-05,0.0002816946988052,1.1195657613136124e-07,-7.13696049563188e-07,1.096602190431284e-05,8.595236457873512e-09,5.894359522736452e-14,8.771495476569375e-06,-3.30538830680467e-06,0.562,3.3053882948554654e-06,-2.8105786112803684e-10,0.0003189679390017,3.141507623379912
3.141509888441497,3.141520913024347,3.728085347027164e-07,-3.728085334258342e-07,3.0855553625575387e-11,0.000272977979305,1.8946658968564392e-05,0.0002873785806431,1.12549719046352e-07,-7.175947592472962e-07,1.1024582850183153e-05,-1.2414524204083418e-08,-1.9600685009740066e-13,9.090166710858752e-06,-3.3164910215220563e-06,0.5960000000000001,3.316491012438483e-06,-2.454611538467042e-10,0.0003308679324514,3.1415186412820626
3.141520913024347,3.1415319534663526,9.82485620788274e-07,-9.824856182599905e-07,7.048407391758524e-11,0.0002631861859922,1.83086212037705e-05,-0.0002940478472306,1.1271719526761458e-07,-7.186466463433908e-07,1.1040442005505469e-05,-3.271677116284951e-08,-8.08616147014927e-13,8.764099993543128e-06,-3.319548566498902e-06,0.63,3.319548559848686e-06,-2.101224077482924e-10,0.0003217363030382,3.1415293551009538
3.1415319534663526,3.14154299846263,1.6489263199279393e-06,-1.6489263168902005e-06,1.0009003110266128e-10,0.000259300163448,2.001323420839835e-05,-0.0001166973736997,1.1277197639342901e-07,-7.189448498536732e-07,1.1044996277576049e-05,-5.49092464217195e-08,-1.834795772185941e-12,8.634695442821246e-06,-3.3205497213188648e-06,0.664,3.3205497167289474e-06,-1.745912341525092e-10,0.0003219061156306,3.1415400745746043
