Time,yaw_world,delta_position_x_world,delta_position_y_world,delta_yaw,Theta_calculated,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,odom_world_velocity_x,odom_world_velocity_y,odom_angular_velocity,odom_yaw_world
0.36900000000000005,3.1414825425066275,-3.7468354974843493e-06,-1.0734977404651514e-05,-1.1268669898090167e-05,3.1415911668236025,0.00014159403892496846,-0.00014159403892481195,2.105172298822484e-10,-9.59306639456644e-05,0.00425893904265184,-0.0030280972472235762,-4.7150814962283836e-06,8.193631718865987e-12,-3.194491109390625e-06,0.0002237213039842,-0.00022372130268856588,2.4077414879804008e-08,-0.00026336867274966564,3.141485031228858
0.403,3.141471861374055,-9.378664429680536e-07,4.206414505733397e-07,-1.0681132572631924e-05,3.141587972332493,5.388129826264417e-05,-5.388129826205379e-05,2.522322208322893e-10,-0.00036722822392257887,-0.0026340162361058344,-0.008147073873180614,-1.7942472320707977e-06,1.695453064313922e-11,-1.2228699856621878e-05,4.641983189345858e-07,-4.641983155343703e-07,5.618495013590505e-11,-0.0004028276745471315,3.1414716170672956
0.437,3.141478537214482,7.01655492865369e-08,-4.284602921408588e-07,6.675840427128321e-06,3.1415757436326364,-2.897474317635158e-06,2.8974743172208966e-06,-4.899616657201996e-11,8.289301008046169e-05,-0.0017050682456540337,0.013517154174265482,9.648589476734007e-08,-1.368515262127329e-12,2.7603372356793744e-06,-2.559123043124821e-06,2.5591230260067048e-06,-2.959978565250548e-10,0.00016134347148934536,3.141476989804896
0.47100000000000003,3.141488485542095,1.017577721234442e-07,-6.458956934494666e-07,9.948327612807617e-06,3.141578503969872,-2.1427233637927974e-06,2.142723363578298e-06,-3.0318721192932055e-11,0.00022490471895337833,2.2665193809079893e-05,0.004264615882069568,7.13526880109358e-08,-6.463641465219043e-13,7.4893271411474995e-06,-3.12456290983914e-06,3.1245628922807298e-06,-3.312472120856207e-10,0.0002897852487567394,3.14148663965368
0.505,3.141499243147818,1.0987061116549648e-07,-6.998067430505891e-07,1.0757605723110686e-05,3.141585993297013,-9.723744030990702e-07,9.72374403077503e-07,-6.476298216448501e-12,0.0002540278390994371,3.5145614435247056e-05,0.0008745681725543176,3.238006762284413e-08,-3.5116032512277835e-14,8.459127042011256e-06,-3.266228123927207e-06,3.2662281089853975e-06,-3.124207367861036e-10,0.00031117398989198293,3.141497001747543
0.539,3.1415102122118053,1.1198717516595039e-07,-7.138986984368981e-07,1.0969063987342764e-05,3.141499243147818,-2.58115208950478e-07,2.5811520782438447e-07,-2.4110655713552513e-11,0.00026340827256965085,2.1449225049507276e-05,0.00028169469880521734,8.59523645783189e-09,6.472901107995331e-14,8.771495476569375e-06,-3.30538830680467e-06,3.3053882948554654e-06,-2.8105786112803684e-10,0.0003189679390017089,3.141507623379912
0.5730000000000001,3.1415212376105144,1.1255812795534118e-07,-7.176489917335569e-07,1.1025398709119116e-05,3.1415102122118053,3.728085347027164e-07,-3.7280853343580474e-07,3.0734849291754183e-11,0.0002729779793050676,1.8946658968564392e-05,0.0002873785806431451,-1.2414524203948674e-08,-2.043634650792552e-13,9.090166710858752e-06,-3.3164910215220563e-06,3.316491012438483e-06,-2.454611538467042e-10,0.0003308679324514723,3.1415186412820626
0.607,3.141532278278972,1.1271972864042995e-07,-7.186615842541692e-07,1.1040668457695801e-05,3.1415212376105144,9.824856207882741e-07,-9.824856182828167e-07,7.016517267634538e-11,0.00026318618599228613,1.83086212037705e-05,-0.0002940478472306741,-3.2716771162297803e-08,-8.306388374307855e-13,8.764099993543128e-06,-3.319548566498902e-06,3.319548559848686e-06,-2.1012240774829237e-10,0.00032173630303821685,3.1415293551009538
0.641,3.1415433233456613,1.1277295419026556e-07,-7.189493843759009e-07,1.1045066689252536e-05,3.141532278278972,1.6489263199279393e-06,-1.648926316922624e-06,9.955443902635765e-11,0.00025930016344808543,2.001323420839835e-05,-0.00011669737369972074,-5.4909246420472003e-08,-1.871755917616264e-12,8.634695442821246e-06,-3.3205497213188648e-06,3.3205497167289474e-06,-1.745912341525092e-10,0.00032190611563063295,3.1415400745746043
0.675,3.141554369932279,1.1279748570423853e-07,-7.190452766621288e-07,1.104658661787994e-05,3.1415433233456613,2.4981606026666713e-06,-2.498160599627068e-06,1.2323487236027714e-10,0.00026092307510945943,2.5502531013175133e-05,4.8736085927147215e-05,-8.318874799312563e-08,-3.5563081199697357e-12,8.688738401145e-06,-3.320996448555405e-06,3.3209964456910965e-06,-1.3793011272171477e-10,0.00033171969783642283,3.141551120840542
