Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
0.098,0,0,98000000,base_footprint,-6.206285766314645e-06,-0.001314338754600046,1.1185638729246418e-07,0.999999136237181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2055537115350237e-05,-0.15691335515101423,9.821791947248471e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009505546446662698,-5.4166775076155846e-06,-0.13918054709994787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.132,1,0,132000000,base_footprint,-1.768788311137919e-05,-0.000955442617152828,-3.3599042992474695e-07,0.9999995434081114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00029219372500247705,0.04758793819190927,-1.8101866940565433e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00036050193017993015,2.6159287511114793e-06,0.005130408316695665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.166,2,0,166000000,base_footprint,-2.2774579567852815e-05,-0.0001442691568942754,-2.9856125621183886e-07,0.99999998933382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00029259486883750045,0.04756035685781403,-1.247481395185844e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021502288346672438,2.75390930100452e-07,7.833993682432484e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,3,0,200000000,base_footprint,-3.0758695769494095e-05,0.0009389485469242248,-2.5460122363520563e-07,0.9999995587146348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00043286224531857714,0.06777042852713759,1.3315587712355956e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003567599306929637,3.0608869167550356e-07,0.002815356544058692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.234,4,0,234000000,base_footprint,-3.827186554302629e-05,0.002092466719336742,-1.5361462603705704e-07,0.9999978100567367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004332762532964822,0.06769326486471497,1.3088942579343041e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00029457739394882215,3.7145786725512586e-07,0.0001534104479964576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.271,5,0,268000000,base_footprint,-4.579212181337732e-05,0.003244680506566033,-3.3662415172665784e-08,0.9999947349618852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00043370987659733856,0.06761689449457935,2.3062636106390984e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002927440709186456,1.990336562556495e-08,0.00015360299483480362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.309,6,0,302000000,base_footprint,-7.010156250743849e-06,0.003936843005037413,-1.3683273014173887e-06,0.9999922505780429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.31066164950152e-05,-0.024601808875566063,-0.00012610744014985746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003017916825419329,0.00015657525172470453,0.13217621538086075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.335,7,0,336000000,base_footprint,-7.057291156999567e-06,0.003852784961228133,-2.0307829138607683e-06,0.9999925779695134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29856349025921e-05,-0.0009473791606858951,8.245726688234476e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001015634299578882,-0.00013528989510875266,0.0005787438525587532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37,8,0,370000000,base_footprint,-7.0537338457153555e-06,0.0038531028882236693,-1.9073111330768348e-06,0.9999925767448176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.866839576023495e-05,-0.00016283271983679197,8.496683491365376e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9773520059378626e-05,-1.4380218815779913e-06,-0.00087300682805946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.403,9,0,404000000,base_footprint,-7.054421027038306e-06,0.003853101484704746,-1.7595485421686893e-06,0.9999925767504917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.889463714517588e-05,-0.00018077756774283378,9.168645058976316e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.813945007660852e-07,1.3166552401088203e-06,1.950955051832132e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.438,10,0,438000000,base_footprint,-7.055063515525271e-06,0.003853101313766784,-1.6067609650091297e-06,0.999992576751403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88919492707797e-05,-0.00018039744550914555,9.265816161241662e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2922451795514346e-08,1.8885090881824763e-07,-4.2412422008418583e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47200000000000003,11,0,472000000,base_footprint,-7.0556975114671734e-06,0.0038531013044990283,-1.4532535743636184e-06,0.999992576751669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.889251028348942e-05,-0.0001804030336857261,9.279786483819982e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.897124186626432e-09,2.718721902847386e-08,5.024709158884904e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.506,12,0,506000000,base_footprint,-7.056327757320231e-06,0.003853101301934271,-1.2996406788841262e-06,0.9999925767518859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8892793712360505e-05,-0.0001804026776974852,9.281705356456262e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.833861162992491e-10,3.738427569533012e-09,-5.118054401895579e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.541,13,0,540000000,base_footprint,-7.056955408725804e-06,0.0038531013010255945,-1.1460119938085975e-06,0.9999925767520728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8893039966365465e-05,-0.00018040262555185353,9.281878260755406e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.914965560362193e-11,3.413659316405264e-10,-3.4256754436296156e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5780000000000001,14,0,574000000,base_footprint,-7.057580765668066e-06,0.0038531013003285366,-9.923806317595092e-07,0.9999925767522353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.889327468637314e-05,-0.0001804025972811539,9.281813100277322e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1669121563097806e-11,-1.2214352137825425e-10,1.1242627870300697e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.607,15,0,608000000,base_footprint,-7.05820399370592e-06,0.003853101299653661,-8.387485077077567e-07,0.9999925767523742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8893502164679205e-05,-0.00018040257234479135,9.281728698256307e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7452689332628818e-11,-1.5991405752989723e-10,1.6349131139201872e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.642,16,0,642000000,base_footprint,-7.058825230519691e-06,0.0038531012989737492,-6.851159027001232e-07,0.9999925767524894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8893723507707455e-05,-0.0001804025473887298,9.281655485314203e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4169381732056725e-11,-1.3845563711526536e-10,1.504526833603705e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.677,17,0,676000000,base_footprint,-7.05944460315071e-06,0.003853101298285104,-5.314828688130389e-07,0.9999925767525812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88939391329624e-05,-0.00018040252213006816,9.281597365132659e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.730959940804002e-12,-1.0938478867002253e-10,1.336404925200584e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7120000000000001,18,0,710000000,base_footprint,-7.060062229678081e-06,0.0038531012975876054,-3.7784941418075895e-07,0.9999925767526495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.889414940141074e-05,-0.00018040249643440685,9.281554171100776e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.334989243724284e-12,-8.062099113861466e-11,1.1412352287462225e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
