Theta_calculated,yaw_world,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,Time
1.5707875015233763,1.5699939448801958,-2.288876314702698e-06,-2.0199954953377424e-11,-2.2888763146135628e-06,-9.290225051126176e-06,-0.0001677227850363,0.0003324594977612,1.7633936077354348e-08,-6.680357159290235e-07,-1.376162086508259e-07,-1.3966485366851805e-13,-7.621958128975376e-08,-3.093644942025017e-07,-1.4796073609597323e-05,0.543
1.5707871921588823,1.5699935854971534,-2.0213114909910117e-07,-1.8463944741517145e-12,-2.0213114909066806e-07,4.634297347860361e-06,6.2665019988096e-05,0.0004181538257953,-2.445927633131873e-07,-8.565209899426291e-07,-3.593830424364342e-07,-1.2851697584011216e-14,-6.7309672684939895e-09,1.5432210168375005e-07,-2.2490216883079333e-05,0.5770000000000001
1.5707873464809838,1.569973699649518,0.0001416329647871,1.2719084841699236e-09,0.0001416329647814,-9.684275588699328e-05,0.004259312190279,-0.0030473589560016,-1.018124043905653e-05,5.021213063410685e-06,-1.988584763545909e-05,1.6248589838052404e-11,4.71637772752566e-06,-3.224863771036876e-06,0.0002237304203499,0.611
1.570784121617213,1.569974162395482,5.384272948454954e-05,6.571600803176905e-10,5.384272948053915e-05,-0.0003682502286474,-0.0026363434024818,-0.0081503745573698,-1.754605578906469e-08,1.3322601611319429e-08,4.627459639916509e-07,2.006136066210963e-11,1.7929628917195443e-06,-1.2262732613958746e-05,4.213759234937406e-07,0.645
1.570771858884599,1.5699828439604735,-2.9359481386261264e-06,-7.183651568744811e-11,-2.935948137747281e-06,8.250194175208333e-05,-0.0017050653940893,0.0135361012131979,-5.618502456076033e-07,-9.025286184637801e-08,8.681564991563917e-06,-1.5590549613017785e-12,-9.776707300697741e-08,2.747314660344375e-06,-2.5963118572656e-06,0.679
1.5707746061992591,1.569993278623235,-2.169330083423429e-06,-4.7119141542582825e-11,-2.1693300829117007e-06,0.000224760780636,2.3021563219300224e-05,0.0042720372037222,-6.784810892480162e-07,-1.0746760201272609e-07,1.0434662761182878e-05,-7.823985218123107e-13,-7.223869177416378e-08,7.48453399517999e-06,-3.1570103197676493e-06,0.7130000000000001
1.5707820907332544,1.5700041587875988,-1.0021935475675723e-06,-1.4267289120158649e-11,-1.0021935474660175e-06,0.0002539116072129,3.504914522089658e-05,0.0008754001975049,-7.081733573084471e-07,-1.1186087103560141e-07,1.0880164364124312e-05,-9.547521924707265e-14,-3.337304513406627e-08,8.45525652019126e-06,-3.297269559712535e-06,0.747
1.5707905459897746,1.5700151568378145,-2.895423159774411e-07,-1.6737877032246398e-12,-2.895423159726032e-07,0.0002632837080159,2.140093788558953e-05,0.000281444468558,-7.16026691062876e-07,-1.1302984707136675e-07,1.0998050215649258e-05,5.5444734720010193e-14,-9.641759121826162e-09,8.76734747693062e-06,-3.297269559712535e-06,0.781
1.5707993133372515,1.5700261864140077,3.399687087747372e-07,-1.01533094810022e-12,3.399687087732209e-07,0.0002728345225263,1.8904234977542887e-05,0.000286811246559,-7.181230108850988e-07,-1.1334991771496353e-07,1.1029576193033463e-05,-1.6615557538591294e-13,1.1320958001037337e-08,9.085389600127498e-06,-3.3360213591445707e-06,0.8150000000000001
1.5708083987268515,1.5700372246811196,9.50811106270258e-07,-1.1478126976788944e-11,9.508111062009764e-07,0.0002630315770165,1.8343615540406037e-05,-0.0002943827480419,-7.186970606762418e-07,-1.1344548244730801e-07,1.1038267112128963e-05,-7.471923420430175e-13,3.1662009830251413e-08,8.758951514651252e-06,-3.3500584560217827e-06,0.8490000000000001
1.5708171576783665,1.5700482656008885,1.6179531733874255e-06,-3.3703394011750106e-11,1.6179531730363897e-06,0.0002591283901993,2.0034296309824846e-05,-0.0001172128173342,-7.188685622997761e-07,-1.134816766520594e-07,1.1040919768667836e-05,-1.7398745901720369e-12,5.387784064502136e-08,8.6289753936375e-06,-3.3500584560217827e-06,0.883
1.57082578665376,1.5700593075764055,2.467554788689183e-06,-7.269381580204564e-11,2.467554787618408e-06,0.0002607236118871,2.5513562021073795e-05,4.790455518863634e-05,-7.189335898981673e-07,-1.1350216767413297e-07,1.104197551726749e-05,-3.364720983085505e-12,8.216957439489379e-08,8.682096275840628e-06,-3.3515375340898177e-06,0.917
1.5708344687500355,1.570070350185141,3.314567415351354e-06,-1.2642408163126734e-10,3.314567412940323e-06,0.0002445924772438,2.5435814614479604e-05,-0.0004844184577567,-7.189704321294695e-07,-1.1351850296402457e-07,1.1042608735412074e-05,-5.448337622354676e-12,1.1037509479607753e-07,8.144929492218752e-06,-3.351837225156574e-06,0.951
1.570842613679528,1.570081393315109,4.404133762391896e-06,-2.0385363128791408e-10,4.404133757674021e-06,0.0002334990453502,3.27197101213376e-05,-0.0003331360928986,-7.189997923495928e-07,-1.1353373642261465e-07,1.10431299680247e-05,-8.406743436335452e-12,1.4665765404671604e-07,7.775518210164376e-06,-3.3520963675885487e-06,0.985
1.570850389197738,1.570092436936459,5.910144013806286e-06,-3.195165863700195e-10,5.910144005169368e-06,0.0002256747629329,4.5225533075507207e-05,-0.0002349634359562,-7.190271474782735e-07,-1.1354867597048073e-07,1.1043621350070866e-05,-1.2786107632231248e-11,1.968077952452139e-07,7.514969605666865e-06,-3.352353381667584e-06,1.019
1.5708579041673438,1.5701034810410837,7.315947418950432e-06,-4.50496818736243e-10,7.3159474050802255e-06,0.0002011771137,4.2216318472797176e-05,-0.0007356651421286,-7.190539481073824e-07,-1.1356353558054921e-07,1.1044104624602367e-05,-1.7558880883240754e-11,2.4362104841761773e-07,6.699197886211872e-06,-3.352353381667584e-06,1.053
1.57086460336523,1.570114525626644,9.100309060085591e-06,-6.213378911140426e-10,9.10030903887418e-06,0.0001804814154055,5.358443366772248e-05,-0.0006214924412757,-7.19080580257525e-07,-1.1357837217170624e-07,1.104458556033805e-05,-2.3767197243263624e-11,3.0304029076737414e-07,6.010031133005629e-06,-3.3525977532599227e-06,1.087
1.570870613396363,1.570125570692348,-0.0001535765126972,1.1408677182849344e-08,-0.0001535765122735,0.0022243246934023,-0.0048851898425632,0.0613766750149186,-7.191071479831852e-07,-1.1359320107023203e-07,1.1045065704040626e-05,6.058630954483858e-10,-5.11409783576323e-06,7.407001229029876e-05,-3.353090922085872e-06,1.121
1.5709446834086531,1.57013661623783,1.0658179528680134e-05,-1.581211417885878e-09,1.0658179411388547e-05,0.0001636795911177,0.004931972739518,-0.0618812343028416,-7.191336808319251e-07,-1.1360802661033317e-07,1.104554548181369e-05,-5.615837643721101e-11,3.549173738566281e-07,5.450530384220615e-06,-3.353090922085872e-06,1.155
1.5709501339390377,1.570147662262852,8.841901194500012e-06,-1.359947566139794e-09,8.841901089915185e-06,0.0001874662495037,-5.454289291832197e-05,0.0007143140656467,-7.191601882859293e-07,-1.1362285015550397e-07,1.1046025022221071e-05,-4.8309783397689985e-11,2.944353058137174e-07,6.2426261084756204e-06,-3.3535766970954733e-06,1.189
1.570956376565146,1.5701587087672282,7.4029704088603774e-06,-1.184843708042391e-09,7.402970314043395e-06,0.0002154861919046,-4.321113470389292e-05,0.0008414397117387,-7.19186674408493e-07,-1.136376722886048e-07,1.104650437611099e-05,-4.2101786493590335e-11,2.465189110214236e-07,7.175690190425641e-06,-3.353828760602906e-06,1.223
1.5709635522553365,1.5701697557507963,5.773967706486448e-06,-9.655544037817802e-10,5.773967625753808e-06,0.0002276555848515,-4.891900007128916e-05,0.0003654472356427,-7.192131417726312e-07,-1.1365249337220301e-07,1.1046983568352433e-05,-3.4256054524286753e-11,1.9227312157596346e-07,7.580930975557486e-06,-3.354071650492962e-06,1.257
1.5709792140778325,1.5701808032134146,3.818911884729712e-06,-6.9843041447533e-10,3.818911820862691e-06,0.0002626809219015,-2.4473151158998093e-05,0.0006009461524463,-7.19239592335776e-07,-1.1366731366736774e-07,1.1047462618041235e-05,-2.472288399797453e-11,1.2716976335671017e-07,8.747274699322489e-06,-3.354314286488113e-06,1.291
1.5709879613525315,1.5701918511549566,2.97239479359911e-06,-5.696135579018292e-10,2.972394739020288e-06,0.0002647581725987,-2.5420933667585656e-05,6.23799008146726e-05,-7.192660277986171e-07,-1.1368213340655353e-07,1.1047941542052795e-05,-2.011193541444046e-11,9.898074458230985e-08,8.816447147536872e-06,-3.3545634945293706e-06,1.325
1.5709967777996792,1.5702028995753112,2.40177929388291e-06,-4.814390695006621e-10,2.401779245630437e-06,0.0002724481029726,-1.7135600592078072e-05,0.0002309288400579,-7.192924496808096e-07,-1.1369695280746829e-07,1.1048420354597969e-05,-1.6966386121496833e-11,7.997924868577132e-08,9.072521828988768e-06,-3.3545634945293706e-06,1.359
1.5710058503215083,1.5702140621391183,2.002560272364847e-06,-4.1958348744837347e-10,2.0025602284085408e-06,0.000287132892561,-1.1988559204746634e-05,0.000440984672326,-7.267233821753812e-07,8.900847359195885e-07,1.1162563807065595e-05,-1.4767575813962344e-11,6.66852554350642e-08,9.561525322284356e-06,-3.3550485605328668e-06,1.393
1.5710051729774848,1.570033234087591,0.2180174814719835,-4.553211841191191e-05,0.2180174767173789,0.0887354264711493,0.3536044200879514,2.6641146227948926,4.663026748406942e-06,0.0055801481737546,-7.045884309864193e-05,-1.2294323822642737e-05,0.0072599690819395,0.0029548897014892,0.1697500241468273,1.631
1.573960062678974,1.5699459202318178,0.2180145195791974,-0.0006897392082154,0.2180134285019455,0.0887517036015067,-8.894572931120328e-05,0.0004888027134354,5.775274476038094e-06,0.0061095189814532,-8.731385577331885e-05,-3.3748155842630944e-05,0.0072598024188514,0.0029554317299301,0.1697500241468273,1.665
1.5769154944089043,1.5697977112784691,0.2128052293298737,-0.0013021827408368,0.2128012451802142,0.089872304952339,-0.1564351426223326,0.0336516922171855,9.791702681881437e-06,0.0064350524705604,-0.0001482089533486,-5.401698841335554e-05,0.0070862056137617,0.0029927477549128,0.1832607942903268,1.699
1.579908242163817,1.5695636842406893,0.2065386725423757,-0.0018819368624338,0.2065300984583422,0.0872160197845994,-0.1881848885134548,-0.0797683233555417,1.5450162984654245e-05,0.0065368828811563,-0.0002340270377798,-7.270462874117409e-05,0.0068773510869293,0.0029042934588271,0.1910691600602593,1.733
1.5828125356226443,1.5695829957949703,0.2064588096729126,-0.0024807924703813,0.206443904633377,0.0881142191499804,-0.0023982843682603,0.026972953915345,-1.2667019720474432e-06,0.0065422985559846,1.9311554281031817e-05,-9.274511057460688e-05,0.0068744502992973,0.0029342034976943,0.1910691600602593,1.767
1.5857467391203388,1.5695007569073085,0.2125681424185105,-0.0031778629900726,0.2125443867950234,0.0928369610017086,0.1834634458137511,0.1418240796314784,6.032212146835295e-06,0.0067144852602321,-8.223888766201172e-05,-0.0001168135426131,0.0070775523976816,0.0030914708013568,0.1928142201845847,1.8010000000000002
1.5888382099216956,1.570984488780152,0.2061705234574777,-0.0037195026918081,0.2061369691308573,0.0865720253167701,-0.1921206895205062,-0.1881362067549101,5.345550399025758e-06,0.0069452099419055,0.0014837318728437,-0.0001338027798498,0.0068641720739238,0.0028828484430484,0.205468972555938,1.835
1.591721058364744,1.5738338642219458,0.2059586718567605,-0.0043093154387548,0.2059135845772446,0.0829757350541568,-0.0063619099314461,-0.1079967045829834,-1.1500992390845935e-05,0.0070435101040315,0.0028493754417937,-0.0001530221780853,0.0068567142957902,0.0027630919773034,0.205468972555938,1.869
1.5944841503420475,1.576592651135437,0.2123375079175833,-0.0050293430509203,0.2122779380367303,0.0855822923983797,0.1915566384631451,0.0782749953220097,-3.187127422964874e-05,0.0070905460657214,0.002758786913491,-0.0001776001448552,0.007068605853111,0.002849890336866,0.2071710963147349,1.903
1.5973340406789136,1.5771636727392682,0.2177635025299607,-0.0057782672444262,0.2176868270285738,0.0064732632595131,0.1629427811524749,-2.375646520686685,-4.548508015773787e-05,0.0074420881585285,0.0005710216038312,-0.0001932494032146,0.0072489491642358,0.0002155596665417,0.2073108423173651,1.937
1.5975496003454552,1.576503756120208,0.2178973393205501,-0.0058287717548212,0.2178193653071397,0.0078040402390094,0.0040191228405232,0.0399632726575478,-4.821932592247734e-05,0.0074824518996791,-0.0006599166190601,-0.0001950924263307,0.0072533581682551,0.000259874539959,0.2073108423173651,1.971
1.5978094748854144,1.5737121223273889,0.2246673834152067,-0.0060682352276441,0.2245854173624314,-0.0827959101657219,0.2033046274671665,-2.720719231373315,-3.4324272447699985e-05,0.007510957988293,-0.0027916337928191,-0.0001918156717783,0.0074789621191946,-0.0027571038085185,0.2199294703293824,2.005
1.5950523710768958,1.5709105410267656,0.2182705174821162,-0.0052938601897439,0.2182063102804368,-0.0814168696434091,-0.1920980760687844,0.0414126282976813,-1.2620945486200018e-05,0.0075171964769026,-0.0028015813006232,-0.0001664871828505,0.0072664990116798,-0.0027111817591255,0.2199294703293824,2.039
1.5923411893177704,1.568209696929609,0.2184458333358745,-0.0047060213538364,0.2183951360832514,-0.0818569062457016,0.0052647403531019,-0.0132143123811552,8.5613031165e-06,0.0075224564782557,-0.0027008440971563,-0.0001468504093691,0.0072727615594339,-0.0027258349779818,0.2211207097444463,2.073
1.5896153543397884,1.5656633151707346,0.2252244755921345,-0.004238255432493,0.2251845944922542,-0.0765425646557373,0.2035628305183187,0.159589837536465,2.894466101680001e-05,0.0075254890181593,-0.0025463817588746,-0.0001316308283123,0.0074988178022101,-0.002548867403036,0.2213612719867446,2.107
1.5870664869367523,1.5631196170598354,0.2186595279945156,-0.0035574685777722,0.2186305870643505,-0.0742376084550138,-0.1971455735020686,0.0692179039256295,4.8662705461962016e-05,0.0075249943426709,-0.0025436981108992,-0.0001095166442529,0.007280536778871,-0.0024721123615519,0.2213612719867446,2.141
1.5845943745752005,1.5612349004666954,0.218541652017853,-0.0030153524741926,0.2185208486990401,-0.0740428752380766,-0.0035398191189978,0.0058478443524707,6.629440769207381e-05,0.0075087214308117,-0.0018847165931399,-9.149228096015476e-05,0.0072768600232774,-0.0024656277454279,0.2213505987448379,2.175
1.5821287468297724,1.5610856223791076,0.2248821311397268,-0.0025484042216609,0.2248676911916612,0.0124499012665453,0.1904047784346486,2.597380675814472,7.403466143773334e-05,0.0074375372124941,-0.0001492780875878,-8.646759328799491e-05,0.0074880756932434,0.0004145817121759,0.2188105042493091,2.209
1.5825433285419483,1.5604489361204636,0.2179638995235866,-0.0025603634225835,0.2179488610538547,0.0146683281007052,-0.2077547031873947,0.0666194244492457,6.536103691843085e-05,0.0073863647544518,-0.0006366862586439,-8.708450385496245e-05,0.00725767533936,0.0004884553257534,0.2188105042493091,2.243
