Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1.256,0.0,0.0,0.0,0.0,0.0,0.0
1.365,0.2199999988079071,2.2505140805151314e-05,0.0,0.0,0.0,0.09060088545084
1.464,0.2199999988079071,1.73038242792245e-05,0.0,0.0,0.0,0.09060246497392654
1.564,0.2199999988079071,1.8378023014520295e-05,0.0,0.0,0.0,0.09081638604402542
1.663,0.2199999988079071,0.0,0.0,0.0,0.0,0.0
1.762,0.20842105150222778,0.0,0.0,0.0,0.0,0.0
1.863,0.2199999988079071,0.0,0.0,0.0,0.0,0.0
1.965,0.2199999988079071,0.0,0.0,0.0,0.0,-0.00044817192247137433
2.064,0.2199999988079071,1.755172706907615e-05,0.0,0.0,0.0,0.0
2.166,0.2199999988079071,0.0,0.0,0.0,0.0,0.0
2.263,0.2199999988079071,0.0,0.0,0.0,0.0,0.07886981219053267
2.364,0.20842105150222778,1.8954582628794014e-05,0.0,0.0,0.0,0.07186935096979141
2.464,0.20842105150222778,0.0,0.0,0.0,0.0,0.07374769449234009
2.564,0.2199999988079071,0.0,0.0,0.0,0.0,0.06312743574380875
2.665,0.2199999988079071,0.0,0.0,0.0,0.0,0.05600864067673684
2.765,0.2199999988079071,8.470515604130924e-05,0.0,0.0,0.0,0.04864148050546646
2.864,0.2199999988079071,1.0680643754312769e-05,0.0,0.0,0.0,0.04276702180504798
2.963,0.2199999988079071,6.817649591539521e-06,0.0,0.0,0.0,0.036053095012903214
3.067,0.20842105150222778,0.0,0.0,0.0,0.0,0.027909906581044194
3.163,0.20842105150222778,0.0,0.0,0.0,0.0,0.03004804812371731
3.262,0.2199999988079071,0.0,0.0,0.0,0.0,0.019980894401669502
3.364,0.2199999988079071,1.828381937230006e-05,0.0,0.0,0.0,0.0
3.464,0.2199999988079071,1.6521382349310443e-05,0.0,0.0,0.0,-0.0025538434274494652
3.5620000000000003,0.2199999988079071,9.490498996456154e-06,0.0,0.0,0.0,0.0
3.6630000000000003,0.2199999988079071,0.0,0.0,0.0,0.0,0.0
3.763,0.2199999988079071,6.040249718353152e-05,0.0,0.0,0.0,-0.007203973364084957
3.862,0.20842105150222778,2.7383337510400452e-05,0.0,0.0,0.0,0.0
3.9610000000000003,0.20842105150222778,0.0,0.0,0.0,0.0,-0.013600477948784828
4.062,0.2199999988079071,0.0,0.0,0.0,0.0,0.05863622575998307
4.164,0.2199999988079071,1.2931395758641884e-05,0.0,0.0,0.0,0.05783287435770035
4.263,0.2199999988079071,8.252259431174025e-05,0.0,0.0,0.0,0.03530410677194595
4.363,0.2199999988079071,8.819168215268292e-06,0.0,0.0,0.0,0.013398296199738978
4.463,0.2199999988079071,6.664329703198746e-06,0.0,0.0,0.0,0.0
4.564,0.20842105150222778,0.0,0.0,0.0,0.0,0.0
4.661,0.20842105150222778,0.0,0.0,0.0,0.0,-0.011017022654414175
4.763,0.2199999988079071,2.4238828700617887e-05,0.0,0.0,0.0,-0.016059784218668938
4.861,0.2199999988079071,9.838229743763804e-06,0.0,0.0,0.0,-0.03258508816361427
4.966,0.2199999988079071,2.2157373678055592e-05,0.0,0.0,0.0,-0.0398971103131771
5.065,0.2199999988079071,0.0,0.0,0.0,0.0,-0.042973097413778305
5.164,0.2199999988079071,3.058551374124363e-05,0.0,0.0,0.0,-0.046307407319545746
5.264,0.2199999988079071,2.9262822863529436e-05,0.0,0.0,0.0,-0.11325842887163164
5.363,0.20842105150222778,5.631683234241791e-05,0.0,0.0,0.0,-0.11979109793901445
5.464,0.20842105150222778,4.770547548105242e-06,0.0,0.0,0.0,-0.09518581628799438
5.563,0.2199999988079071,1.1215948688914068e-05,0.0,0.0,0.0,-0.10185542702674866
5.663,0.2199999988079071,0.0,0.0,0.0,0.0,-0.09081970900297165
5.767,0.2199999988079071,5.850545858265832e-05,0.0,0.0,0.0,-0.09691351652145386
5.865,0.2199999988079071,5.892095578019507e-05,0.0,0.0,0.0,-0.0816333368420601
5.964,0.2199999988079071,4.707196058006957e-05,0.0,0.0,0.0,-0.07291687279939651
6.064,0.20842105150222778,0.0,0.0,0.0,0.0,-0.07223768532276152
6.162,0.20842105150222778,1.5967309082043357e-05,0.0,0.0,0.0,-0.056018970906734473
6.2620000000000005,0.2199999988079071,4.844738214160316e-05,0.0,0.0,0.0,-0.04691049829125404
6.362,0.2199999988079071,1.2802618584828451e-05,0.0,0.0,0.0,-0.05775344371795655
6.464,0.2199999988079071,1.2885026080766693e-05,0.0,0.0,0.0,-0.03945953026413919
6.557,0.2199999988079071,0.00014349265256896615,0.0,0.0,0.0,-0.03804270178079606
6.661,0.2199999988079071,5.760848944191821e-05,0.0,0.0,0.0,-0.03004591353237629
6.772,0.2199999988079071,3.9326590922428295e-05,0.0,0.0,0.0,0.0
6.867,0.20842105150222778,3.239919897168875e-05,0.0,0.0,0.0,-0.023179324343800545
6.962,0.20842105150222778,5.5188775149872527e-05,0.0,0.0,0.0,-0.0315532423555851
7.063,0.2199999988079071,0.0004064205277245492,0.0,0.0,0.0,0.10388656705617906
7.163,0.2199999988079071,3.6450880998017965e-06,0.0,0.0,0.0,0.11696399748325348
7.264,0.2199999988079071,0.0,0.0,0.0,0.0,0.09532771259546279
7.362,0.2199999988079071,0.0,0.0,0.0,0.0,0.08588448166847229
7.461,0.2199999988079071,0.0,0.0,0.0,0.0,0.023527437821030617
7.566,0.20842105150222778,6.16595134488307e-05,0.0,0.0,0.0,0.06130504608154296
7.664,0.20842105150222778,2.3522878109361045e-05,0.0,0.0,0.0,0.06571011245250702
7.764,0.2199999988079071,4.164441179455025e-06,0.0,0.0,0.0,0.0534934438765049
7.862,0.2199999988079071,0.0,0.0,0.0,0.0,0.04098697751760483
7.965,0.2199999988079071,0.0,0.0,0.0,0.0,0.03229499235749245
8.066,0.2199999988079071,3.882746023009531e-05,0.0,0.0,0.0,0.02286806888878346
8.165,0.20842105150222778,1.9208184312446974e-05,0.0,0.0,0.0,0.00989354308694601
8.263,0.19684210419654846,0.0,0.0,0.0,0.0,0.012196330353617668
8.361,0.20842105150222778,4.105772404727759e-06,0.0,0.0,0.0,0.06743596494197845
8.462,0.19684210419654846,8.452193287666887e-05,0.0,0.0,0.0,0.07695987820625304
8.564,0.2199999988079071,5.2012401283718646e-05,0.0,0.0,0.0,0.06512171775102614
8.662,0.20842105150222778,5.816110842715716e-06,0.0,0.0,0.0,0.05204897001385689
8.763,0.19684210419654846,2.0771383788087405e-05,0.0,0.0,0.0,0.05202721059322357
8.862,0.17368420958518982,0.0,0.0,0.0,0.0,-0.04090134799480438
8.962,0.1621052622795105,0.0,0.0,0.0,0.0,-0.03758927807211876
9.062,0.15052631497383118,6.0514626966323704e-05,0.0,0.0,0.0,-0.04961352422833443
9.163,0.13894736766815186,8.553778025088832e-05,0.0,0.0,0.0,-0.042859818786382675
9.263,0.13894736766815186,6.802961434004828e-05,0.0,0.0,0.0,-0.04810084030032158
9.363,0.12736842036247253,3.95594397559762e-05,0.0,0.0,0.0,-0.049500580877065666
9.463,0.2199999988079071,4.954038740834221e-05,0.0,0.0,0.0,-0.03541465103626251
9.562,0.2199999988079071,3.5526230931282043e-05,0.0,0.0,0.0,-0.03039786964654922
9.662,0.20842105150222778,0.0,0.0,0.0,0.0,-0.024854501709342003
9.763,0.19684210419654846,2.3281238100025803e-05,0.0,0.0,0.0,-0.026900831609964367
9.862,0.18526315689086914,5.24182541994378e-05,0.0,0.0,0.0,-0.024144353345036507
9.961,0.17368420958518982,3.42887724400498e-05,0.0,0.0,0.0,-0.034502144902944565
10.062,0.17368420958518982,3.522545375744812e-05,0.0,0.0,0.0,-0.03399718180298805
10.163,0.1621052622795105,0.0,0.0,0.0,0.0,0.05644027888774871
10.263,0.15052631497383118,0.0,0.0,0.0,0.0,0.06772382557392122
10.363,0.13894736766815186,1.9211842300137505e-05,0.0,0.0,0.0,0.06593164801597597
10.461,0.13894736766815186,2.0461000531213358e-05,0.0,0.0,0.0,0.057102713733911514
10.563,0.12736842036247253,3.8672595110256225e-05,0.0,0.0,0.0,0.05690865591168403
10.661,0.11578947305679321,1.3954667338111904e-05,0.0,0.0,0.0,0.0552576519548893
10.762,0.11578947305679321,0.0,0.0,0.0,0.0,0.06469804048538207
10.863,0.11578947305679321,0.0,0.0,0.0,0.0,0.1375838667154312
10.962,0.11578947305679321,0.0,0.0,0.0,0.0,0.03939143568277359
11.061,0.11578947305679321,0.0,0.0,0.0,0.0,0.3549955487251282
11.163,0.11578947305679321,0.0,0.0,0.0,0.0,0.02679120749235153
11.262,0.11578947305679321,2.27536256716121e-05,0.0,0.0,0.0,-0.20197331905364987
11.361,0.11578947305679321,0.00010161489626625553,0.0,0.0,0.0,-0.11264657229185103
11.457,0.0,0.0,0.0,0.0,0.0,0.0
11.557,0.0,0.0,0.0,0.0,0.0,0.0
11.657,0.0,0.0,0.0,0.0,0.0,0.0
12.659,0.0,0.0,0.0,0.0,0.0,0.0
