Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1.246,0.0,0.0,0.0,0.0,0.0,0.0
1.353,0.2199999988079071,2.2499370970763266e-05,0.0,0.0,0.0,-0.0735017880797386
1.452,0.2199999988079071,1.7285379726672545e-05,0.0,0.0,0.0,-0.07348949462175368
1.553,0.2199999988079071,1.494389562139986e-05,0.0,0.0,0.0,-0.07317129522562027
1.655,0.2199999988079071,0.0,0.0,0.0,0.0,-0.07312112301588058
1.7530000000000001,0.20842105150222778,0.0,0.0,0.0,0.0,-0.07784468680620195
1.855,0.2199999988079071,7.019375061645405e-06,0.0,0.0,0.0,0.014239038340747356
1.959,0.20842105150222778,5.5889795476105064e-05,0.0,0.0,0.0,-0.03619091585278511
2.056,0.2199999988079071,4.2348667193436995e-05,0.0,0.0,0.0,-0.06183337420225143
2.157,0.2199999988079071,1.542459813208552e-06,0.0,0.0,0.0,-0.06172081083059311
2.2560000000000002,0.2199999988079071,0.0,0.0,0.0,0.0,-0.0497940070927143
2.352,0.20842105150222778,4.598088708007708e-05,0.0,0.0,0.0,-0.04145507887005805
2.454,0.20842105150222778,0.00011926257138838992,0.0,0.0,0.0,-0.045632973313331604
2.551,0.2199999988079071,3.202549851266667e-05,0.0,0.0,0.0,-0.039910260587930686
2.65,0.2199999988079071,5.5768750826246105e-06,0.0,0.0,0.0,-0.022357799112796783
2.751,0.2199999988079071,0.000137471201014705,0.0,0.0,0.0,-0.018517373129725456
2.8520000000000003,0.2199999988079071,4.816923683392815e-05,0.0,0.0,0.0,-0.01576626487076283
2.952,0.2199999988079071,3.1477775337407365e-05,0.0,0.0,0.0,-0.009403111413121223
3.051,0.20842105150222778,1.1678825103444979e-05,0.0,0.0,0.0,-0.01970481686294079
3.152,0.20842105150222778,0.00028272936469875276,0.0,0.0,0.0,-0.01613909564912319
3.25,0.2199999988079071,5.478101229527965e-05,0.0,0.0,0.0,0.0
3.35,0.2199999988079071,2.921285522461403e-05,0.0,0.0,0.0,0.0
3.451,0.2199999988079071,2.3982967832125723e-05,0.0,0.0,0.0,0.0
3.552,0.2199999988079071,3.3508324577269377e-06,0.0,0.0,0.0,0.0062575615011155605
3.652,0.2199999988079071,0.0,0.0,0.0,0.0,0.009105873294174671
