Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
0.234,0,0,234000000,base_footprint,0.0006688016891989687,-2.3691820389815503e-05,0.9999997748871617,4.866851219635207e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00043637156156428635,0.04765831043132235,-2.134956583482269e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038332188262923093,-2.835779308155886e-05,-0.05707135537750564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.268,1,0,268000000,base_footprint,-0.00019387259569652636,-3.273210308150102e-05,0.9999999794848383,4.870676618716415e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006698567502255039,0.06958071401935553,-5.816378545511535e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017748367728266067,-5.8642123905686376e-05,0.004162998414792807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30200000000000005,2,0,302000000,base_footprint,-0.0013497379872237432,-4.313081057782851e-05,0.9999990869580084,4.9297553937961086e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005918285474095129,0.06777839555788813,-6.87352579618521e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003886953720020104,9.84331840394194e-05,-0.0010813202894933444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.336,3,0,336000000,base_footprint,-0.002503757665765203,-5.354621001941503e-05,0.9999968629448619,4.930303820514493e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005900719312396113,0.06770224891728341,6.985222267923423e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00023383426506900923,2.429014342787647e-05,0.00015029252265085123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37,4,0,370000000,base_footprint,-0.0036564817355383104,-6.394731840049114e-05,0.9999933117948941,4.916846565237894e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005899657343599442,0.0676262514542153,1.1785074262033905e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00023378330293355494,6.619924256085167e-06,0.00014965943117508667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.404,5,0,404000000,base_footprint,-0.003871347642117747,-7.302126293646739e-06,0.9999925045094961,5.948897765590012e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005177646415340007,-0.0001414388480234012,-0.00011134426161178994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008142208716329553,0.00033084139169982406,0.13188472815288663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.438,6,0,438000000,base_footprint,-0.0038607351287094686,-7.067017553997931e-06,0.9999925455365845,5.9544817799171316e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.468077025314339e-05,-0.00025172654678952834,0.00019207682628301812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008444446559447337,3.250498335006004e-05,0.00016697470759398367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47200000000000003,7,0,472000000,base_footprint,-0.0038606715268733258,-7.159220853536517e-06,0.9999925460218334,5.536134485451821e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8355054360145354e-05,-0.00018314067541215894,0.0003071128370882442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.45435944909621e-05,0.0002251124837523536,-8.899244524515927e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.506,8,0,506000000,base_footprint,-0.0038606115282151204,-7.206830653468367e-06,0.9999925465265956,5.0179123585459434e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9562292003392917e-05,-0.00018006986059156295,0.00033456105602317794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.920563817796342e-06,5.39407486530828e-05,-6.7956520873860805e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,9,0,540000000,base_footprint,-0.0038605967973082763,-7.239408415049959e-06,0.9999925468410796,4.474651740314989e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9923768547187965e-05,-0.0001788206952891441,0.00034173334006950873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.083748818937416e-06,1.410012839855263e-05,-2.2211302157727742e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5740000000000001,10,0,574000000,base_footprint,-0.0038605930806364817,-7.267402542446315e-06,0.9999925470861616,3.924769462713138e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0047672084699345e-05,-0.00017850212006688393,0.0003436448608448411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.617463362179619e-07,3.7533581069909585e-06,-5.694522371457681e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.608,11,0,608000000,base_footprint,-0.003860592296931188,-7.293829489721617e-06,0.9999925472902913,3.373116654459099e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0105391477988688e-05,-0.0001784167846703141,0.0003441637564484363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5904810808842034e-07,1.0143788921545116e-06,-1.4704692921309227e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.642,12,0,642000000,base_footprint,-0.0038605922919622577,-7.319521189290256e-06,0.9999925474611241,2.8209774533256027e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0143761363098096e-05,-0.0001783935191976994,0.000344313977048326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.241440482247645e-08,2.8926983453736853e-07,-3.5396780154754235e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
