Time,yaw_world,delta_position_x_world,delta_position_y_world,delta_yaw,Theta_calculated,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,odom_world_velocity_x,odom_world_velocity_y,odom_angular_velocity,odom_yaw_world
0.324,0.7849818097670445,-7.186827461268079e-07,-7.071671240420005e-07,-7.496031629639076e-06,0.7853700233083026,-3.526055150761843e-05,-2.493367668568407e-05,-2.493227345340145e-05,-0.0004508922924739,-0.000796443034995,-0.0077185290449041,-8.302872421933103e-07,-8.302488976496324e-07,-1.501471333938243e-05,-2.9922541640459e-05,-2.1167225339221657e-05,-2.114963521348809e-05,-0.0002443688991326,0.784982486891897
0.358,0.7849738845671841,-9.434161228230424e-07,-9.185201274228284e-07,-7.925199860370213e-06,0.7853550085949632,-7.068077281465482e-06,-4.99810105377711e-06,-4.997669688264783e-06,-0.0001241167188049,0.0008466208476322,0.0098130802903612,-1.66435019437081e-07,-1.6642414640061766e-07,-4.133086736203756e-06,-3.876958990818502e-05,-2.742584252351726e-05,-2.7402632419606585e-05,-0.0002562688799623,0.7849748413453883
0.392,0.7849599894239148,-4.832993802848795e-06,9.9281396399465e-06,-1.389514326932684e-05,0.785350875508227,0.0001842661107566,0.0001303019777273,0.000130289654899,0.0004543619085615,0.0057457714125547,0.0173717305515457,4.338968559911861e-06,4.3387328129400775e-06,1.5130251555099765e-05,0.0002241802774212,0.0001585884440937,0.0001584503145612,-0.00067417727835,0.78496247684477
0.426,0.7849512801705008,6.84589550330357e-07,6.640497803240068e-08,-8.709253414007634e-06,0.7853660057597821,3.809306157269819e-05,2.693672833397944e-05,2.6934995946588977e-05,-0.0004300585711279,-0.0043895810565738,-0.0265591735642504,8.969882142531807e-07,8.969402045485978e-07,-1.4320950418561875e-05,1.0660937977718978e-06,7.541790334223013e-07,7.535051235352761e-07,2.7198135971328373e-05,0.7849511799632628
0.46,0.7849574432494014,-3.257149832520956e-07,2.4621489183411505e-07,6.163078900667252e-06,0.7853516848093636,-7.710824291945934e-06,-5.452629558228509e-06,-5.4521227207388034e-06,1.764611189470713e-05,-0.0013754920680073,0.0134445850757564,-1.8157023138297917e-07,-1.815580197271695e-07,5.876155260937475e-07,-2.087085239481797e-06,-1.476444585325499e-06,-1.4751393775931156e-06,0.0002540657654753,0.7849559575636638
0.494,0.7849671336610006,-5.140171960749292e-07,3.87603191870714e-07,9.690411599150297e-06,0.7853522724248897,-7.314346091720736e-06,-5.1722610651535486e-06,-5.171786366756373e-06,0.00015222259634,1.190625225901496e-05,0.0040413358692307,-1.722336945923531e-07,-1.722230850878492e-07,5.069012458125002e-06,-2.635694152265893e-06,-1.8645237181331936e-06,-1.8629103491063104e-06,0.0003164871292122,0.7849653270556041
0.528,0.7849776827098492,-5.599290784645723e-07,4.219838301159143e-07,1.0549048848673692e-05,0.7853573414373478,-5.481099843603612e-06,-3.875881079147549e-06,-3.875564649939099e-06,0.0001921982757923,5.505243988339711e-05,0.0012004708544219,-1.290648065247559e-07,-1.2905833638723765e-07,6.4002025838850045e-06,-2.769289690845512e-06,-1.9590110291278667e-06,-1.957355659960297e-06,0.0003314207354817,0.7849754836025251
0.562,0.7849884448418178,-5.713229949441505e-07,4.305154457885305e-07,1.0762131968600208e-05,0.7853637416399317,-3.992184604536045e-06,-2.8229979731506106e-06,-2.8228036347366003e-06,0.000212383356436,4.4712169341368376e-05,0.0006061585778903,-9.40043198608982e-08,-9.400087376260057e-08,7.072365769321875e-06,-2.8026606301144164e-06,-1.9825971740361247e-06,-1.9809631629834287e-06,0.0003352981807682,0.7849859050183179
0.5960000000000001,0.7849992601259251,-5.74171811917705e-07,4.326352231178933e-07,1.08152841072906e-05,0.785370814005701,-2.7581488252702534e-06,-1.950359076816548e-06,-1.9502523974652568e-06,0.0002306006151414,3.7058131509483225e-05,0.0005470648259864,-6.494589248327991e-08,-6.494446965148893e-08,7.679000484209998e-06,-2.8118396264608235e-06,-1.989068898476597e-06,-1.987472516048572e-06,0.0003363249619538,0.7849967134499047
0.63,0.7850100889157205,-5.749024231337645e-07,4.3316530271833197e-07,1.0828789795414016e-05,0.7853784930061852,-1.5152495272477483e-06,-1.071464291406581e-06,-1.0714221399920378e-06,0.0002304277070252,3.732430324391907e-05,-5.1924359207202926e-06,-3.56791760448084e-08,-3.567894213443337e-08,7.673242643941871e-06,-2.8145117114855868e-06,-1.990938201026312e-06,-1.989382128647897e-06,0.0003365871273202,0.785007221922829
0.664,0.7850209213792033,-5.751077051048704e-07,4.333011434636686e-07,1.083246348276834e-05,0.7853861662488292,-4.616764795450377e-07,-3.264584859011214e-07,-3.264506528531486e-07,0.0002334901922294,3.163883026134266e-05,9.19665226476474e-05,-1.0870888826119491e-08,-1.0870985495552695e-08,7.775223401240621e-06,-2.815627749039595e-06,-1.9917067439135216e-06,-1.990191917230892e-06,0.0003366658319539,0.785017735180042
0.6980000000000001,0.7850317550779728,-5.751826736895976e-07,4.333392036302321e-07,1.0833698769530107e-05,0.7853939414722304,5.941391567387401e-07,4.201216004091668e-07,4.2011805298018505e-07,0.0002406098467059,3.170617526377711e-05,0.0002138034377333,1.3989817591125341e-08,1.3990162864572704e-08,8.012307895308764e-06,-2.816356949696172e-06,-1.9922009964421906e-06,-1.990728926267127e-06,0.0003366978229446,0.7850285686175749
0.7320000000000001,0.7850425894071285,-5.752252902431129e-07,4.3335299996670126e-07,1.0834329155606785e-05,0.7854019537801257,1.64255846908106e-06,1.161459829580363e-06,1.1614686343681734e-06,0.0002305903765346,3.1484063433703296e-05,-0.0003008849901286,3.867597820779189e-08,3.8677539627053084e-08,7.678659538604991e-06,-2.81696136208576e-06,-1.992607600339922e-06,-1.991177105772271e-06,0.0003367167239786,0.7850390841269307
0.766,0.7850534242164628,-5.752598509389979e-07,4.333607643625982e-07,1.0834809334392403e-05,0.7854096324396643,2.7760133118964203e-06,1.9629153243600584e-06,1.962960350393909e-06,0.0002246415371372,3.403768296742824e-05,-0.0001786438257497,6.536401507343219e-08,6.536764485373434e-08,7.48056318666938e-06,-2.8175371412828824e-06,-1.9929939402989987e-06,-1.991605055336019e-06,0.0003367325950371,0.7850496001146053
0.8,0.7850642594685425,-5.752923838962289e-07,4.3336701917914054e-07,1.0835252079677284e-05,0.785417113002851,4.188570762130613e-06,2.9617106645385445e-06,2.961822913162445e-06,0.0002218152772675,4.2419142649675446e-05,-8.487266875998017e-05,9.862336249633846e-08,9.863030555286621e-08,7.386448733008125e-06,-2.8181246315185327e-06,-1.993387919551148e-06,-1.9920419275103152e-06,0.0003367481408805,0.7850604352122063
0.8340000000000001,0.7850750951539179,-5.753243869357702e-07,4.3337288711895684e-07,1.083568537540991e-05,0.785424499451584,5.536731786963971e-06,3.914957483567928e-06,3.915163698063304e-06,0.0002024355323325,4.048531606106179e-05,-0.0005819743223713,1.3036600778996756e-07,1.303770274118344e-07,6.741103226673751e-06,-2.818690687177957e-06,-1.9937673622095274e-06,-1.9924630223348706e-06,0.0003367630342641,0.785070952046804
0.8680000000000001,0.7850859312700951,-5.753562340518603e-07,4.3337864766594333e-07,1.0836116177137534e-05,0.7854312405548107,7.185165789256764e-06,5.080511396319907e-06,5.08084750518743e-06,0.0001863311330752,4.950252259137518e-05,-0.0004836155933112,1.691783802284804e-07,1.6919487097097e-07,6.204826731406879e-06,-2.819257283776149e-06,-1.99414717804386e-06,-1.9928845085515063e-06,0.0003367778827203,0.7850814692877963
0.902,0.7850967678163201,-5.753880204534961e-07,4.3338437119263065e-07,1.0836546225023724e-05,0.7854374453815419,9.314641335058547e-06,6.586187318589735e-06,6.586704775927724e-06,0.0001720008927238,6.394821458864218e-05,-0.000430337548092,2.1931665558995646e-07,2.1934065084254082e-07,5.727629727703114e-06,-2.8198377527920523e-06,-1.9945361613930927e-06,-1.9933164457673643e-06,0.0003367931728794,0.7850923056569932
