Time,yaw_world,delta_position_x_world,delta_position_y_world,delta_yaw
0.446,-4.824377453655797e-06,0.0,0.0,0.0
0.48,-5.47963408599399e-06,2.960969862188575e-07,-5.5921075644516133e-08,-6.552566323381929e-07
0.514,-6.169294055894473e-06,-4.673701133614869e-07,-5.558684427259984e-08,-6.896599699004837e-07
0.548,-6.229777502127999e-06,-7.247504658696932e-07,-1.3868925814706804e-08,-6.04834462335261e-08
0.5820000000000001,-1.2489435251148862e-05,7.001497650703167e-07,4.420679658501769e-06,-6.259657749020863e-06
0.616,-2.842199747809549e-05,3.666870495553504e-06,5.8795123367334095e-06,-1.593256222694663e-05
0.65,-2.446040175647888e-05,-4.3087721750788295e-08,2.484739322405795e-07,3.961595721616613e-06
0.684,-1.5193681457419262e-05,-9.497051516992733e-08,6.005417870816807e-07,9.266720299059616e-06
0.7180000000000001,-4.608030502133604e-06,-1.0821925824824193e-07,6.883354056436318e-07,1.0585650955285658e-05
0.752,6.315392177116348e-06,-1.1159602051648289e-07,7.108479404323501e-07,1.0923422679249954e-05
0.786,1.7328578968631352e-05,-1.125007513700857e-07,7.168268017680359e-07,1.1013186791515004e-05
0.8200000000000001,2.836588526520343e-05,-1.1275071505351815e-07,7.184293663937312e-07,1.1037306296572078e-05
0.8540000000000001,3.9409932689136666e-05,-1.128273380756814e-07,7.188733604636344e-07,1.1044047423933236e-05
0.888,5.045612038582287e-05,-1.1285806741228975e-07,7.190106128913448e-07,1.1046187696686206e-05
0.922,6.150323007899089e-05,-1.1287664459548767e-07,7.190666283365619e-07,1.104710969316802e-05
0.956,7.255093897384078e-05,-1.1289200276334844e-07,7.191011065682228e-07,1.104770889484989e-05
0.99,8.359916135736258e-05,-1.1290650714368414e-07,7.191298544139523e-07,1.10482223835218e-05
1.024,9.46478743023249e-05,-1.129207841581523e-07,7.191570589781491e-07,1.1048712944962324e-05
1.058,0.0001056970715265,-1.1293499988396765e-07,7.191838312310614e-07,1.1049197224243309e-05
