Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1.469,0.0,0.0,0.0,0.0,0.0,0.0
1.584,0.20842105150222778,2.224181116616819e-05,0.0,0.0,0.0,-0.024278290569782257
1.678,0.20842105150222778,2.945360574813094e-05,0.0,0.0,0.0,-0.025212524458765987
1.782,0.2199999988079071,3.9525184547528625e-05,0.0,0.0,0.0,0.0056945476680994025
1.8820000000000001,0.2199999988079071,1.7622800442040898e-05,0.0,0.0,0.0,-0.00745779275894165
1.9780000000000002,0.20842105150222778,0.0,0.0,0.0,0.0,0.0037858395371586084
2.079,0.2199999988079071,9.00871746125631e-05,0.0,0.0,0.0,0.03865791857242585
2.18,0.20842105150222778,0.0,0.0,0.0,0.0,0.030659945681691173
2.282,0.20842105150222778,8.51950426294934e-06,0.0,0.0,0.0,0.04667576774954796
2.376,0.2199999988079071,0.0,0.0,0.0,0.0,0.07019155472517014
2.479,0.20842105150222778,0.00018108164658769965,0.0,0.0,0.0,0.04954465851187706
2.577,0.2199999988079071,0.0,0.0,0.0,0.0,-0.08900930732488632
2.676,0.2199999988079071,0.00015726970741525292,0.0,0.0,0.0,-0.014606764540076256
2.777,0.2199999988079071,3.0482795409625396e-05,0.0,0.0,0.0,0.025701303035020828
2.879,0.2199999988079071,0.0,0.0,0.0,0.0,0.03278331086039543
2.975,0.20842105150222778,2.7758898795582354e-05,0.0,0.0,0.0,0.026106568053364757
3.076,0.2199999988079071,3.555347939254716e-05,0.0,0.0,0.0,0.042212631553411484
3.175,0.20842105150222778,0.0,0.0,0.0,0.0,-0.04838619008660316
3.278,0.2199999988079071,4.3845870095537975e-05,0.0,0.0,0.0,-0.0901176780462265
3.383,0.2199999988079071,4.5552383198810276e-06,0.0,0.0,0.0,0.03932233154773713
3.474,0.20842105150222778,6.34583193459548e-05,0.0,0.0,0.0,0.07582418620586394
3.583,0.20842105150222778,7.693284715060145e-06,0.0,0.0,0.0,0.036113034933805466
3.68,0.2199999988079071,8.013374099391513e-06,0.0,0.0,0.0,-0.021145923063158992
3.7800000000000002,0.20842105150222778,5.7694542192621157e-05,0.0,0.0,0.0,-0.014041888527572155
