Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1.5470000000000002,0.0,0.0,0.0,0.0,0.0,0.0
1.6680000000000001,0.2199999988079071,6.4787383280418e-07,0.0,0.0,0.0,-0.270759642124176
1.758,0.2199999988079071,2.2627229157023976e-07,0.0,0.0,0.0,-0.27079886198043823
1.855,0.2199999988079071,0.0,0.0,0.0,0.0,-0.30386629700660706
1.959,0.20842105150222778,0.0,0.0,0.0,0.0,-0.28840193152427673
2.059,0.2199999988079071,4.9612176553637255e-06,0.0,0.0,0.0,-0.3240053653717041
2.156,0.2199999988079071,5.2355786465341225e-05,0.0,0.0,0.0,-0.3953349888324737
2.259,0.20842105150222778,0.00014534848742187023,0.0,0.0,0.0,-0.2725069522857666
2.361,0.18526315689086914,9.515817509964108e-05,0.0,0.0,0.0,-0.23242422938346863
2.457,0.2199999988079071,0.00010709181515267119,0.0,0.0,0.0,-0.3713096082210541
2.564,0.2199999988079071,1.7705671780277044e-05,0.0,0.0,0.0,-0.32381159067153936
2.658,0.2199999988079071,0.00014570285566151142,0.0,0.0,0.0,-0.28436148166656494
2.762,0.20842105150222778,0.00013330804358702153,0.0,0.0,0.0,-0.19059742987155914
2.856,0.2199999988079071,6.625943206017837e-05,0.0,0.0,0.0,-0.11741787195205687
2.959,0.2199999988079071,3.043475589947775e-05,0.0,0.0,0.0,-0.17467468976974485
3.061,0.2199999988079071,3.911574822268449e-05,0.0,0.0,0.0,-0.04197084158658981
3.157,0.20842105150222778,8.664323831908405e-05,0.0,0.0,0.0,-0.05254185572266578
3.2560000000000002,0.2199999988079071,3.396726242499426e-05,0.0,0.0,0.0,-0.19154834747314453
3.359,0.2199999988079071,1.7026452042046003e-05,0.0,0.0,0.0,-0.06211822852492333
3.462,0.2199999988079071,0.0,0.0,0.0,0.0,-0.11162319034337997
3.558,0.20842105150222778,1.946294287336059e-05,0.0,0.0,0.0,-0.10168333351612091
3.657,0.2199999988079071,0.0,0.0,0.0,0.0,-0.06960242986679077
3.758,0.19684210419654846,3.247341373935342e-05,0.0,0.0,0.0,-0.00214924942702055
3.857,0.2199999988079071,7.778816507197917e-05,0.0,0.0,0.0,-0.029552869498729706
3.959,0.20842105150222778,8.476187758788e-06,0.0,0.0,0.0,-0.020440483465790752
4.057,0.2199999988079071,8.659459126647562e-06,0.0,0.0,0.0,0.0
4.157,0.2199999988079071,5.7352561270818114e-05,0.0,0.0,0.0,-0.07573046535253525
4.256,0.2199999988079071,2.8346703402348794e-05,0.0,0.0,0.0,0.06208057329058647
4.356,0.2199999988079071,0.0,0.0,0.0,0.0,0.05167474970221519
4.459,0.20842105150222778,0.0,0.0,0.0,0.0,0.044929388910532
4.557,0.2199999988079071,0.0,0.0,0.0,0.0,0.11033201217651366
4.656,0.20842105150222778,1.545380655443296e-05,0.0,0.0,0.0,0.05574994534254074
4.756,0.2199999988079071,0.0,0.0,0.0,0.0,0.08386606723070145
4.852,0.2199999988079071,0.0,0.0,0.0,0.0,0.08491800725460052
4.961,0.20842105150222778,0.0,0.0,0.0,0.0,0.07687754184007645
5.058,0.2199999988079071,0.0,0.0,0.0,0.0,0.025032572448253635
5.158,0.2199999988079071,0.0,0.0,0.0,0.0,0.0
5.259,0.2199999988079071,0.0,0.0,0.0,0.0,0.023151598870754242
5.398,0.20842105150222778,0.0,0.0,0.0,0.0,0.022744880989193916
5.46,0.2199999988079071,0.0,0.0,0.0,0.0,0.049468435347080224
5.575,0.2199999988079071,0.0,0.0,0.0,0.0,0.04877095669507981
