Theta_calculated,yaw_world,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x
2.518153154456119,2.43251779055941,0.2061704869549962,-0.1673847004903143,0.1203687323727721,-0.0486862207510655,-0.1854954335860535,0.0708489921657884,-0.0054412925520193,0.0046623713911195,-0.0013199367100686,-0.0055707783525996,0.0040126295144003,-0.0016212511510104,0.2084427200893693
2.516531903305108,2.432011447215046,0.2177876084592198,-0.1766099767971364,0.1274376651312373,-0.0167684868735843,0.3488625076343436,0.958490506831268,-0.0056717527140079,0.0048671229530501,-0.0005063433443641,-0.0058800535117638,0.0042451409273764,-0.0005583906128903,0.2084427200893693
2.5159735126922183,2.431479231718669,0.2244635217588314,-0.181950289308207,0.1314456725078356,-0.0156830655385221,0.2004778768652137,0.0325952352871532,-0.0056762790816573,0.0048763415596464,-0.0005322154963764,-0.0060579317623519,0.0043785424493419,-0.0005222460824327,0.2199291206844548
2.515451266609785,2.430951536113271,0.2180390172631038,-0.1766758751248921,0.1277757731258693,-0.0157110508669471,-0.1929280629347626,-0.000840400253003,-0.0055788354405152,0.0047976355440211,-0.0005276956053985,-0.0058823200656923,0.0042562969118971,-0.0005231779938693,0.2202837192809105
2.514928088615916,2.4296893666153165,0.2067840395761169,-0.1674926038884769,0.1212677478395424,-0.0378666045434998,-0.3379873179275365,-0.6653319422388209,-0.0053842240283918,0.0046386767543449,-0.0012621694979544,-0.0055750765637626,0.0040415654321336,-0.0012609579312985,0.2202837192809105
2.513667130684617,2.428377671765426,0.2131392615989299,-0.1724825075480356,0.1252123373509132,-0.0383476398939352,0.1908475081925832,-0.0144455060190813,-0.0053816386464331,0.0046490434791754,-0.0013116948498899,-0.0057411279767289,0.0041730660207369,-0.001276976408468,0.2091783801581142
2.512390154276149,2.426038880738355,0.2069391629567852,-0.1673097120209954,0.121783732200596,-0.0389532657891386,-0.1861891484127524,-0.018186963819922,-0.0054491777607903,0.004721728654444,-0.0023387910270717,-0.0055689024877455,0.0040588447913157,-0.0012971437507783,0.2092062589029982
2.5110930105253715,2.422387435086071,0.2181470941389838,-0.176204616688124,0.1286082724363948,-0.0582629790272247,0.336574509975932,-0.5798712684109937,-0.0055788503320566,0.0048628408823565,-0.003651445652284,-0.005863583228593,0.004288170240647,-0.0019401572016065,0.2092062589029982
2.509152853323764,2.418371327074728,0.2249681719909788,-0.1814565625025511,0.1329819323581982,-0.0627890461641991,0.2048371727325845,-0.1359179320412717,-0.0055403942721605,0.0048669560294287,-0.0040161080113429,-0.0060380016608844,0.0044344323963965,-0.0020908752372678,0.2177492201092106
2.5070619780864964,2.4145674555889323,0.2182522666035984,-0.1757694630263815,0.1293798583436607,-0.0616131648269492,-0.2016788404618738,0.0353117518693642,-0.0054565986415948,0.004830572661179,-0.0038038714857955,-0.0058488277136078,0.0043141765881488,-0.0020517183887374,0.2173016611095034
2.507033827158809,2.408921318997585,0.2125247927710893,-0.171153295320716,0.1259894322681637,-0.0658836843118712,0.8855491850027503,-3.803347625674737,-0.0052465015809262,0.0047086204635669,-0.0018080986006769,-0.005694923016326,0.0042015271969186,-0.0021939266875853,0.207772571114623
2.5048399004712234,2.408624832364953,0.2062395051042866,-0.1658229073963469,0.1226274718335316,-0.0666158509655468,-0.1887473773814623,-0.0219869865968654,-0.0052852367402091,0.0047554392593731,-0.0002964866326315,-0.0055174908331624,0.0040894518161986,-0.0022183078371527,0.2065323187757323
2.5026215926340702,2.408582437992633,0.2180843451512487,-0.1750584434537648,0.1300589211688071,-0.0466933567199949,0.3557009023111723,0.598273100467025,-0.0054593520260122,0.0049112757030269,-4.239437232067544e-05,-0.0058262058255869,0.004335318922611,-0.0015548887787758,0.2065323187757323
2.501066703855294,2.4070610949204934,0.2242718770931498,-0.1798170537251328,0.134028735890844,-0.049755857897973,0.1858117700270619,-0.0919670023416853,-0.0055535902977628,0.0050064120564514,-0.0015213430721394,-0.0059843407525359,0.0044679372696893,-0.0016568700680025,0.214542498824781
2.499409833787292,2.4057621598152217,0.2176821956228348,-0.1743177859508812,0.1303796295145866,-0.0459157963145348,-0.1978883324418934,0.1153171646678152,-0.0055504306779339,0.0050182125961844,-0.0012989351052716,-0.0058015902388536,0.0043459049712689,-0.001528996017274,0.22010421108058
2.497880837770018,2.4045377425997057,0.2177672935104544,-0.1741862998819126,0.1306970812846132,-0.0354853431730578,0.0025554921207085,0.3132268210653756,-0.0055480415247457,0.0050283860289142,-0.001224417215516,-0.005797960703307,0.004355466216243,-0.0011816619276628,0.22010421108058
2.496699175842356,2.40329178033613,0.2245430597547943,-0.1794466856654412,0.1349758226043962,-0.0368249667672262,0.2034764637939917,-0.0402289367618138,-0.0055466084919137,0.0050396479362582,-0.0012459622635758,-0.0059729512158518,0.004498179758089,-0.0012262713933486,0.220366284974348
2.495472904449006,2.401982962182218,0.2181189973739286,-0.17415189488593,0.1313278893573175,-0.0363558123528735,-0.1929147862121834,0.0140887211517301,-0.0053625204115232,0.0048844600040827,-0.0013088181539115,-0.005796739784787,0.004376555479514,-0.0012106485513506,0.2205524740545585
2.494262255897656,2.400471895362227,0.2068413288611304,-0.1649966179258726,0.1247375300303076,-0.0518702673204169,-0.3386687241080527,-0.4658995485748759,-0.0052517760470058,0.0047978749013142,-0.0015110668199911,-0.005490921112086,0.004158339362556,-0.0017272799017698,0.209207204616887
2.492534975995886,2.3989448144802554,0.2132135878839562,-0.1698573991629062,0.1288739617143924,-0.0441034269534411,0.1913591298145874,0.2332384494587339,-0.0052459420301489,0.0048074101891242,-0.0015270808819716,-0.0056532259169974,0.0042954865658587,-0.0014686441175495,0.2092848422008143
2.4910663318783364,2.396345663804168,0.2069897237259075,-0.1647152117690447,0.1253540774765874,-0.0444780317481966,-0.1869028275690286,-0.0112493932359008,-0.0053289043908226,0.0049017389623451,-0.0025991506760871,-0.0054820476476986,0.0041781880036123,-0.0014811184572149,0.2092848422008143
2.4895852134211207,2.3934522038868864,0.218232477642972,-0.1734658646038233,0.1324198176839039,0.0032891934189249,0.3376202377496847,1.434451206219866,-0.0053483928820261,0.0049440942071545,-0.0028934599172818,-0.0057767860563245,0.0044090915694354,0.0001095301408502,0.214628898644189
