odom_world_velocity_x,odom_world_velocity_y,odom_angular_velocity,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
-0.1527688589282408,-0.1587214995506787,0.03446163380361,-0.0051973601873263,-0.0053938192549206,0.0011516048362296,-0.0048572512564551,-0.0054144162085381,0.0011471426663178
-0.1371212094351465,-0.1417791833591213,0.07203762125351651,-0.0047717397333532,-0.0049250441524442,0.0036556987104439,-0.0043726572127251,-0.0048304619457136,0.0063281646315899
-8.079148811396264e-05,-6.936024787715378e-05,-0.0065180870895548,-2.5646248011934603e-06,-2.3909641790886837e-06,-0.0002170939732693,-9.284563911096234e-07,-1.896213447097936e-06,-0.0002048711511589
-0.1495971576666823,-0.146178172449349,-0.0085160271232973,-0.0051746800807512,-0.005055510998545,-0.0006148107354735,-0.0048713278594456,-0.0051729584737784,-0.0002811045909759
-0.1073823754112658,-0.1127920084301632,0.027513548747172302,-0.0035920927749772,-0.003782225523609,-0.0003760678144821,-0.0033539309550807,-0.0043601596516512,-0.0017868268637966
-0.0894167294023936,-0.07621833276170212,-0.2182082048641776,-0.0030338310071986,-0.0025976801659066,-0.0074899729620852,-0.0025742431607315,-0.0028086747026448,-0.0072650809306454
-0.1573086417508448,-0.1538689329592926,0.0008652882869344992,-0.0053482833929656,-0.0052323643518439,2.0452087758027204e-05,-0.0049612829188237,-0.0052973723303442,3.046083842708214e-05
-0.1545273854565346,-0.1566308914131095,-0.0474150280531153,-0.0052542915791518,-0.0053258364237886,-0.0016470410556553997,-0.0048487052175189,-0.0053820272386411,-0.0016050662204056
-0.1043301592749387,-0.1086963464738355,-0.0506252163234654,-0.0034399170280392,-0.0035840542362604,-0.002445947916021,-0.0031108621929737,-0.0040401831978178,-0.0019648602271378
-5.5577530377909357e-05,-4.7898855481537383e-05,-0.0065131002227794,-1.608043356915445e-06,-1.7063119903681923e-06,-0.0002168695803699,-4.40757248957505e-07,-9.043127674998876e-07,-0.00020577308827
-0.1479303406464365,-0.1519829677296042,0.12289553415633131,-0.0049905883435623,-0.005121302618736,0.0031823692840693,-0.0048821461326979,-0.0053635252817459,-0.0004094156731079
-0.0870552877361222,-0.0768558076197101,-0.0978930259099475,-0.002956191249148,-0.0026164690738248,-0.0033583707932782,-0.0025239238325537,-0.0028430855242966,-0.0032623272630423
-0.1446717074339503,-0.1512380538767704,-0.031314260690273,-0.0049168810946932,-0.0051454273970509,-0.0010427648809860001,-0.0047128725615468,-0.0053185917468656,-0.0010309520770552
-0.1530994886477589,-0.1568083475454782,0.0364861791529941,-0.0052079351626502,-0.0053331167919289,0.0008043865707665,-0.0049617683766819,-0.0055703345227439,0.0012090832751417
-0.146200630667821,-0.1496882479445096,-0.0251433096516602,-0.0049658438785912,-0.0050954766846333,-0.000679424211317,-0.0047917029201091,-0.0054520539183781,-0.0008849035615623
-0.1559361305862075,-0.1543174362099681,0.023251122751321802,-0.005301647472617,-0.0052494378655763,0.0008139252671539001,-0.0049628286254571,-0.0052769883533638,0.0007752177853995
-0.1354977037946748,-0.1425481466755999,0.08706160580873551,-0.0046215082115528,-0.0048527839409324,0.002766414383827,-0.0043207640389426,-0.0051360192784835,0.0029070909307487
-0.1462791082162968,-0.1499780421520903,-0.0005695639182311998,-0.0049484920417255,-0.0050715785384606,-0.0003958953838147,-0.0046878405002299,-0.0053198354598014,-0.0009486138867236
-0.1562786782409658,-0.1556299983994179,0.0003967850500748993,-0.0053131735525633,-0.0052915134187631,-2.931657025451173e-05,-0.0049688145818664,-0.0053119022622859,1.5910873434243912e-05
-0.1520842412904975,-0.1583517791651985,0.0323981498786854,-0.0051607597335894,-0.0053685353377093,0.0010761355893422002,-0.0049947662084475,-0.0055807051607796,0.001171042950671
-0.1557797713715494,-0.1551782777865033,-0.0152157664180019,-0.0052987077422155,-0.005277429029286,-0.0005344216533393,-0.0048961260193987,-0.0053439979123954,-0.0005060000422036
-0.1540089179913413,-0.1566003244717999,-0.0382513572356686,-0.0052217546055792,-0.0053154607698191,-0.0011568031081523001,-0.0049839896349665,-0.0055540568332525,-0.0016905245569337
-0.1536192737257822,-0.1577004338808263,0.0012919019694264,-0.005218213675682,-0.0053576892736344,4.384587078565261e-05,-0.0049458039322285,-0.0056134012718825,4.494368685281636e-05
-0.1546992347829158,-0.155069844315664,0.0400715262866119,-0.0052613921268576,-0.005269875714422,0.0013785274115045002,-0.0048749088008223,-0.0053515716861747,0.0013318970855376
-0.1563892091987594,-0.1524959945371405,-0.018613138103293,-0.0052972041981602,-0.0051664162907905,0.00018588373952560001,-0.0049657368744368,-0.0052815025621625,0.0007957995314431
-0.1534887450341412,-0.1575528762864802,0.0017742833032759007,-0.0052160981002373,-0.005355027163627,6.007722234224744e-05,-0.0047965615168432,-0.0054434339992237,6.070451494171181e-05
-0.1528430799876745,-0.1570863378222557,0.1367897709553306,-0.0051903982430847,-0.0053182141730832,0.0045838866519458,-0.004920407636699,-0.0056451820555278,0.0045577026033433
