Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1.171,0.0,0.0,0.0,0.0,0.0,0.0
1.279,0.2199999988079071,2.249637145723682e-05,0.0,0.0,0.0,0.008549420163035394
1.377,0.2199999988079071,1.7181910152430646e-05,0.0,0.0,0.0,0.008258847519755363
1.477,0.2199999988079071,9.60012857831316e-06,0.0,0.0,0.0,0.0071947993710637075
1.578,0.2199999988079071,0.0,0.0,0.0,0.0,0.006183770950883627
1.677,0.2199999988079071,0.0,0.0,0.0,0.0,0.0139728719368577
1.778,0.20842105150222778,2.142719313269481e-05,0.0,0.0,0.0,0.0038081086240708832
1.877,0.20842105150222778,3.810535417869687e-05,0.0,0.0,0.0,0.011332553811371326
1.9780000000000002,0.2199999988079071,9.844450687523931e-06,0.0,0.0,0.0,0.0
2.077,0.2199999988079071,0.0,0.0,0.0,0.0,0.0
2.176,0.2199999988079071,0.00025263038696721196,0.0,0.0,0.0,0.0
2.276,0.2199999988079071,3.670608202810399e-05,0.0,0.0,0.0,0.0
2.376,0.2199999988079071,2.3084940039552748e-05,0.0,0.0,0.0,0.0
2.476,0.20842105150222778,0.0,0.0,0.0,0.0,0.0
2.5780000000000003,0.20842105150222778,0.0,0.0,0.0,0.0,0.0
2.677,0.2199999988079071,0.0,0.0,0.0,0.0,0.0
2.777,0.2199999988079071,0.0001758554280968383,0.0,0.0,0.0,0.0
2.878,0.2199999988079071,2.1023035515099764e-05,0.0,0.0,0.0,0.0
2.976,0.2199999988079071,6.653966011072043e-06,0.0,0.0,0.0,0.0
3.077,0.2199999988079071,0.0,0.0,0.0,0.0,0.0
3.176,0.2199999988079071,4.402960985316895e-05,0.0,0.0,0.0,0.0
3.279,0.20842105150222778,2.666657201189082e-05,0.0,0.0,0.0,0.0
3.378,0.20842105150222778,1.9895129298674874e-05,0.0,0.0,0.0,0.0
3.477,0.2199999988079071,1.1242095752095338e-05,0.0,0.0,0.0,0.0
3.576,0.2199999988079071,0.0,0.0,0.0,0.0,0.0
3.678,0.2199999988079071,6.673044845229015e-05,0.0,0.0,0.0,0.0
3.779,0.2199999988079071,2.677329939615447e-05,0.0,0.0,0.0,0.0
3.877,0.2199999988079071,1.3375574781093746e-05,0.0,0.0,0.0,0.0
3.9770000000000003,0.20842105150222778,0.0,0.0,0.0,0.0,0.0
4.078,0.20842105150222778,0.00012540534953586757,0.0,0.0,0.0,0.0
4.177,0.2199999988079071,2.5603960239095613e-05,0.0,0.0,0.0,0.0
4.277,0.2199999988079071,3.849763743346557e-05,0.0,0.0,0.0,0.0
4.376,0.2199999988079071,1.635523949516937e-05,0.0,0.0,0.0,0.0
