odom_world_velocity_x,odom_world_velocity_y,odom_yaw_world,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
-0.1510199769362461,-0.1438371066543576,-2.380550187689521,-0.0051350965305821,-0.0048926609029053,0.0008966509911951,-0.0049241144703685,-0.0051141755463012,0.0009451301989368
-0.1425027511590322,-0.1522296819649345,-2.3232038838285893,-0.0048662060532593,-0.0051987599525438,5.503113765126244e-06,-0.0044145833985899,-0.0052739302747519,4.039454299107348e-05
-3.1005924495286497e-05,-3.7873325875986685e-05,-2.256820861975174,-1.1441620679786269e-06,-1.1318058530385144e-06,-0.00019904245261850005,3.908782642995305e-07,6.092063173103676e-07,-0.000167805064306
-0.1556272006545077,-0.1507319645468931,-2.372171879183831,-0.0053021868788308,-0.0051452011981569,0.0019022954260585001,-0.0051344370842256,-0.0054340387016997,0.0013271341459161
-2.2192537705051363e-05,-2.699026878708044e-05,-2.25895320517592,-8.414511640797429e-07,-7.569935478457523e-07,-0.0001961997582067,5.867806117894861e-07,9.108062167470612e-07,-0.0001717338926212
-0.1494833336371094,-0.142120261965958,-2.3814394032866826,-0.0049932386303624,-0.0047534688270619,0.0014971627756024002,-0.0047803222608473,-0.0049326881374301,0.0018063414927014
-0.1433370148195618,-0.1500286726700351,-2.333388490872064,-0.004871870233752,-0.0051020883475714,0.0058207284392892,-0.0045406281841149,-0.0051880687950704,0.0056669456211547
-0.1532628889909781,-0.145285436228549,-2.382908942304689,-0.005178423122282,-0.0049147146487849,0.0009573743208526,-0.0047937937816074,-0.004928596040918,0.001836153770704
-0.067492224138578,-0.0939247942135467,-2.193881768136524,-0.002296206069337,-0.0031903436913698,0.0015978040255655002,-0.0021376714314087,-0.0031764197617481,0.0015520646412518
-0.1527346773289023,-0.1470147345595299,-2.3752745898030683,-0.0051861188005858,-0.0049934276730273,0.0004647539306636,-0.0051749724216633,-0.0053967752493933,-0.0017874879570594
-3.366929729967105e-05,-4.115959172842909e-05,-2.2564278523890984,-1.2105641065129902e-06,-1.2463199028367455e-06,-0.00019952861145079996,3.786605739611776e-07,5.906079020329668e-07,-0.0001687853406831
-0.1541376340569142,-0.1495668731778932,-2.3712433805432185,-0.0051705543387595,-0.0050127917733112,0.0016535918076368001,-0.0049963741911031,-0.0052581543273719,0.0022912698399298
-0.1512221271992928,-0.1608391316644173,-2.325386559351277,-0.0051415657958293,-0.0054682161821004,-0.0008075276107337,-0.0047073431459452,-0.0055465184520086,-0.0007583585553017
-0.1510453586621309,-0.1441105577988123,-2.379685549729349,-0.005134973601947,-0.0049013389677984,0.0008806303753474,-0.0047764934087736,-0.0049698601980933,0.0008667893848425
-0.1520019429276148,-0.1584324754335394,-2.3354828274670743,-0.0051676240021889,-0.0053877082345472,7.995712549879741e-05,-0.0049382000809749,-0.0055947709229354,9.84656488296043e-05
-0.1589203803283166,-0.1520861021966427,-2.3781656669060056,-0.0054028416661677,-0.0051716520931599,-0.0005283296822424,-0.0050450366521217,-0.0052074534444391,-0.0005038532034044
-0.131121393022006,-0.1622702752508151,-2.2504224551943834,-0.0044505197174806,-0.0055052456987461,0.0009372025131511,-0.0041038025690104,-0.0055363712411697,0.0008077461915289
-0.159999662000884,-0.1517075780558021,-2.382790371447247,-0.0053946957553421,-0.0051116483990389,-0.00041212650831920006,-0.0050860227339524,-0.0052019332137575,-0.0005554727635053
-0.154032307634679,-0.1571464459038968,-2.3461872699738984,-0.0052377541744169,-0.0053374330909893,0.0028731446655196,-0.0050222088046431,-0.005558999601363,0.0028157751373989
-0.1588967870856045,-0.1533639157622886,-2.373911392636173,-0.0054021810427231,-0.0052160994484675,-0.0010288181185947997,-0.00503479365751,-0.0052577906054302,-0.000990134273933
-0.1580304157667623,-0.1525585882777138,-2.373810250600312,-0.0053684731773228,-0.0051902497548481,-0.0013027572040232999,-0.0050074940033075,-0.0052304969683649,-0.0012918099399157
-0.06676060369469589,-0.094292036838374,-2.186884273523799,-0.0022703248436528,-0.003202848645488,0.0018433658613346,-0.0021166836449608,-0.0031928015074177,0.0017764150774275
-0.1316838836745217,-0.1583682282403691,-2.2644542801154937,-0.004482041479541,-0.005376319442587,0.0033002861857522,-0.0043739117448799,-0.0057844573364467,-0.0015562997338961
-0.1155164841330248,-0.1432723360965044,-2.2493500229306327,-0.0039323441472707,-0.0048827791691143,3.617090100771492e-05,-0.003639549609929,-0.0049066405773618,-0.0002567781660921
-0.1417814236074366,-0.1502735500825547,-2.3271255300867693,-0.0048359888036488,-0.0051280996913185,-0.0016261389917975,-0.0044558949541352,-0.0052470283189927,-0.0006283172362627
-0.1503136466470666,-0.1574259477269353,-2.3330871770656456,-0.0050454690747585,-0.0052849347924719,0.0009881154643864,-0.0047287675947926,-0.0054962818858122,-0.0009194247513322
-0.087666021467948,-0.1084826099881428,-2.250463642809257,-0.0029152115182842,-0.0036090333472791,0.0002875100504122,-0.0027450726178403,-0.0036903577552727,-0.0003010946774719
-0.1442158533934297,-0.1505142393142899,-2.334827729341169,-0.0048987413365244,-0.0051157389852758,-0.00036319478096829996,-0.0046184198471686,-0.0053951904261565,-2.0983947811226147e-05
-0.1450910641901047,-0.1495172805412991,-2.3411715506084,-0.0049329326813949,-0.0050808226960457,0.0006034016572677,-0.0045642424725763,-0.0051444343138739,0.0005914098111338
-1.532732026465755e-05,-1.85467016334262e-05,-2.2614392680823,-6.205149816196354e-07,-4.872828318625011e-07,-0.00019437112339069993,7.234020411097633e-07,1.1175042659684422e-06,-0.0001657718165143
-0.162794833819647,-0.1478801576773058,-2.404164987978369,-0.0055340225099681,-0.00502678574134,0.0005150584798592,-0.0051381509870052,-0.0051266184094803,0.0005034440406468
-0.1497688490614299,-0.1441944705534275,-2.375155054719065,-0.0050962493218341,-0.0049040814876714,-0.0007201654092563,-0.0047556382912171,-0.0049766555922198,-0.0005275965369309
-0.1517703813556438,-0.1563184333467136,-2.3414334166145183,-0.0051447344143732,-0.0053053745616133,0.0023388110645932,-0.0048356193281868,-0.0054127784962696,0.0027622515353947
-0.149083543215769,-0.1585270940316176,-2.3255044405256484,-0.0049165576887051,-0.0052310971934175,0.0005230630843597,-0.0046819523409447,-0.0055287487626589,0.0006230845004278
-0.1495364485285389,-0.1448437075749561,-2.3721342314179745,-0.0051112454319235,-0.0049606751644337,0.0024239496225244,-0.0051481737387604,-0.0054210380866498,0.0001870144120487
-0.1585937158200499,-0.1518547935220735,-2.377898134896476,-0.0054009238117102,-0.00517356193472,0.0021440612407972,-0.0051735935447097,-0.0054089536914227,0.0022163395662476
-0.1516371050990638,-0.1584707733691469,-2.334161633516876,-0.0051518057935099,-0.0053794373138494,-0.0005296470119735,-0.0049484210973495,-0.005623319685751,-6.759973264025554e-05
-0.1543217373635392,-0.1577729934766258,-2.345136580203054,-0.0052468537536345,-0.0053610661534415,-0.00048794487667479995,-0.0048380619231244,-0.0054384555523872,-0.0004258082018044
1.9903623943995363e-06,1.9863896545679882e-06,-2.3571934809411585,5.742708885673672e-07,-4.332311200633959e-07,1.0821710488606584e-05,6.394267557595787e-08,6.394325507273767e-08,7.69560192123937e-06
-0.1541846106286654,-0.1568637684463975,-2.347581387710389,-0.00523546681112,-0.0053324813557382,-0.0007579054148454,-0.0048334970954251,-0.0053975953879764,-0.0010798900364304
-0.1021233775905548,-0.1265360969575663,-2.2498328743967195,-0.0034644676468889,-0.0042937121586088,-8.974905863912136e-05,-0.0032972000470904,-0.0044422588215124,-0.0001538441791642
-0.1414579291859992,-0.1354786334059955,-2.377781986156837,-0.0049640660845353,-0.0047593771761813,0.0017747856628833,-0.004497430479397,-0.0046616185512658,0.0018123121763427
-0.1600713198665679,-0.1521176931392412,-2.3816659393186845,-0.0054427690144259,-0.0051709459944753,-0.0005756369495006001,-0.0052370256845253,-0.0053684130131349,-0.0005744465954847
-0.1556026068032829,-0.1553498460757756,-2.3570073497453,-0.0052973669123961,-0.0052772606940273,0.002814772983525,-0.0049405776509764,-0.0053458432989284,0.0029908901464337
