Time,yaw_world,delta_position_x_world,delta_position_y_world,delta_yaw,Theta_calculated,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,odom_world_velocity_x,odom_world_velocity_y,odom_angular_velocity,odom_yaw_world
0.6020000000000001,-4.1302246175577844e-06,6.793284099693153e-07,2.84495182523159e-07,-3.040884890050785e-06,8.838844770764354e-07,9.32986444410175e-06,9.329864444098105e-06,8.246522355367828e-12,-8.276266869531232e-05,0.0004024544794709404,-0.00274464940273785,3.106844859883478e-07,-2.9719502900875367e-13,-2.7559968675539004e-06,3.793445283149331e-05,3.79344528313943e-05,-8.666922687892485e-11,-5.7299559652600224e-05,-2.284710083047439e-06
0.636,-3.986798797306226e-06,-2.2514825559483143e-09,8.870161938290266e-09,1.43425820251558e-07,-1.8721123904774652e-06,1.1023749617329064e-05,1.1023749617309745e-05,-2.06376982481109e-11,-1.117869786127435e-05,5.086742261943886e-05,0.002149668793814954,3.6709086225588933e-07,-9.252443758331578e-13,-3.722506387804359e-07,-3.119871954321517e-07,-3.1198719542944546e-07,1.2994660747697323e-12,-5.646895563881846e-05,-4.165126305820094e-06
0.67,-3.7064430672542232e-06,-3.131363390806996e-09,1.770616520069268e-08,2.803557300520032e-07,-2.2443630292579005e-06,3.2702411561507665e-07,3.27024115614253e-07,-7.339608347616231e-13,2.9723677838364034e-06,-0.00032122298803945903,0.00042495692627960216,1.088990304994362e-08,-2.892471990913545e-14,9.897984720175224e-08,1.195235573108455e-07,1.195235573099279e-07,-4.68335078513777e-13,7.410713008198441e-06,-3.918349562647086e-06
0.7040000000000001,-3.4031347405163533e-06,-3.2649649650551282e-09,1.9224290603858663e-08,3.0330832673786993e-07,-2.1453831820561486e-06,-6.872089163989114e-08,-6.872089163973299e-08,1.4743264518001233e-13,7.344636609607091e-06,-1.1884234452101134e-05,0.00013129936413725784,-2.288405691601299e-09,5.688426381884862e-15,2.4457639909991616e-07,7.876867014861074e-08,7.876867014809265e-08,-2.856904162259051e-13,8.750589682788833e-06,-3.626954926210218e-06
0.7380000000000001,-3.096447090942018e-06,-3.301947604228417e-09,1.944775029905088e-08,3.066876495743353e-07,-1.9008067829562326e-06,-6.027458292239034e-08,-6.027458292228146e-08,1.1457033605866846e-13,7.790783822874485e-06,2.536429044294536e-07,1.3397814212234072e-05,-2.007143611310589e-09,4.48281262910447e-15,2.594331013017204e-07,7.813996792880795e-08,7.813996792837443e-08,-2.60290692124255e-13,8.885053076190479e-06,-3.331082658773075e-06
0.772,-2.7892677635525155e-06,-3.306824813975595e-09,1.948026406850545e-08,3.0717932738950246e-07,-1.6413736816545125e-06,-4.9631992769892745e-08,-4.963199276982588e-08,8.146464670053242e-14,7.969990979496223e-06,3.195973018768046e-07,5.381596294947071e-06,-1.6527453592342116e-09,3.257762310622561e-15,2.6540069961722426e-07,7.791648550710893e-08,7.791648550675049e-08,-2.3633778358419344e-13,8.944847167325563e-06,-3.0332192481011336e-06
0.806,-2.4820158124015375e-06,-3.3075635563761807e-09,1.9485065116953137e-08,3.07251951150978e-07,-1.3759729820372882e-06,-4.177630293752229e-08,-4.1776302937482745e-08,5.748306413141753e-14,8.302142940086765e-06,2.3590660157268629e-07,9.974533351067334e-06,-1.391150887817476e-09,2.3653797841562804e-15,2.764613599048893e-07,7.788540744167848e-08,7.788540744138909e-08,-2.1231657533691446e-13,9.225435164453397e-06,-2.7260122571248354e-06
0.8400000000000001,-2.17475247824589e-06,-3.3076854588642846e-09,1.9485816515896204e-08,3.0726333415564763e-07,-1.099511622132399e-06,-3.272334775522645e-08,-3.272334775520667e-08,3.597970117194438e-14,8.114188228732418e-06,2.7186051598486005e-07,-5.644285626256673e-06,-1.0896874802479287e-09,1.5549902231044485e-15,2.7020246801678955e-07,7.788190991725024e-08,7.788190991702072e-08,-1.8908117312043503e-13,8.955526539026997e-06,-2.4277932233752364e-06
0.874,-1.8674867274714955e-06,-3.307716989198184e-09,1.948597372347649e-08,3.072657507743945e-07,-8.293091541156092e-07,-2.5852308202087696e-08,-2.5852308202078805e-08,2.1439555847006914e-14,8.150465321173537e-06,2.063375241182809e-07,1.089402175408978e-06,-8.60881863128942e-10,9.948225083586382e-16,2.714104951950788e-07,7.788224104152826e-08,7.788224104135167e-08,-1.6585540615628253e-13,8.955759506373241e-06,-2.1295664318130074e-06
0.908,-1.5602198768345428e-06,-3.307734308677368e-09,1.9486044777750067e-08,3.072668506369527e-07,-5.578986589205305e-07,-1.9988483581025385e-08,-1.9988483581022275e-08,1.1151548183708527e-14,8.419199106648336e-06,1.7609082946133062e-07,8.070083647891858e-06,-6.656165032478854e-10,5.862111574436391e-16,2.803593302513896e-07,7.788303226165208e-08,7.788303226152277e-08,-1.4192628750267045e-13,9.227205594935758e-06,-1.8223004855016467e-06
