Theta_calculated,yaw_world,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,Time,odom_world_velocity_x,odom_world_velocity_y,odom_yaw_world
2.71699694984649,2.708756292337783,0.2181186063982549,-0.1987508428821454,0.0898544874269146,-0.239038555251228,-0.1984910430100973,-1.1735716813480566,-0.0068724791166554,0.0031386607166785,-0.0082406575087068,-0.0045105697461033,-0.0056930421848311,-0.0079599838898658,0.2222769041926884,211.742,-0.2024512216367434,0.0917634186115348,2.7160294702024683
2.708756292337783,2.7001838245269534,0.218113681007339,-0.1979991716450353,0.0914871896521643,-0.2394660205262888,-0.0001479096371132,-0.0128367950468707,-0.0068231962385174,0.0031847219879801,-0.0085724678108296,-0.0045556802383017,-0.0056567979243874,-0.0079742184835254,0.2220799882473888,211.776,-0.2015315049347777,0.0932983049078812,2.708024726670932
2.7001838245269534,2.6907453127363508,0.2246836776161061,-0.2031479020687962,0.095987941285065,-0.2466155498268562,0.197297195458471,-0.2147005795966183,-0.0067943023105738,0.0032456846244499,-0.0094385117906026,-0.0047399119380001,-0.0057890191209906,-0.0082122978092343,0.2204980842172736,211.81,-0.1992887707628339,0.0943577818270781,2.6993912375221525
2.681795854309119,2.681795854309119,0.2179374192095471,-0.1953030250150005,0.096713220976803,-0.2643931938976991,-0.0024101772630241,-0.0050197346972584,-0.0067796415961647,0.0033170204455188,-0.0089494584272316,-0.004694080349739,-0.0055347904965893,-0.0088042933567933,0.2222310672756664,211.844,-0.1991245251169141,0.0986715296296008,2.6815300404575013
2.681795854309119,2.672719979612049,0.2179374192095471,-0.1953030250150005,0.096713220976803,-0.2643931938976991,-0.0024101772630241,-0.0050197346972584,-0.0067602095268255,0.0033834376888031,-0.00907587469707,-0.004694080349739,-0.0055347904965893,-0.0088042933567933,0.222287347295547,211.878,-0.1982709508834768,0.1005002229025042,2.672453623742758
2.666451898878832,2.666451898878832,0.2066527170194939,-0.183761452568182,0.0945360989335335,-0.0971204892109326,-0.5358547733051684,5.247943222484532,-0.0065701160300988,0.0033559947695827,-0.0062680807332173,-0.0045296316336956,-0.0051805334189258,-0.003234112290724,0.2104126900172288,211.912,-0.1871049271164296,0.0962561497725831,2.666451898878832
2.666451898878832,2.6584385153104018,0.2065012620794646,-0.1836267745432335,0.0944668138091901,-0.2593392721279683,-0.0045481963972779,-4.871434922433505,-0.0063478611348868,0.0032928025250835,-0.0080133835684299,-0.0045569440273593,-0.0051497679411647,-0.0086359977618613,0.2106829298697355,211.946,-0.1865925093771649,0.0978290978330501,2.6587002560631423
2.6584385153104018,2.649532231412536,0.2127250394046662,-0.1883752545442967,0.0988266455217831,-0.2673980620908462,0.1869002199760232,-0.2420057045909262,-0.0063308778591379,0.0033548231043485,-0.0089062838978657,-0.0047406300864996,-0.0052636034453676,-0.0089043554676251,0.2107134713063526,211.98,-0.1857408264675817,0.0995013184491177,2.6497947546776643
2.649532231412536,2.640159315878309,0.2180746290728698,-0.1922025382230577,0.1030278027810152,-0.2788861817474536,0.1606483383844938,-0.3449885782765001,-0.0065788874220611,0.0035633933397749,-0.0093729155342265,-0.0049087236667416,-0.0053515445294914,-0.0092869098521902,0.2225783671856189,212.014,-0.1952379445751415,0.1068797199523378,2.640722300631009
2.640159315878309,2.6305865970421123,0.2180142732214409,-0.1911755131728427,0.1047957369904584,-0.2789792224217177,-0.0018124880308982,-0.0027940142421628,-0.0066182851204545,0.0036664407148618,-0.0095727188361971,-0.0049568465211101,-0.0053042513941744,-0.0092900081066432,0.2225509454931201,212.048,-0.1942126004232196,0.1086756144529789,2.631431463331253
2.6305865970421123,2.621096180030275,0.2246600068260172,-0.1959603496883396,0.1098711063796562,-0.2875911910252996,0.1995715797170049,-0.2586176757832412,-0.0065831313733586,0.0037297633146753,-0.0094904170118375,-0.0051592793681157,-0.0054175120040041,-0.0095767866611424,0.2225979774145559,212.082,-0.1932036831336555,0.1105540427693223,2.6218539048490554
2.621096180030275,2.6140123103462427,0.2180863701273808,-0.1892057122422068,0.1084567346468451,-0.2059465885379565,-0.1974065074665566,2.451789864484778,-0.006534461781624,0.0037746077772675,-0.007083869684032,-0.0050513720028968,-0.0052176708115515,-0.0068580213983139,0.2219786447363065,212.116,-0.1918885798466118,0.1115943172541408,2.614843913300488
2.6140123103462427,2.6069414844150938,0.2181301346024098,-0.1884704917486949,0.1098163437821098,-0.2060461641025671,0.0013142484993699,-0.0029902571955143,-0.0065087537570562,0.0038212987023569,-0.0070708259311489,-0.0050880652574555,-0.0051839376003481,-0.0068613372646154,0.2220198408667781,212.15,-0.191153732525566,0.1129294482411642,2.607981521072352
2.6069414844150938,2.5999893865471813,0.224765338282078,-0.1933985318340637,0.1145271372971732,-0.2123134490752029,0.1992553657557997,-0.1882067559350095,-0.0064814344335668,0.0038670527288895,-0.0069520978679125,-0.0052799168155222,-0.0053049755954584,-0.0070700378542042,0.2220138374890329,212.184,-0.1903453233885442,0.1142751149669831,2.6009108195763373
2.5999893865471813,2.5943288478588844,0.2181184702438869,-0.1869020706629305,0.1124423543129646,-0.1656504269730246,-0.199605646792526,1.4012919550203682,-0.0064451800585882,0.0039007735075053,-0.0056605386882968,-0.0051560765855517,-0.0051157523317476,-0.0055161592182017,0.2215712639250452,212.218,-0.1893264043385878,0.115105767090809,2.595329629604967
