Theta_calculated,yaw_world,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,Time
8.838844770764354e-07,-4.130224617557784e-06,9.32986444410175e-06,9.329864444098104e-06,8.246522355367828e-12,-8.276266869531232e-05,0.0004024544794709,-0.0027446494027378,6.793284099693153e-07,2.84495182523159e-07,-3.040884890050785e-06,3.106844859883478e-07,-2.971950290087537e-13,-2.7559968675539004e-06,3.793445283149331e-05,0.6020000000000001
-1.8721123904774647e-06,-3.986798797306226e-06,1.1023749617329064e-05,1.1023749617309745e-05,-2.0637698248110897e-11,-1.117869786127435e-05,5.086742261943886e-05,0.0021496687938149,-2.2514825559483143e-09,8.870161938290266e-09,1.43425820251558e-07,3.6709086225588933e-07,-9.252443758331578e-13,-3.722506387804359e-07,-3.119871954321517e-07,0.636
-2.2443630292579005e-06,-3.7064430672542232e-06,3.2702411561507665e-07,3.27024115614253e-07,-7.339608347616231e-13,2.9723677838364038e-06,-0.0003212229880394,0.0004249569262796,-3.131363390806996e-09,1.770616520069268e-08,2.803557300520032e-07,1.0889903049943621e-08,-2.8924719909135455e-14,9.897984720175225e-08,1.195235573108455e-07,0.67
-2.145383182056149e-06,-3.4031347405163533e-06,-6.872089163989114e-08,-6.8720891639733e-08,1.4743264518001233e-13,7.344636609607091e-06,-1.1884234452101134e-05,0.0001312993641372,-3.264964965055128e-09,1.9224290603858666e-08,3.0330832673787e-07,-2.2884056916012992e-09,5.6884263818848615e-15,2.4457639909991616e-07,7.876867014861074e-08,0.7040000000000001
-1.9008067829562328e-06,-3.096447090942018e-06,-6.027458292239034e-08,-6.027458292228147e-08,1.1457033605866848e-13,7.790783822874485e-06,2.536429044294536e-07,1.3397814212234072e-05,-3.3019476042284172e-09,1.944775029905088e-08,3.066876495743353e-07,-2.007143611310589e-09,4.48281262910447e-15,2.594331013017204e-07,7.813996792880795e-08,0.7380000000000001
-1.6413736816545123e-06,-2.7892677635525155e-06,-4.9631992769892745e-08,-4.963199276982588e-08,8.146464670053242e-14,7.969990979496223e-06,3.195973018768046e-07,5.381596294947071e-06,-3.306824813975595e-09,1.9480264068505452e-08,3.071793273895025e-07,-1.6527453592342114e-09,3.257762310622561e-15,2.6540069961722426e-07,7.791648550710893e-08,0.772
-1.3759729820372882e-06,-2.482015812401537e-06,-4.177630293752229e-08,-4.1776302937482745e-08,5.748306413141754e-14,8.302142940086765e-06,2.359066015726863e-07,9.974533351067334e-06,-3.3075635563761803e-09,1.9485065116953137e-08,3.07251951150978e-07,-1.391150887817476e-09,2.3653797841562804e-15,2.764613599048893e-07,7.791648550710893e-08,0.806
-1.099511622132399e-06,-2.17475247824589e-06,-3.272334775522645e-08,-3.272334775520667e-08,3.597970117194438e-14,8.114188228732418e-06,2.7186051598486005e-07,-5.644285626256673e-06,-3.3076854588642846e-09,1.9485816515896204e-08,3.072633341556477e-07,-1.0896874802479287e-09,1.5549902231044485e-15,2.702024680167896e-07,7.788540744167848e-08,0.8400000000000001
-8.293091541156092e-07,-1.8674867274714955e-06,-2.5852308202087696e-08,-2.5852308202078805e-08,2.1439555847006914e-14,8.150465321173537e-06,2.063375241182809e-07,1.089402175408978e-06,-3.307716989198184e-09,1.948597372347649e-08,3.072657507743945e-07,-8.60881863128942e-10,9.948225083586382e-16,2.714104951950788e-07,7.788224104152826e-08,0.874
-5.578986589205305e-07,-1.5602198768345428e-06,-1.9988483581025385e-08,-1.9988483581022275e-08,1.1151548183708527e-14,8.419199106648336e-06,1.7609082946133064e-07,8.070083647891858e-06,-3.307734308677368e-09,1.9486044777750067e-08,3.072668506369527e-07,-6.656165032478853e-10,5.862111574436391e-16,2.803593302513896e-07,7.788303226165208e-08,0.908
-2.775393286691409e-07,-1.2529521198937995e-06,-1.31970353364038e-08,-1.3197035336403293e-08,3.662696327688394e-15,8.178460015824036e-06,2.0394739473338094e-07,-7.229402126855845e-06,-3.3077502958889227e-09,1.9486103397525767e-08,3.0726775694074336e-07,-4.39461276702165e-10,2.651409389933997e-16,2.7234271852694044e-07,7.788373151064612e-08,0.942
-5.1966101422005164e-09,-9.456835019012116e-07,-7.0798923080506966e-09,-7.0798923080506966e-09,3.6791440173703666e-17,8.171644614227641e-06,1.8369798883943249e-07,-2.046667146064563e-07,-3.307766505145082e-09,1.9486157576409372e-08,3.072686179925881e-07,-2.357604138580746e-10,7.820201729728523e-17,2.721157656537805e-07,7.788428908406533e-08,0.976
2.6691915551158e-07,-6.384140250981952e-07,-6.244440800276254e-10,-6.244440800276033e-10,-1.6667608650517727e-16,8.397432796172603e-06,1.9385730414483695e-07,6.780425884233081e-06,-3.307782048267427e-09,1.9486211533248365e-08,3.072694768030164e-07,-2.0793987864919828e-11,1.1640626594004653e-18,2.796345121125477e-07,7.788428908406533e-08,1.01
5.465536676241277e-07,-3.3114370874381064e-07,6.410988296790987e-09,6.41098829679003e-09,3.5039491667062997e-15,8.113584284410427e-06,2.112742455501085e-07,-8.523979332197463e-06,-3.3077971473005623e-09,1.948626526804276e-08,3.0727031635438456e-07,2.1348591028313416e-10,4.67573264891479e-17,2.701823566708673e-07,7.788499835504506e-08,1.044
8.16736024294995e-07,-2.387255699337601e-08,1.4181084894959426e-08,1.4181084894954697e-08,1.158220289729768e-14,8.059408471925653e-06,2.3333623417923243e-07,-1.6269012758190414e-06,-3.3078124683783013e-09,1.9486318114658733e-08,3.072711517504347e-07,4.722301270020911e-10,2.3090535014971474e-16,2.683783021151243e-07,7.788514789139548e-08,1.078
1.3589849961359592e-06,2.833994220684241e-07,3.4321900236803845e-08,3.432190023677214e-08,4.664294746067728e-14,7.877996290852597e-06,3.082633998664726e-07,-1.0400845205970192e-05,-3.307827789456041e-09,1.948637051718549e-08,3.0727197906180016e-07,1.1429192778849603e-09,1.174395733553291e-15,2.623372764853915e-07,7.788517912922275e-08,1.112
1.621322272621351e-06,5.906722285066807e-07,4.758821825090064e-08,4.758821825083809e-08,7.715583816451727e-14,7.740314842028147e-06,3.983879283512553e-07,-4.1345780427762565e-06,-3.307843110533781e-09,1.9486422475623044e-08,3.072728064382566e-07,1.5846876677536744e-09,2.0409024009634225e-15,2.577524842395373e-07,7.788510269498501e-08,1.146
