Time,delta_position_x,delta_position_y,delta_yaw,linear_velocity_x,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,delta_x,delta_y
0.291,-0.0003171146015344,-0.0019212076390736,0.0,3.208056682580024e-05,0.0004006381007898,0.0016403606128569,0.0207438400898431,0.0,0.0
0.325,-0.0001502784978789,-0.0012427873321951,1.3621695426853213e-05,4.093193353859531e-05,0.0005112032880636,0.000265806808192,0.003320275894106,1.0907392720772093e-06,0.0
0.359,-2.827611153100008e-05,-0.000604379432475,1.7380911794162386e-05,1.0978842787307267e-05,-0.0001613876146383,-0.0008994922147533,-0.0201979250060636,1.3916857401831254e-06,1.895711928367787e-11
0.393,1.2255969192000388e-06,-8.749095061277856e-05,-5.487178897702205e-06,1.9087810744834327e-05,-0.0001334570279075,0.000243512551277,0.0008387563582822,3.7328065458905584e-07,1.1572673521129224e-11
0.427,-2.1483796800044443e-08,1.399888918118819e-07,-4.537538948854997e-06,1.987783160337636e-05,-0.0001296165670337,2.3724350106367368e-05,0.0001153291553676,6.489855651131097e-07,1.6559144672947536e-11
0.461,-2.102845499942982e-09,8.238627446921498e-09,-4.406963279145805e-06,1.3646393068085816e-05,-0.00015946153009,-0.000187130286345,-0.0008962451368251,6.758462743660864e-07,1.41778283795967e-11
0.495,-4.5272999975656814e-11,-5.409903414133055e-09,-5.421692023059996e-06,1.1919970077844666e-05,-0.0001500956732333,-5.184453424147595e-05,0.0002812569626645,4.639773642512143e-07,7.688534613399018e-12
0.529,1.2362009994219128e-10,-6.1704079623581265e-09,-5.103252889932204e-06,1.1068755930627298e-05,-0.0001407216076779,-2.556198640292397e-05,0.0002815034701294,4.0527898262152985e-07,4.518550241885377e-12
0.5630000000000001,2.4575399983246812e-11,-5.124356827757026e-09,-4.784534661048604e-06,9.738244462093823e-06,-0.0001236955427967,-3.995529935535955e-05,0.0005112932396761,3.7633770163445014e-07,2.275330662157975e-12
0.5970000000000001,-9.745809996693222e-11,-3.962465355833444e-09,-4.2056484550878036e-06,8.84832810256703e-06,-0.0001121618458181,-2.6724215000804663e-05,0.0003463572666263,3.311003117109268e-07,4.1766533631561667e-13
