Time,linear_velocity_x,angular_velocity_yaw,twist.twist.linear.x,twist.twist.angular.z,linear.x,angular.z
4.51,-1.290433649825724e-08,8.791940013857112e-06,7.771651726108348e-08,9.59480713958318e-06,0.0,0.0
4.5440000000000005,-1.2910504777364662e-08,8.792174801021714e-06,7.771651726108348e-08,9.59480713958318e-06,0.0,0.0
4.578,-1.3307965340325134e-08,9.05884402726222e-06,7.77147385062253e-08,9.594980737095271e-06,0.0,0.0
4.612,-1.292239464584054e-08,8.792634555878437e-06,7.771112097517958e-08,9.595333798458772e-06,-0.1505263149738311,0.3035993278026581
4.646,-1.2927953842580413e-08,8.792852839727975e-06,7.771112097517958e-08,9.595333798458772e-06,-0.1505263149738311,0.3035993278026581
4.68,-0.0340340775474182,-3.4849109978429603e-06,-0.0324113059274277,-8.171694144040287e-06,-0.1505263149738311,0.3035993278026581
4.714,-0.0667268011078723,-2.202940159275703e-06,-0.063988530149068,-4.627927121841332e-05,-0.1509070545434951,0.303581565618515
4.748,-0.1000901498314785,-2.203332674297065e-06,-0.063988530149068,-4.627927121841332e-05,-0.1509070545434951,0.303581565618515
4.782,-0.1332181627291014,0.049235145054386,-0.0955529835692913,-6.966715216625863e-05,-0.1509070545434951,0.303581565618515
4.816,-0.1495531042169138,0.3007677161673553,-0.0955529835692913,-6.966715216625863e-05,-0.1805845201015472,0.3035200834274292
4.85,-0.1495879415750197,0.3008578641739068,-0.1451302616236836,0.2076885702428577,-0.1805845201015472,0.3035200834274292
4.884,-0.163486141012235,0.0493346343920238,-0.1607651369691169,0.0475381776502574,-0.1711734384298324,0.3183073997497558
4.918,-0.1789913340382998,0.3003519668468148,-0.1607651369691169,0.0475381776502574,-0.1711734384298324,0.3183073997497558
4.952,-0.1696592609552092,0.3151135153496808,-0.1744464971422183,0.3214628491052817,-0.1711734384298324,0.3183073997497558
4.986,-0.1748460010083107,0.3247454339903103,-0.1739620218269615,0.3165242404110646,-0.1711734384298324,0.3183073997497558
5.02,-0.1696638458161992,0.3150046128228366,-0.1722554150848931,0.2977534237962311,-0.1109333783388137,0.4724216759204864
5.054,-0.1696423084781119,0.3151031885884339,-0.1731480061374474,0.309983036643134,-0.1109333783388137,0.4724216759204864
5.088,-0.1294104879638311,0.0489146228120126,-0.1635206624984047,0.1877348070711709,-0.1393475383520126,0.3272220194339751
5.122,-0.1177497439627736,0.3704645385780613,-0.1635206624984047,0.1877348070711709,-0.1393475383520126,0.3272220194339751
5.156,-0.1380477834023836,0.3237195731668381,-0.1526182584982482,0.1786433615517689,-0.1393475383520126,0.3272220194339751
5.19,-0.1421879308066548,0.3329884967695729,-0.1470007758249072,0.2584895706813811,-0.1364784836769104,0.3017202913761139
5.224,-0.1351465175068,0.298926944015135,-0.1422019130220239,0.3262421804371069,-0.1364784836769104,0.3017202913761139
5.258,-0.1392404161628461,0.3081587296756955,-0.1390660849912362,0.3017782372918575,-0.1364784836769104,0.3017202913761139
5.292,-0.1351673462664328,0.2992406448012523,-0.1390660849912362,0.3017782372918575,-0.1154945492744445,0.539726972579956
5.326,-0.11445507495336,0.5348802999999172,-0.139115697144163,0.302092530251539,-0.1154945492744445,0.539726972579956
5.36,-0.1179064387950303,0.5514457359303219,-0.1203180543033409,0.5404118649104095,-0.1154945492744445,0.539726972579956
5.394,-0.1144410963958405,0.5354691235298799,-0.1203180543033409,0.5404118649104095,0.1112776324152946,0.8440016508102418
