Time,linear_velocity_x,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
0.224,-1.719066604941908e-06,3.1609339760266977e-06,8.661157670337046e-06,7.82394050078456e-05,-5.7244917944565434e-08,-3.0189610731283816e-15,1.0525910140168904e-07
0.257,-6.015785589794773e-06,6.944124572658213e-06,-0.00012903060014573167,0.00011360932722617162,-2.003256601401606e-07,-4.4339010929834595e-14,2.3123934826951851e-07
0.29100000000000004,-4.55518075023628e-06,4.020671641470642e-06,4.386200719394874e-05,-8.779137931494206e-05,-1.5168751898285569e-07,-6.112987487131434e-14,1.338883656609724e-07
0.323,-4.0718697231607435e-06,8.634156008776321e-06,1.451384465692301e-05,0.00013854307409326362,-1.3559326178122675e-07,-8.324944313466054e-14,2.875173950922515e-07
0.35700000000000004,9.329864452463428e-06,-8.276266867880901e-05,0.00040245447974847354,-0.0027446493900175773,3.106844862668742e-07,-1.926523661477285e-13,-2.7559968670043403e-06
0.391,1.102374961292818e-05,-1.1178698180338444e-05,5.086742223617874e-05,0.0021496687837378545,3.6709086210963067e-07,-8.019660225807841e-13,-3.722506494052702e-07
0.42400000000000004,3.27024111654281e-07,2.972367833346349e-06,-0.0003212229880262432,0.0004249569373478916,1.0889902918058192e-08,-2.5284699531008554e-14,9.897984885043344e-08
0.457,-6.872089472050998e-08,7.344636571099355e-06,-1.1884234425669398e-05,0.00013129936149408426,-2.288405794187694e-09,4.917642775786013e-15,2.4457639781760855e-07
0.49100000000000005,-6.027458072194831e-08,7.79078378436675e-06,2.536430630198699e-07,1.3397814212234072e-05,-2.0071435380372628e-09,3.807684950673675e-15,2.594331000194128e-07
0.524,-4.9631982207771e-08,7.969990913482962e-06,3.195975529782976e-07,5.3815954689553375e-06,-1.6527450075165614e-09,2.701895693128982e-15,2.654006974189827e-07
0.558,-4.17762967762846e-08,8.302143105119917e-06,2.3590646941400604e-07,9.974540289398024e-06,-1.3911506826489794e-09,1.8977784085990766e-15,2.764613654004933e-07
0.5910000000000001,-3.272335479664262e-08,8.114188294745678e-06,2.71860119508768e-07,-5.644288599826983e-06,-1.0896877147275474e-09,1.1878462182654332e-15,2.702024702150311e-07
0.624,-2.5852306441731554e-08,8.150465277164705e-06,2.0633778843576778e-07,1.089398871442249e-06,-8.608818045093691e-10,7.053555254222736e-16,2.714104937295847e-07
0.658,-1.9988489302174667e-08,8.419199211169311e-06,1.7609060479149808e-07,8.070088108246435e-06,-6.65616693762316e-10,3.6190114188360175e-16,2.803593337319381e-07
0.6910000000000001,-1.319703049543217e-08,8.178460186358326e-06,2.0394771191418906e-07,-7.229400144474026e-06,-4.394611154978742e-10,1.175218841557625e-16,2.723427242057323e-07
0.7230000000000001,-7.079885706723764e-09,8.171644586722086e-06,1.836980417029551e-07,-2.046726617489596e-07,-2.357601940339006e-10,-1.0580828918698119e-18,2.721157647378455e-07
0.757,-6.244409994096217e-10,8.397432966706869e-06,1.938571984178421e-07,6.7804318313748725e-06,-2.079388528033952e-11,-5.845051632941529e-18,2.796345177913388e-07
0.791,6.41100281970923e-09,8.113584135880579e-06,2.1127458916272827e-07,-8.523988913702401e-06,2.1348639389628376e-10,1.1869194598102533e-16,2.701823517248233e-07
0.8230000000000001,1.41810857751354e-08,8.059408328896932e-06,2.3333582448727234e-07,-1.6269011106200436e-06,4.72230156311847e-10,3.8933536343333124e-16,2.6837829735226786e-07
0.8570000000000001,2.4056734302311174e-08,8.224344414206982e-06,2.965660218371103e-07,4.9530355948964175e-06,8.010892522664782e-10,8.781168271571562e-16,2.7387066899309255e-07
0.89,3.4321905077776306e-08,7.877996395373594e-06,3.0826338665060456e-07,-1.0400841406408045e-05,1.1429194390888837e-09,1.5589283084409197e-15,2.6233727996594074e-07
0.924,4.758821649054702e-08,7.740314820023727e-06,3.9838773011323463e-07,-4.134581842338352e-06,1.5846876091331213e-09,2.573994211109561e-15,2.5775248350679013e-07
0.9570000000000001,6.642344092173319e-08,7.783319098340289e-06,5.656223552908758e-07,1.2914197692661118e-06,2.211900582689789e-09,4.165090546964556e-15,2.5918452597473166e-07
0.9910000000000001,8.595048740801814e-08,7.3080527315380185e-06,5.863977923809296e-07,-1.4272263267335444e-05,2.8621512306804843e-09,6.105642950457743e-15,2.4335815596021604e-07
1.024,1.1307413620046561e-07,6.98837207871775e-06,8.14523987761185e-07,-9.600019604212269e-06,3.765368735464907e-09,8.933382878131682e-15,2.327127902213011e-07
1.058,1.5274966524880705e-07,6.765072272144393e-06,1.1914573287790223e-06,-6.705699897097808e-06,5.086563852768051e-09,1.3230840752603658e-14,2.2527690666240832e-07
1.09,1.923627378307251e-07,6.030444209558259e-06,1.1895817592167577e-06,-2.2060902780364386e-05,6.405679169737779e-09,1.8026012081014026e-14,2.0081379217829003e-07
1.123,2.4474683665117566e-07,5.389499619863287e-06,1.5730960606741913e-06,-1.9247585276125278e-05,8.150069660447357e-09,2.448260070118323e-14,1.7947033734144746e-07
1.157,3.142872327553557e-07,4.7893303212198646e-06,2.0883001833087104e-06,-1.8023102061364033e-05,1.0465764850700623e-08,3.32148097832593e-14,1.5948469969662152e-07
1.19,-3.8236053707814285e-06,5.6268040071649636e-05,-0.00012426103914524878,0.0015459071997126056,-1.2732605884588515e-07,-5.335284903148313e-13,1.8737257343859331e-06
1.224,2.507825021521011e-07,5.348431747037135e-06,0.00012235399017818406,-0.0015291173671054805,8.35105732155133e-09,4.3561484817611904e-14,1.7810277717633662e-07
1.258,2.039312898329578e-07,6.200882098585594e-06,-1.406943312887187e-06,2.5599109656109873e-05,6.790911951338193e-09,3.672784357972987e-14,2.0648937388290029e-07
1.291,1.5412102649159044e-07,6.574784448608125e-06,-1.4958037039449653e-06,1.1228298799475412e-05,5.13223018208886e-09,2.884870354990535e-14,2.189403221386506e-07
1.323,1.1985709557982083e-07,7.010857273604943e-06,-1.0289468742273157e-06,1.3095280029934463e-05,3.991241282739806e-09,2.3338165105908212e-14,2.334615472110446e-07
1.357,9.569856706881005e-08,7.578145636536419e-06,-7.254813366669902e-07,1.703568657451879e-05,3.1867622833322666e-09,1.940809620920145e-14,2.5235224969666275e-07
1.3900000000000001,7.21577237600902e-08,7.620988127352707e-06,-7.069322314930888e-07,1.286561285774433e-06,2.4028522011626533e-09,1.5243325451200636e-14,2.5377890464084515e-07
1.424,5.646367961775455e-08,7.823200294783657e-06,-4.712926168869562e-07,6.072437460388894e-06,1.8802405312302577e-09,1.241052909517169e-14,2.605125698162958e-07
1.457,4.5472961492361555e-08,8.22486817442136e-06,-3.30051595357147e-07,1.2062098487618711e-05,1.5142496176599284e-09,1.039918251311285e-14,2.7388811020823135e-07
1.49,3.450816193356082e-08,8.108536695937105e-06,-3.292732600240461e-07,-3.493437792319988e-06,1.1491217923582845e-09,8.204258729704665e-15,2.7001427197470564e-07
1.524,2.7023680070458297e-08,8.206872266354331e-06,-2.2475921510818384e-07,2.95302013264943e-06,8.998885463215443e-10,6.669193291274777e-15,2.732888464695992e-07
1.558,2.1593670835413176e-08,8.538319221821525e-06,-1.6306334039174535e-07,9.953362026041855e-06,7.190692387979922e-10,5.529657755578073e-15,2.843260300866568e-07
1.5910000000000002,1.606455897236221e-08,8.352559253353096e-06,-1.660393952868158e-07,-5.578377431484359e-06,5.349498137626642e-10,4.264199713288759e-15,2.781402231366581e-07
1.624,1.2134105212105276e-08,8.405537915351017e-06,-1.1803164445216014e-07,1.5909508107483915e-06,4.040657035493536e-10,3.333938364610986e-15,2.799044125811889e-07
1.657,9.116239455012077e-09,8.706327954873435e-06,-9.062659931210804e-08,9.03273391959214e-06,3.0357077384084204e-10,2.5909678896214793e-15,2.899207208972854e-07
1.69,6.117279455759012e-09,8.48780389966602e-06,-9.005885883642839e-08,-6.562283940162634e-06,2.037054058688485e-10,1.7970643493322845e-15,2.826438698588785e-07
1.723,3.86278268630728e-09,8.519128957829025e-06,-6.77026056892412e-08,9.406924373274965e-07,1.2863066344870035e-10,1.1711154291564438e-15,2.836869942957066e-07
1.7570000000000001,1.9876271599576912e-09,8.805270055132028e-06,-5.6310976767254904e-08,8.592825744834904e-06,6.618798442367116e-11,6.21694061280589e-16,2.9321549283589656e-07
1.791,2.837078320053993e-10,8.569669266003832e-06,-5.1168748587155906e-08,-7.075098772618499e-06,9.447470805336914e-12,9.1476068635766e-17,2.853699865579276e-07
1.824,-1.1048604273753715e-09,8.589628226914179e-06,-4.169874652795108e-08,5.993681955059153e-07,-3.67918522297718e-11,-3.667516893352273e-16,2.860346199562422e-07
1.858,-2.3904568014732863e-09,8.868132833178104e-06,-3.86064977206581e-08,8.363501689607364e-06,-7.960221148487127e-11,-8.166399963126544e-16,2.953088233448309e-07
1.888,-3.3738915565255115e-09,8.622820437155821e-06,-2.953257522679355e-08,-7.366738619287764e-06,-1.1235058882604679e-10,-1.1853098177749606e-15,2.8713992055728885e-07
1.919,-4.278705397994472e-09,8.63630869571394e-06,-2.7171586830899706e-08,4.0505280955309247e-07,-1.4248088974484783e-10,-1.5441279464880393e-15,2.875890795672742e-07
1.9580000000000002,-5.237507964863965e-09,8.910531043746104e-06,-2.8792869875960743e-08,8.234905346311269e-06,-1.7440901521916693e-10,-1.941088389514658e-15,2.967206837567453e-07
1.989,-5.79177070667825e-09,8.65928559037508e-06,-1.6644526781209754e-08,-7.544908509640359e-06,-1.9286596451980428e-10,-2.2029932079413524e-15,2.883542101594902e-07
2.023,-6.408517640477139e-09,8.668836587005402e-06,-1.8520928942909594e-08,2.868167156252755e-07,-2.134036374132547e-10,-2.498997194496234e-15,2.886722583472799e-07
2.058,-7.175270027786822e-09,8.940511032207866e-06,-2.3025597216506992e-08,8.158391747821728e-06,-2.3893649190808557e-10,-2.868184685896552e-15,2.9771901737252194e-07
2.091,-7.459321568834074e-09,8.685424206671559e-06,-8.53007630772527e-09,-7.660265031120324e-06,-2.483954082233917e-10,-3.0545219701218867e-15,2.8922462608216293e-07
2.123,-7.895351919796934e-09,8.692446416812236e-06,-1.309400453341922e-08,2.1087718140170914e-07,-2.6291521890841107e-10,-3.309318576921057e-15,2.894584656798475e-07
