odom_world_velocity_x,odom_world_velocity_y,odom_yaw_world,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
-0.1527688589282408,-0.1587214995506787,-2.3370866238154977,-0.0051973601873263,-0.0053938192549206,0.0011516048362296,-0.0048572512564551,-0.0054144162085381,0.0011471426663178
-0.1371212094351465,-0.1417791833591213,-2.339494833134631,-0.0047717397333532,-0.0049250441524442,0.0036556987104439,-0.0043726572127251,-0.0048304619457136,0.0063281646315899
-0.1443610147042331,-0.1509932648680352,-2.333743026928806,-0.0048906852618,-0.0051200409545271,-0.0014024667044125,-0.0045243933490093,-0.0051753538027315,-0.0015525803879422
-0.1495971576666823,-0.146178172449349,-2.367753374927321,-0.0051746800807512,-0.005055510998545,-0.0006148107354735,-0.0048713278594456,-0.0051729584737784,-0.0002811045909759
-0.1570457494643585,-0.1544204118516736,-2.364623256353382,-0.0053424296403132,-0.0052502605500679,-0.0011180701288324,-0.0049242602115731,-0.0053280241021767,-0.0010535649343279
-0.1073823754112658,-0.1127920084301632,-2.3316296667639875,-0.0035920927749772,-0.003782225523609,-0.0003760678144821,-0.0033539309550807,-0.0043601596516512,-0.0017868268637966
-0.1458091828041265,-0.1498643149628413,-2.3424804510128703,-0.0049541503181682,-0.0050939153925563,-0.0001134749237978,-0.0046907144011434,-0.0053334367372354,-0.000215082791635
-0.0894167294023936,-0.07621833276170212,-2.435710071698639,-0.0030338310071986,-0.0025976801659066,-0.0074899729620852,-0.0025742431607315,-0.0028086747026448,-0.0072650809306454
-0.1521634406859807,-0.1591339738316263,-2.3338063553362334,-0.0051762412667067,-0.005411586689444,-0.0006900245965075,-0.004826770011206,-0.0054172934387714,-0.000635011497315
-0.1573086417508448,-0.1538689329592926,-2.3672478853753254,-0.0053482833929656,-0.0052323643518439,2.0452087758027204e-05,-0.0049612829188237,-0.0052973723303442,3.046083842708214e-05
-0.1545273854565346,-0.1566308914131095,-2.34943434890806,-0.0052542915791518,-0.0053258364237886,-0.0016470410556553997,-0.0048487052175189,-0.0053820272386411,-0.0016050662204056
-5.5577530377909357e-05,-4.7898855481537383e-05,-2.430265753347767,-1.608043356915445e-06,-1.7063119903681923e-06,-0.0002168695803699,-4.40757248957505e-07,-9.043127674998876e-07,-0.00020577308827
-0.1479303406464365,-0.1519829677296042,-2.342682650811164,-0.0049905883435623,-0.005121302618736,0.0031823692840693,-0.0048821461326979,-0.0053635252817459,-0.0004094156731079
-0.0870552877361222,-0.0768558076197101,-2.418340047469312,-0.002956191249148,-0.0026164690738248,-0.0033583707932782,-0.0025239238325537,-0.0028430855242966,-0.0032623272630423
-0.1446717074339503,-0.1512380538767704,-2.3340077635749674,-0.0049168810946932,-0.0051454273970509,-0.0010427648809860001,-0.0047128725615468,-0.0053185917468656,-0.0010309520770552
-0.1449619750292801,-0.1516490100959656,-2.33365350954053,-0.0049145895452522,-0.0051391502806079,0.0009128835636849,-0.0047482241674773,-0.0054885409133273,-3.065149032415171e-05
-0.1530994886477589,-0.1568083475454782,-2.344227442528305,-0.0052079351626502,-0.0053331167919289,0.0008043865707665,-0.0049617683766819,-0.0055703345227439,0.0012090832751417
-0.146200630667821,-0.1496882479445096,-2.3444081202775875,-0.0049658438785912,-0.0050954766846333,-0.000679424211317,-0.0047917029201091,-0.0054520539183781,-0.0008849035615623
-0.1559361305862075,-0.1543174362099681,-2.36141177006432,-0.005301647472617,-0.0052494378655763,0.0008139252671539001,-0.0049628286254571,-0.0052769883533638,0.0007752177853995
-0.1354977037946748,-0.1425481466755999,-2.330842799652465,-0.0046215082115528,-0.0048527839409324,0.002766414383827,-0.0043207640389426,-0.0051360192784835,0.0029070909307487
-0.1462791082162968,-0.1499780421520903,-2.343709587325131,-0.0049484920417255,-0.0050715785384606,-0.0003958953838147,-0.0046878405002299,-0.0053198354598014,-0.0009486138867236
-0.1562786782409658,-0.1556299983994179,-2.358274197987956,-0.0053131735525633,-0.0052915134187631,-2.931657025451173e-05,-0.0049688145818664,-0.0053119022622859,1.5910873434243912e-05
-7.86924529502242e-05,-6.758788136568272e-05,-2.431962118407355,-2.486792307854202e-06,-2.335907559158912e-06,-0.00021699656811019998,-8.621549960361168e-07,-1.7617045194967e-06,-0.0001988550467493
-7.65002458557873e-05,-6.573302260440284e-05,-2.431751538237625,-2.4031379928235452e-06,-2.276581175131298e-06,-0.0002169132154867,-8.208384169801473e-07,-1.6781244968467848e-06,-0.000198885190694
-0.1520842412904975,-0.1583517791651985,-2.336007765424537,-0.0051607597335894,-0.0053685353377093,0.0010761355893422002,-0.0049947662084475,-0.0055807051607796,0.001171042950671
-0.1557797713715494,-0.1551782777865033,-2.358128811675554,-0.0052987077422155,-0.005277429029286,-0.0005344216533393,-0.0048961260193987,-0.0053439979123954,-0.0005060000422036
-0.1546992347829158,-0.155069844315664,-2.3549980849313736,-0.0052613921268576,-0.005269875714422,0.0013785274115045002,-0.0048749088008223,-0.0053515716861747,0.0013318970855376
-0.1563892091987594,-0.1524959945371405,-2.368797905544468,-0.0052972041981602,-0.0051664162907905,0.00018588373952560001,-0.0049657368744368,-0.0052815025621625,0.0007957995314431
-0.1534887450341412,-0.1575528762864802,-2.3431290362021784,-0.0052160981002373,-0.005355027163627,6.007722234224744e-05,-0.0047965615168432,-0.0054434339992237,6.070451494171181e-05
-8.239637233209418e-05,-7.064697585262847e-05,-2.43281588328368,-2.653247817008264e-06,-2.4447881823430606e-06,-0.0002155711960849,-9.823798930825102e-07,-2.003291580230749e-06,-0.0002035019669446
-0.1528430799876745,-0.1570863378222557,-2.3425042997969543,-0.0051903982430847,-0.0053182141730832,0.0045838866519458,-0.004920407636699,-0.0056451820555278,0.0045577026033433
-0.130859154296583,-0.1239154633261584,-2.3834419945032788,-0.0044488259229188,-0.0042129864738004,-0.0047699945836972,-0.0051327877762516,-0.0051341218555334,-0.0002014845931865
-0.151675107618936,-0.1587937873331162,-2.3332697053838447,-0.0051579540997397,-0.0054015365006112,0.00010142994009400004,-0.0048184417542134,-0.0054097522133082,0.0001028358251033
-0.1465498261698388,-0.1484535906269451,-2.34974121568306,-0.0049933223078806,-0.0050576252159348,0.00042711013359879996,-0.004608799792157,-0.005115588411571,0.0002699252428401
-0.1567176497006009,-0.1537509498453177,-2.365749754619932,-0.0053286697747982,-0.005225205465146,0.0014640914836276,-0.0049560904261832,-0.0052967083120303,0.0014255327099666
-0.1591827407897245,-0.1515919384843196,-2.380615055287061,-0.0053938977078694,-0.0051306922769643,0.0024002879430433,-0.0050424568869897,-0.0052294348525794,0.0026358973085994
-0.1531743220723869,-0.1575949785704413,-2.341970567958492,-0.0052066629666786,-0.0053577442628561,5.972183045654944e-05,-0.0048825908145549,-0.005358447745041,5.365556159315777e-05
-0.1447055975867624,-0.1508720938779085,-2.33533499349319,-0.0049095760809272,-0.0051231460030446,-0.0013566236052753,-0.0046744016030126,-0.0053300254958003,-0.0015889953065366
-0.1352461604220392,-0.1417422823971195,-2.332746106263842,-0.0047074864838679,-0.00493563498571,-0.0009570559325302,-0.0042568330952768,-0.0048796604510824,-0.000554010470516
1.9903623943995363e-06,1.9863896545679882e-06,-2.3571934809411585,5.73842153972666e-07,-4.3291591594971784e-07,1.0813746585291995e-05,6.394267557595787e-08,6.394325507273767e-08,7.69560192123937e-06
-0.149021789092993,-0.1454922819483552,-2.368178088045628,-0.005088596813408,-0.0049707076372482,-0.0010008938020051,-0.0048412848273859,-0.0051507770450981,-0.0011136991096773
-0.1277262311069643,-0.1339646483521989,-2.332360125337744,-0.0043059426705704,-0.0045167480324366,0.0023628957443904,-0.0039208507968983,-0.0049511044771216,0.0027303598477404
-0.1448625742268135,-0.151778447316045,-2.3328847657194376,-0.0048771587249676,-0.0051152442897918,-0.0015429282588734004,-0.0045562340262524,-0.0051587368515498,-0.0019899179565727
-0.1479866178892705,-0.1573530312496779,-2.325528714633132,-0.0049949422359143,-0.0053119964856014,0.0012210144743138,-0.0048027787580203,-0.005430526351756,-0.0008359494955632
1.993897641217046e-06,1.9900864804689444e-06,-2.3571511103645486,5.749740630400096e-07,-4.3369365905401164e-07,1.0834272091919672e-05,-3.9195097699229545e-08,-3.9197897221818713e-08,7.683598175178745e-06
-0.1548443813166715,-0.1563526066749412,-2.3513479987164967,-0.0052643620067096,-0.0053155968122708,0.0013390272014235003,-0.0048812970129643,-0.0053872089831876,0.0012776661936615
-0.1550611868234724,-0.1569003389160254,-2.3502991132503346,-0.0052732371578855,-0.00533514403068,-0.000150919955975,-0.0049619064281602,-0.0053260902093154,-0.0001326944186098
-0.1560476291092462,-0.1542076309369922,-2.3621250152713578,-0.0053050290166041,-0.0052438915113534,-6.566048406897451e-05,-0.0049610401544621,-0.0052720765109949,-8.426777529185747e-05
-0.1545752064174413,-0.1557216149526946,-2.3524999524456254,-0.0052557694776571,-0.0052913470877642,0.0011261314364237,-0.0048661518399416,-0.0053700529604579,0.00110398123104
-0.1536594192909732,-0.1554351589440449,-2.3504495815379163,-0.0052342904489508,-0.0052961491608247,-0.0007640612631303,-0.0048568298079985,-0.005374134286756,-0.0010046601130937
-0.1534759311286257,-0.1572937979890346,-2.343909912743912,-0.005217529061269,-0.0053483453786558,0.0001392638014543,-0.0048174720987635,-0.0054175823346572,0.0001433289111988
-7.153285172961654e-05,-6.151793489519997e-05,-2.4313241983103664,-2.216051725678625e-06,-2.1432584238478825e-06,-0.0002168053634279,-7.270935797488745e-07,-1.4879947117163652e-06,-0.0001990201045767
-6.26266943931919e-05,-5.39281799742386e-05,-2.4306866033824863,-1.8797141327908662e-06,-1.899643911729143e-06,-0.0002167762970364,-5.599771835569884e-07,-1.1477472486695127e-06,-0.000199367261056
-0.0964735735664978,-0.0997788846381258,-2.3393539439414752,-0.0032833006306696,-0.0033935979181234,-0.0016736534613093004,-0.0027812793990456,-0.003625331767186,-0.0016676949507842
-0.1195779085362731,-0.1249167935894554,-2.3343615560964777,-0.0040288192598412,-0.0042139380164853,-0.001483250978679,-0.0036850053272735,-0.0046300918448634,-0.0015790288405788
-0.1450702667526587,-0.1491704837019005,-2.342260486903245,-0.0048151550818698,-0.0049514325337354,0.00022649413303540001,-0.0045204232953668,-0.005141709508354,-0.0001509347043029
