Time,Theta,linear_velocity_x,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
0.135,3.1415000369809025,-1.7191357648349357e-06,3.1423398557891787e-06,8.661131727588053e-06,7.768982131768871e-05,5.724722071140855e-08,-5.301234469134046e-12,1.0463991719777966e-07
0.169,3.1415001416208197,-6.014945957447141e-06,6.9308664693343055e-06,-0.0001290033090874536,0.00011376956797432812,2.0029769939242283e-07,-1.851415337380453e-11,2.307978534288324e-07
0.202,3.1415003724186734,-4.556068831916547e-06,3.971005189338459e-06,4.3810123889807615e-05,-8.888472312299838e-05,1.5171709134258903e-07,-1.3996093823275603e-11,1.322344728049707e-07
0.23500000000000001,3.1415005046531466,-4.071950171321388e-06,8.592957946797419e-06,1.4538097915770536e-05,0.00013879738010387266,1.3559594018323516e-07,-1.2480719053494423e-11,2.8614549962835406e-07
0.269,3.141500790798646,9.330090326517623e-06,-8.266471217854042e-05,0.0004024636786137841,-0.0027404705743344694,-3.106920065238653e-07,2.8980152485832907e-11,-2.752734915545396e-06
0.30100000000000005,3.1414980380637303,1.1024871755187175e-05,-1.1271456653413167e-05,5.089433719728383e-05,0.002143941607361178,-3.671282278237885e-07,3.4818543084985087e-11,-3.753395065586585e-07
0.333,3.1414976627242233,3.2665178938116865e-07,2.968807798696892e-06,-0.0003212678668410212,0.00042763556913243415,-1.0877504525726107e-08,1.0331305302582613e-12,9.886129969660651e-08
0.36700000000000005,3.141497761585523,-6.895303871422774e-08,7.342272515201368e-06,-1.1880024867729618e-05,0.00013133527677190618,2.2961361769357e-09,-2.1768905505577136e-13,2.444976747562056e-07
0.402,3.1414980060831983,-6.046383501986715e-08,7.788878592146546e-06,2.549310418726904e-07,1.3411593902257606e-05,2.013445698626019e-09,-1.903806340112552e-13,2.5936965711848e-07
0.43200000000000005,3.1414982654528547,-4.978882751528442e-08,7.96854025557086e-06,3.205707959334152e-07,5.395245147877274e-06,1.6579679502410677e-09,-1.5633408695399366e-13,2.6535239051050963e-07
0.468,3.1414985308052454,-4.191231578015174e-08,8.301046426816182e-06,2.365318839379183e-07,9.985170307667332e-06,1.3956801098706887e-09,-1.3122392918135782e-13,2.7642484601297886e-07
0.503,3.141498807230091,-3.2837669080406465e-08,8.113440931113246e-06,2.7251191290526344e-07,-5.633798669757823e-06,1.093494375437475e-09,-1.02512992248079e-13,2.7017758300607113e-07
0.535,3.1414990774076745,-2.5954818874710822e-08,8.149981774037248e-06,2.066921983692385e-07,1.0973226103303936e-06,8.642954650876488e-10,-8.079215694573984e-14,2.713943930754404e-07
0.5690000000000001,3.1414993488020677,-2.0086676106206456e-08,8.418944427487702e-06,1.7622050355868967e-07,8.076956560073669e-06,6.688863119348035e-10,-6.234142306444801e-14,2.8035084943534047e-07
0.6030000000000001,3.141499629152918,-1.3289301631107552e-08,8.178432279252248e-06,2.0412535961257967e-07,-7.222587034097694e-06,4.4253374239620847e-10,-4.112272857923552e-14,2.723417948990999e-07
0.634,3.1414999014947123,-7.17308718929312e-09,8.171830551579233e-06,1.8367010335779075e-07,-1.9825008027072673e-07,2.3886380241715897e-10,-2.2131374336391013e-14,2.721219573675885e-07
0.669,3.14150017361667,-7.256864178650483e-10,8.397859714933215e-06,1.9361563878162375e-07,6.787662563182639e-06,2.4165357621392304e-11,-2.2323139006286625e-15,2.796487285072761e-07
0.7020000000000001,3.1415004532653974,6.303126589238225e-09,8.114252850213735e-06,2.1107546567877697e-07,-8.516722664248636e-06,-2.0989411460899807e-10,1.9331699162275512e-14,2.702046199121174e-07
0.7360000000000001,3.141500723470018,1.4058359201487009e-08,8.06037089025886e-06,2.3288986823569921e-07,-1.618076875521809e-06,-4.681433597647183e-10,4.299104736056539e-14,2.6841035064562006e-07
0.77,3.1415009918803687,2.3907670637997953e-08,8.225711961423612e-06,2.9577511821354187e-07,4.96519733227485e-06,-7.961254291017541e-10,7.289470698833866e-14,2.739162083154063e-07
0.8,3.1415012657965775,3.414633664911131e-08,7.879785140201518e-06,3.0746744778118195e-07,-1.0388192829492307e-05,-1.1370730055566693e-09,1.0380805009926257e-13,2.6239684516871055e-07
0.8340000000000001,3.141501528193422,4.7370614338033926e-08,7.742691126882722e-06,3.9712545612380217e-07,-4.116937336900787e-06,-1.5774414521429197e-09,1.4359947046468196e-13,2.5783161452519463e-07
0.8700000000000001,3.141501786025037,6.613930752424239e-08,7.78657172573694e-06,5.6362442000626e-07,1.3177357013278726e-06,-2.2024389301629443e-09,1.9992524643243481e-13,2.592928384670401e-07
0.899,3.141502045317875,8.559676547139208e-08,7.31222950057876e-06,5.843080464609517e-07,-1.4244511266011411e-05,-2.850372278518666e-09,2.580260773976983e-13,2.434972423692727e-07
0.928,3.1415022888151176,1.1262073467993321e-07,6.993833097242026e-06,8.115306068630972e-07,-9.561453553655666e-06,-3.750270451165632e-09,3.385960063947441e-13,2.3289464213815948e-07
0.9700000000000001,3.141502521709759,1.521546362377603e-07,6.772331689936033e-06,1.1872042509857983e-06,-6.6516939130928895e-06,-5.066749362055929e-09,4.562887484218347e-13,2.2551864527486993e-07
1.001,3.1415027472284045,1.9164779925191272e-07,6.039236988875675e-06,1.1859808712958683e-06,-2.201485588769843e-05,-6.381871692326764e-09,5.733691359539247e-13,2.0110659172955999e-07
1.035,3.1415029483349963,2.439071457717847e-07,5.399876568913076e-06,1.5693497453415007e-06,-1.9200012611489445e-05,-8.12210792105827e-09,7.281695135267737e-13,1.7981588974480546e-07
1.069,3.1415031281508865,3.1333984740200713e-07,4.801071989918275e-06,2.0850661150216944e-06,-1.798211948933338e-05,-1.0434216867655477e-08,9.336748388528177e-13,1.5987569726427858e-07
1.101,3.141503288026584,-3.822790502648499e-06,5.625777589525392e-05,-0.0001242081186201353,0.0015452463635235929,1.2729892324004235e-07,-1.1261602531418376e-11,1.8733839373119559e-06
