Time,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
0.135,-1.7191357648349357e-06,1.7191357574617032e-06,-1.5922052453413274e-10,3.1423398557891787e-06,8.661131727588053e-06,7.768982131768871e-05,5.724722071140855e-08,-5.301234469134046e-12,1.0463991719777966e-07
0.169,-6.014945957447141e-06,6.01494593170779e-06,-5.56454492999145e-10,6.9308664693343055e-06,-0.0001290033090874536,0.00011376956797432812,2.0029769939242283e-07,-1.851415337380453e-11,2.307978534288324e-07
0.202,-4.556068831916547e-06,4.556068812517228e-06,-4.2043936691505605e-10,3.971005189338459e-06,4.3810123889807615e-05,-8.888472312299838e-05,1.5171709134258903e-07,-1.3996093823275603e-11,1.322344728049707e-07
0.23500000000000001,-4.071950171321388e-06,4.071950154033055e-06,-3.752258778344769e-10,8.592957946797419e-06,1.4538097915770536e-05,0.00013879738010387266,1.3559594018323516e-07,-1.2480719053494423e-11,2.8614549962835406e-07
0.269,9.330090326517623e-06,-9.33009028715037e-06,8.570881378456113e-10,-8.266471217854042e-05,0.0004024636786137841,-0.0027404705743344694,-3.106920065238653e-07,2.8980152485832907e-11,-2.752734915545396e-06
0.30100000000000005,1.1024871755187175e-05,-1.102487170583931e-05,1.0431240393372021e-09,-1.1271456653413167e-05,5.089433719728383e-05,0.002143941607361178,-3.671282278237885e-07,3.4818543084985087e-11,-3.753395065586585e-07
0.333,3.2665178938116865e-07,-3.2665178790743587e-07,3.102893616663548e-11,2.968807798696892e-06,-0.0003212678668410212,0.00042763556913243415,-1.0877504525726107e-08,1.0331305302582613e-12,9.886129969660651e-08
0.36700000000000005,-6.895303871422774e-08,6.895303840378418e-08,-6.5430920343070765e-12,7.342272515201368e-06,-1.1880024867729618e-05,0.00013133527677190618,2.2961361769357e-09,-2.1768905505577136e-13,2.444976747562056e-07
0.402,-6.046383501986715e-08,6.046383474904508e-08,-5.722751215254474e-12,7.788878592146546e-06,2.549310418726904e-07,1.3411593902257606e-05,2.013445698626019e-09,-1.903806340112552e-13,2.5936965711848e-07
0.43200000000000005,-4.978882751528442e-08,4.978882729349709e-08,-4.699474662543402e-12,7.96854025557086e-06,3.205707959334152e-07,5.395245147877274e-06,1.6579679502410677e-09,-1.5633408695399366e-13,2.6535239051050963e-07
0.468,-4.191231578015174e-08,4.191231559449907e-08,-3.9449038622499205e-12,8.301046426816182e-06,2.365318839379183e-07,9.985170307667332e-06,1.3956801098706887e-09,-1.3122392918135782e-13,2.7642484601297886e-07
0.503,-3.2837669080406465e-08,3.283766893580351e-08,-3.0816956997755683e-12,8.113440931113246e-06,2.7251191290526344e-07,-5.633798669757823e-06,1.093494375437475e-09,-1.02512992248079e-13,2.7017758300607113e-07
0.535,-2.5954818874710822e-08,2.595481876107411e-08,-2.428752854333367e-12,8.149981774037248e-06,2.066921983692385e-07,1.0973226103303936e-06,8.642954650876488e-10,-8.079215694573984e-14,2.713943930754404e-07
0.5690000000000001,-2.0086676106206456e-08,2.008667601877133e-08,-1.874183047481569e-12,8.418944427487702e-06,1.7622050355868967e-07,8.076956560073669e-06,6.688863119348035e-10,-6.234142306444801e-14,2.8035084943534047e-07
0.6030000000000001,-1.3289301631107552e-08,1.3289301573607761e-08,-1.236229798918595e-12,8.178432279252248e-06,2.0412535961257967e-07,-7.222587034097694e-06,4.4253374239620847e-10,-4.112272857923552e-14,2.723417948990999e-07
0.634,-7.17308718929312e-09,7.17308715843826e-09,-6.653188640515515e-13,8.171830551579233e-06,1.8367010335779075e-07,-1.9825008027072673e-07,2.3886380241715897e-10,-2.2131374336391013e-14,2.721219573675885e-07
0.669,-7.256864178650483e-10,7.256864147618152e-10,-6.71114603243162e-14,8.397859714933215e-06,1.9361563878162375e-07,6.787662563182639e-06,2.4165357621392304e-11,-2.2323139006286625e-15,2.796487285072761e-07
0.7020000000000001,6.303126589238225e-09,-6.3031265624471004e-09,5.811503154124362e-13,8.114252850213735e-06,2.1107546567877697e-07,-8.516722664248636e-06,-2.0989411460899807e-10,1.9331699162275512e-14,2.702046199121174e-07
0.7360000000000001,1.4058359201487009e-08,-1.405835914208238e-08,1.2923866434177363e-12,8.06037089025886e-06,2.3288986823569921e-07,-1.618076875521809e-06,-4.681433597647183e-10,4.299104736056539e-14,2.6841035064562006e-07
0.77,2.3907670637997953e-08,-2.3907670537563397e-08,2.1914179559693755e-12,8.225711961423612e-06,2.9577511821354187e-07,4.96519733227485e-06,-7.961254291017541e-10,7.289470698833866e-14,2.739162083154063e-07
0.8,3.414633664911131e-08,-3.414633650652084e-08,3.120558348419844e-12,7.879785140201518e-06,3.0746744778118195e-07,-1.0388192829492307e-05,-1.1370730055566693e-09,1.0380805009926257e-13,2.6239684516871055e-07
0.8340000000000001,4.7370614338033926e-08,-4.737061414135497e-08,4.316666001918306e-12,7.742691126882722e-06,3.9712545612380217e-07,-4.116937336900787e-06,-1.5774414521429197e-09,1.4359947046468196e-13,2.5783161452519463e-07
0.8700000000000001,6.613930752424239e-08,-6.613930725118909e-08,6.009917801125584e-12,7.78657172573694e-06,5.6362442000626e-07,1.3177357013278726e-06,-2.2024389301629443e-09,1.9992524643243481e-13,2.592928384670401e-07
0.899,8.559676547139208e-08,-8.55967651200234e-08,7.755774990558156e-12,7.31222950057876e-06,5.843080464609517e-07,-1.4244511266011411e-05,-2.850372278518666e-09,2.580260773976983e-13,2.434972423692727e-07
0.928,1.1262073467993321e-07,-1.1262073422011443e-07,1.0176947299304736e-11,6.993833097242026e-06,8.115306068630972e-07,-9.561453553655666e-06,-3.750270451165632e-09,3.385960063947441e-13,2.3289464213815948e-07
0.9700000000000001,1.521546362377603e-07,-1.5215463561972676e-07,1.3713983401471995e-11,6.772331689936033e-06,1.1872042509857983e-06,-6.6516939130928895e-06,-5.066749362055929e-09,4.562887484218347e-13,2.2551864527486993e-07
1.001,1.9164779925191272e-07,-1.916477984773534e-07,1.7230356275685915e-11,6.039236988875675e-06,1.1859808712958683e-06,-2.201485588769843e-05,-6.381871692326764e-09,5.733691359539247e-13,2.0110659172955999e-07
1.035,2.439071457717847e-07,-2.439071447904203e-07,2.1879752628901163e-11,5.399876568913076e-06,1.5693497453415007e-06,-1.9200012611489445e-05,-8.12210792105827e-09,7.281695135267737e-13,1.7981588974480546e-07
1.069,3.1333984740200713e-07,-3.133398461463284e-07,2.80518873281623e-11,4.801071989918275e-06,2.0850661150216944e-06,-1.798211948933338e-05,-1.0434216867655477e-08,9.336748388528177e-13,1.5987569726427858e-07
1.101,-3.822790502648499e-06,3.822790487383707e-06,-3.4162582584511575e-10,5.625777589525392e-05,-0.0001242081186201353,0.0015452463635235929,1.2729892324004235e-07,-1.1261602531418376e-11,1.8733839373119559e-06
1.135,2.516270133198043e-07,-2.516270123567168e-07,2.201539573104156e-11,5.3378134590065185e-06,0.0001223548803594085,-0.0015291280010885104,-8.379179514918918e-09,7.326786269409884e-13,1.777491881849171e-07
1.17,2.046739724650699e-07,-2.046739716848722e-07,1.787099123620754e-11,6.191549693866731e-06,-1.4100012268689002e-06,2.5637724770576954e-05,-6.81564325879704e-09,5.946565915883266e-13,2.0617860480576217e-07
1.203,1.5470391302342457e-07,-1.5470391243648971e-07,1.3475987343484793e-11,6.567463401936329e-06,-1.5006023856349947e-06,1.1288699942029955e-05,-5.1516402799830505e-09,4.483748292449525e-13,2.1869653128447976e-07
1.235,1.20315189322938e-07,-1.203151888687605e-07,1.0454133240662813e-11,7.005107436061895e-06,-1.032694405420017e-06,1.3142463487254233e-05,-4.006495786878686e-09,3.4780511141152954e-13,2.332700776208611e-07
1.268,9.60628423254158e-08,-9.60628419647329e-08,8.324449019612407e-12,7.573578663110357e-06,-7.282987086343004e-07,1.707120801947335e-05,-3.198892639421629e-09,2.7691842127263575e-13,2.5220016948157494e-07
1.302,7.24298136982564e-08,-7.242981342788801e-08,6.2582317499043975e-12,7.617583196360876e-06,-7.097005593741561e-07,1.321457454970529e-06,-2.4119127885924807e-09,2.081822649842157e-13,2.536655204388172e-07
1.329,5.66749554994308e-08,-5.667495528911302e-08,4.88257116729061e-12,7.820563681133545e-06,-4.7311886482959767e-07,6.095510053233299e-06,-1.887276011544908e-09,1.6241434573593826e-13,2.604247705817471e-07
1.365,4.564293551720663e-08,-4.564293534885059e-08,3.920271471617161e-12,8.222755524526495e-06,-3.312918913580831e-07,1.2077833134923419e-05,-1.5199097480541384e-09,1.303927210133912e-13,2.7381775896673233e-07
1.4020000000000001,3.4638449226027e-08,-3.463844909907484e-08,2.965611584246254e-12,8.10692674252528e-06,-3.3046505378917813e-07,-3.4783418018382845e-06,-1.153460354866585e-09,9.864178074279175e-14,2.699606605260918e-07
1.4340000000000002,2.7128207228158442e-08,-2.7128207129357826e-08,2.31528983072023e-12,8.205590277824985e-06,-2.2553279272878548e-07,2.9628689279190626e-06,-9.033692978006675e-10,7.700936459158399e-14,2.7324615625157204e-07
1.47,2.1680896357513635e-08,-2.168089627905686e-08,1.8444582395760684e-12,8.537260039050005e-06,-1.6358290902837256e-07,9.96005288964026e-06,-7.219738462964076e-10,6.134426301845993e-14,2.842907593003652e-07
1.5,1.6133957393306872e-08,-1.6133957335312395e-08,1.3679769339958297e-12,8.351727002168202e-06,-1.6657474366987277e-07,-5.571562669123237e-06,-5.372607789810302e-10,4.549896364336016e-14,2.7811250917220115e-07
1.5350000000000001,1.2191840410108268e-08,-1.2191840366570986e-08,1.0303393393168774e-12,8.404856075381158e-06,-1.1838189138734546e-07,1.5954676640527395e-06,-4.0598828396877014e-10,3.426843803764619e-14,2.7988170731019256e-07
1.569,9.166158242834143e-09,-9.166158210318076e-09,7.720717854077466e-13,8.70574911209392e-06,-9.086132634456828e-08,9.03582692831119e-06,-3.0523306849403546e-10,2.567700641039992e-14,2.8990144543272756e-07
1.6030000000000002,6.15838063227446e-09,-6.158380610578316e-09,5.1693929422229e-13,8.487337829540594e-06,-9.032365196875924e-08,-6.558897373973763e-06,-2.0507407425349238e-10,1.7192714602374952e-14,2.826283497237018e-07
1.635,3.8980918593118045e-09,-3.898091845671042e-09,3.2610717283601625e-13,8.518739171527669e-06,-6.787653972860827e-08,9.429832428550905e-07,-1.2980645850262513e-10,1.0845771401801015e-14,2.836740144118714e-07
1.669,2.019108444003778e-09,-2.0191084369860596e-09,1.6834211850546587e-13,8.804933046432802e-06,-5.642592838762842e-08,8.594410657811825e-06,-6.723631099680321e-11,5.598415097938072e-15,2.9320427044621233e-07
1.702,3.103776295027663e-10,-3.1037762843157576e-10,2.5786569712869744e-14,8.569393380083084e-06,-5.131323767270305e-08,-7.0732632537452875e-06,-1.0335575022439098e-11,8.576032931314042e-16,2.853607995567667e-07
1.735,-1.0813126170237328e-09,1.0813126133174452e-09,-8.952826848425603e-14,8.58939413838988e-06,-4.179249989569066e-08,6.006233725764687e-07,3.6007710034267756e-11,-2.97747340265955e-15,2.8602682480838304e-07
1.768,-2.368911833461429e-09,2.368911825397793e-09,-1.9545865257283855e-13,8.867928148060399e-06,-3.8666643136267153e-08,8.364384674790331e-06,7.888476377608669e-11,-6.500011217187946e-15,2.9530200733041133e-07
1.798,-3.3551825182029344e-09,3.3551825068636953e-09,-2.7584494522680864e-13,8.622651267172495e-06,-2.9617738280525685e-08,-7.365672098735855e-06,1.117275774082575e-10,-9.173731061493384e-15,2.871342871968441e-07
1.8330000000000002,-4.261811724347296e-09,4.261811710044427e-09,-3.491593787510704e-13,8.636164385224454e-06,-2.7226102286617465e-08,4.0579934089967005e-07,1.4191833001694998e-10,-1.1611828623618528e-14,2.8758427402797435e-07
1.87,-5.221697788874427e-09,5.221697771472942e-09,-4.2629872080372056e-13,8.91040458984372e-06,-2.8825407343157094e-08,8.235441580158144e-06,1.7388253572331379e-10,-1.4176395594149642e-14,2.967164728417959e-07
1.9020000000000001,-5.7777450891723236e-09,5.777745070057496e-09,-4.699799971395023e-13,8.65918105837647e-06,-1.6698117126062947e-08,-7.544250194211704e-06,1.923989107197682e-10,-1.562973447522766e-14,2.883507292439365e-07
1.935,-6.3956028061100355e-09,6.3956027851008615e-09,-5.183943146054409e-13,8.668747700149485e-06,-1.8554285793925282e-08,2.8728653973016317e-07,2.129735726187424e-10,-1.7239699001776724e-14,2.8866929841497785e-07
1.956,-7.162977478426025e-09,7.1629774550633715e-09,-5.785259845129044e-13,8.940433774688163e-06,-2.3044284453933614e-08,8.158740977137496e-06,2.385271493625018e-10,-1.9238162724327487e-14,2.9771644469711586e-07
