Time,delta_position_x,delta_position_y,delta_yaw,linear_velocity_x,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
0.333,1.1805246868945574e-07,-2.4622620609093815e-10,4.7631011668488386e-08,5.4190011329875985e-06,9.209208482883622e-06,0.00037708915530922766,0.0004581826720341842,1.804527377284842e-07,2.769956975070901e-14,3.0666664248002466e-07
0.36700000000000005,-3.2512576209065003e-07,-5.763205579434327e-09,2.3586304188866273e-08,-6.015785589794773e-06,6.944124572658213e-06,-0.0003433869886721432,-6.802053784460687e-05,-2.0032566014014764e-07,-8.463845904176669e-14,2.3123934826951851e-07
0.401,-6.019595146788959e-07,-5.971826366746313e-10,9.956700560653148e-08,-4.555180749356103e-06,4.020671740490534e-06,4.386200722038047e-05,-8.779137634137175e-05,-1.5168751895353048e-07,-9.169481003102155e-14,1.3388836895833477e-07
0.43500000000000005,-9.429515351877527e-07,-3.825568750670527e-10,1.029041214293589e-07,-9.223834929324022e-06,2.8808160738795432e-05,-0.00043170570977439334,0.0014709359019467808,-3.071537031464428e-07,-1.4734342312891505e-13,9.59311752601888e-07
0.46900000000000003,5.140933867497921e-08,3.7223823456944416e-07,-2.4274219462307958e-06,9.32986445202334e-06,-8.276266872831894e-05,0.0005571681495900108,-0.0033504753593728035,3.106844862522517e-07,-1.3008696761171645e-13,-2.755996868653021e-06
0.503,1.1680569578231825e-07,5.845565587137003e-09,-1.3241226228327088e-06,1.1023749613368268e-05,-1.1178698141830708e-05,5.0867422262610436e-05,0.002149668786381028,3.6709086212444004e-07,-7.277362690334553e-13,-3.7225064812296264e-07
0.537,-3.346136145943035e-09,1.5499543093433488e-08,2.4697197250731927e-07,1.1456803240680455e-05,-6.216083825399904e-05,0.0006782757470494906,-0.0038226439755361338,3.8151154791438676e-07,-3.9486316188723305e-13,-2.069955913858168e-06
0.5710000000000001,-3.1879767159459504e-09,1.8709651827819584e-08,2.955264873680498e-07,-6.872089428042157e-08,7.344636686622562e-06,-0.00034611183588471097,0.002087251499718366,-2.2884057795336924e-09,4.457457685648013e-15,2.4457640166453134e-07
0.605,-3.2905211333478235e-09,1.9374305493258248e-08,3.055770106627261e-07,-1.1327807760837112e-05,4.7025417689490937e-05,-0.00033836435961784355,0.0011782172315797416,-3.772159984357217e-07,2.9535874651784357e-13,1.5659464090600483e-06
0.639,-3.3051937853301183e-09,1.9469512446690374e-08,3.070167328547426e-07,1.1278175777309074e-05,-3.905542674850245e-05,0.0006788583645088945,-0.0025850103434832848,3.755632533842864e-07,-2.442033722273214e-13,-1.3005457107251319e-06
0.673,-3.307316587264353e-09,1.9483467283976097e-08,3.0722777602681893e-07,-4.1776302057345474e-08,8.302143061111076e-06,-0.00033993850088187447,0.0014221492435319376,-1.3911508585086595e-09,1.616212440159433e-15,2.7646136393499885e-07
0.7070000000000001,-3.3076418270994168e-09,1.948555528041851e-08,3.072593758926073e-07,-1.120367611429385e-05,2.2639095293625815e-05,-0.0003354640466467258,0.0004361833903861939,-3.7308241460595e-07,1.406538657763736e-13,7.538818732777398e-07
0.741,-3.3077027783434687e-09,1.9485908886451853e-08,3.0726474763803575e-07,1.117782381269309e-05,-1.4488629999957795e-05,0.0006721171149245327,-0.0011149467055130214,3.7222153296266547e-07,-8.976384568776865e-14,-4.824713789985946e-07
0.775,-3.3077250938262637e-09,1.9486008695501766e-08,3.072662880832e-07,-1.99884730189028e-08,8.419199150657166e-06,-0.0003362706392105703,0.0006879227973157645,-6.65616151529422e-10,2.277365871182996e-16,2.8035933171688365e-07
0.809,-3.3077419137050867e-09,1.9486071312080355e-08,3.072672653616456e-07,-1.1144638309618842e-05,-2.1090294525809034e-06,-0.00033427751590280774,-0.00030893362626013317,-3.7111645571030723e-07,-1.2906730573201577e-14,-7.023068077094409e-08
0.8430000000000001,-3.307757567849734e-09,1.948612704527619e-08,3.0726813750593616e-07,1.1137558423912118e-05,1.0280674105316252e-05,0.0006691350370429717,0.0003720631699068215,3.7088069551626635e-07,6.350567773761852e-14,3.4234644770703123e-07
0.877,-3.3077729999497762e-09,1.94861815572267e-08,3.07268992471396e-07,-6.244405593195368e-10,8.397432862185871e-06,-0.0003344799659000431,-5.65537910849964e-05,-2.079387062533809e-11,-1.0030696069624426e-17,2.7963451431078956e-07
0.911,-3.3077887096055747e-09,1.9486235292021092e-08,3.07269842302675e-07,-1.1143344986612595e-05,-2.6791691108883817e-05,-0.0003348275072033751,-0.0010482064639719371,-3.7107338805415024e-07,-1.6554453124604796e-13,-8.921633139258312e-07
