Time,linear_velocity_x,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
120.171,-3.20746570044624e-08,1.3473848039293526e-05,-2.9325694028295257e-08,1.190075702285181e-05,4.4259880309187166e-10,-9.72066957365117e-10,4.4867913970847447e-07
120.205,-3.1162399507691686e-08,1.307756638515547e-05,2.739512002314463e-08,-1.190034997411579e-05,4.3001096185524895e-10,-9.444195389603764e-10,4.3548296062567716e-07
120.238,-3.119115664450365e-08,1.3077575891065042e-05,-8.635776820410204e-10,2.854627499098938e-10,4.304081944133722e-10,-9.452908763796194e-10,4.354832771724659e-07
120.272,-3.216453361912155e-08,1.3473877965305142e-05,-2.9230539778315293e-08,1.1900963190393405e-05,4.438402987924193e-10,-9.747902070658311e-10,4.4868013624466127e-07
120.305,-3.1244213702750033e-08,1.3077600447998106e-05,2.76372347258714e-08,-1.1900225744956045e-05,4.311411685164482e-10,-9.468984624469753e-10,4.35484094918337e-07
120.338,-3.126793622819555e-08,1.307761497091551e-05,-7.123881515170633e-10,4.3612364577763285e-10,4.314689298533099e-10,-9.476172179882433e-10,4.354845785314865e-07
120.371,-3.2238736045106996e-08,1.3473922502251847e-05,-2.915314765499833e-08,1.1901127067157257e-05,4.448655117266992e-10,-9.770384264623959e-10,4.4868161932498655e-07
120.405,-3.131174086779087e-08,1.3077648505652057e-05,2.783769301249622e-08,-1.190012001801171e-05,4.3207423300203853e-10,-9.4894439484775e-10,4.3548569523821356e-07
120.437,-3.133130895868227e-08,1.3077666725312074e-05,-5.876303570990169e-10,5.471369374375209e-10,4.323446684852233e-10,-9.495372436893402e-10,4.354863019528921e-07
120.471,-3.229998226841515e-08,1.3473980065815372e-05,-2.9089288580567025e-08,1.1901301516615557e-05,4.457119461189224e-10,-9.788939873984093e-10,4.4868353619165193e-07
120.505,-3.136748070496118e-08,1.3077707301463121e-05,2.8003049953572624e-08,-1.1900083013581089e-05,4.328446478349979e-10,-9.50633093992703e-10,4.35487653138722e-07
120.537,-3.1383633709820793e-08,1.307772930588343e-05,-4.850752210093314e-10,6.607934026332606e-10,4.3306795938400795e-10,-9.511224436820365e-10,4.3548838588591823e-07
120.572,-3.2350539624514545e-08,1.3474047311323833e-05,-2.9036213654467002e-08,1.1901441604816927e-05,4.4641088796960707e-10,-9.804256064955368e-10,4.4868577546708367e-07
120.605,-3.1413482265880035e-08,1.3077776043272164e-05,2.813986061965494e-08,-1.1900038079629708e-05,4.334806867116995e-10,-9.520266607126896e-10,4.354899422409631e-07
120.638,-0.03931357097153261,0.07435963101223876,-1.1805867735150253,2.2326292263121768,0.0005439703537504329,-0.0011907761871302067,0.002476175712707551
120.672,-0.07454013654343736,0.07661290358909136,-1.0578548219791215,0.06766584314872655,0.0010370620470062653,-0.0022551605314164265,0.0025512096895167423
120.705,-0.10604259962366672,0.07435940406516102,-0.9460199123191999,-0.06767265837628635,0.0014834094161092577,-0.003204527220063485,0.0024761681553698623
120.738,-0.13940703544386984,0.07435923073158932,-1.0019350096157094,-5.205212363487273e-06,0.0019605635942682464,-0.004207933481462723,0.0024761623833619243
120.771,-0.17766655081150196,0.07661232370000166,-1.1489343954243876,0.06766044950187232,0.0025121021298204135,-0.005356480555808035,0.0025511903792100558
120.805,-0.20442768782775064,0.05300894037847032,-0.8036377482356962,-0.7088103099558961,0.002903784382206886,-0.006157052125452402,0.0017651977146030619
120.838,-0.2180171592241989,-0.2052478732289621,-0.40809223412757517,-7.755459868091062,0.003080155691541039,-0.0065741631023851,-0.0068347541785244385
120.872,-0.22462478534010116,-0.21148176700789195,-0.1984272106877557,-0.18720401738528092,0.0031264344788370117,-0.006795267196842729,-0.007042342841362802
120.904,-0.2180557108240181,-0.20572773052795534,0.19726950498747967,0.17279388828638462,0.002989107322905033,-0.0066174661200188,-0.006850733426580913
120.938,-0.2180374615058188,-0.1832806846429898,0.0005480275735524985,0.6740854620109772,0.002945938280814641,-0.006636134843551588,-0.006103246798611561
120.971,-0.22461631802702026,-0.1884394025116143,-0.19756325889493886,-0.1549164525112466,0.00299245689069299,-0.006855018612266244,-0.006275032103636757
121.005,-0.21788827485136306,-0.18342665992046114,0.2020433386083243,0.15053281054514017,0.002861595223721926,-0.006667532892143908,-0.006108107775351357
121.038,-0.21789252548187746,-0.10889817873749218,-0.00012764656199405067,2.238092528017086,0.0028291672225483097,-0.006681518910262737,-0.00362630935195849
121.072,-0.2244738393020179,-0.11215388993016032,-0.19763705165586884,-0.09776910488492911,0.0028892665383721122,-0.006894010640630604,-0.0037347245346743387
121.105,-0.21790895153212475,-0.10879129636527013,0.19714377687366788,0.10097878573243804,0.002780129628188967,-0.006702663609492213,-0.0036227501689634956
121.138,-0.2044967797697131,0.19084829171500672,0.40276792079314294,8.998185828236542,0.0026176026907108194,-0.006286540910400683,0.006355248114109724
121.172,-0.2245914006184163,0.02991607227585067,-0.6034420675286245,-4.832799382557239,0.0029001816812214433,-0.006893677659809952,0.0009962052067858274
121.205,-0.2180193161233195,0.02940637910168157,0.1973598947476509,-0.015306101326399438,0.0028219237872183327,-0.006689168078608837,0.0009792324240859964
121.237,-0.21805226425730784,0.05201023625340946,-0.0009894334531028617,0.6787945090608976,0.0028314165305452508,-0.006686346323391615,0.0017319408672385353
