Time,linear_velocity_x,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
0.338,-1.96551725881467e-06,-0.00022156260798574643,6.0377616142963495e-05,-0.00015764464418730823,-4.628131984746593e-08,4.62813969343352e-08,-7.378034845925357e-06
0.372,0.0001523311432160742,0.00015825484881703148,0.004633533347594259,0.011405929633717053,3.5868822309353307e-06,-3.586895767083656e-06,5.269886465607149e-06
0.405,4.407929328609462e-05,-0.0004056380875627815,-0.0032508063042035905,-0.016933721813207594,1.0379137139371576e-06,-1.0379261810341342e-06,-1.3507748315840626e-05
0.438,-5.755891315513507e-06,2.700419769864861e-05,-0.0014965520901383822,0.012992260818661564,-1.355303232810018e-07,1.3553366012027737e-07,8.992397833649988e-07
0.47200000000000003,-4.854616487639648e-06,0.000187293085464189,2.7065310146362127e-05,0.00481348011307929,-1.1430898423780898e-07,1.1431098283681639e-07,6.236859745957494e-06
0.504,-3.3996601295720576e-06,0.00022733883651379505,4.369238312515287e-05,0.0012025751065947762,-8.005047979034431e-08,8.005077411686195e-08,7.570383255909376e-06
0.538,-2.426573014720736e-06,0.0002437071930234233,2.9221835280820466e-05,0.0004915422375263737,-5.7138022668876235e-08,5.713733649783717e-08,8.115449527679997e-06
0.5720000000000001,-1.6714997107837948e-06,0.0002590612413719599,2.2674873992100338e-05,0.00046108253298908714,-3.9358794177323544e-08,3.9357662579025845e-08,8.626739337686266e-06
0.6040000000000001,-9.209784545450562e-07,0.00025554170412077685,2.253817586302518e-05,-0.00010569180934483643,-2.1686460232652423e-08,2.1685465117476212e-08,8.50953874722187e-06
0.638,-2.8293632836032055e-07,0.0002574315293879504,1.916042420975182e-05,5.675150952473081e-05,-6.662414095608096e-09,6.661994579748034e-09,8.572469928618749e-06
0.672,3.592876726306042e-07,0.00026538123186295036,1.9286006035763504e-05,0.00023872980405405337,8.460363163385094e-09,-8.459683153677506e-09,8.837195021036248e-06
0.7050000000000001,9.982758761621793e-07,0.0002560079862256756,1.9188834940888136e-05,-0.00028147884796620885,2.3507207193152076e-08,-2.3504909676479487e-08,8.525065941314999e-06
0.7380000000000001,1.6898591129279185e-06,0.00025267474565641914,2.0768265368340514e-05,-0.00010009731439208611,3.979281244136677e-08,-3.97882492394961e-08,8.414069030358758e-06
0.772,2.5574216711801925e-06,0.00025473927509695946,2.6052929677245463e-05,6.199788109730683e-05,6.022268944500385e-08,-6.021476601653849e-08,8.482817860728751e-06
0.805,3.4059758822882797e-06,0.00023944506032060807,2.5482108441684297e-05,-0.0004592857290195611,8.02052776957339e-08,-8.019340548174938e-08,7.97352050867625e-06
0.8380000000000001,4.487809120815301e-06,0.0002290316439007318,3.248748464045109e-05,-0.00031271520780409243,1.0568154221597032e-07,-1.0566425052723233e-07,7.62675374189437e-06
0.8720000000000001,5.975051066788296e-06,0.0002218424868452139,4.466192029948934e-05,-0.00021589060226780474,1.4070503760347544e-07,-1.4067990314745507e-07,7.387354811945624e-06
0.905,7.345200839414433e-06,0.0001982844548493246,4.114563881760169e-05,-0.000707448408284964,1.7297157412866741e-07,-1.7293825636233646e-07,6.602872346482509e-06
0.9380000000000001,9.084717337864827e-06,0.0001784808867788285,5.223773268619802e-05,-0.0005947017438587414,2.1393665720940385e-07,-2.138927651818203e-07,5.943413529734989e-06
0.9720000000000001,-0.0001500476987255856,0.0021782420234641893,-0.004778751233136649,0.060052886987548376,-3.533622590147131e-06,3.532620372227721e-06,7.253545938135751e-05
1.004,1.0648814842540563e-05,0.00016211767140844615,0.004825721128171956,-0.0605442748365088,2.507893080332384e-07,-2.506986396160607e-07,5.398518457901257e-06
1.038,8.899241291292798e-06,0.00018526578363643043,-5.253974628371667e-05,0.000695138505344873,2.0958646595505485e-07,-2.0950827011825186e-07,6.169350595093134e-06
1.071,7.520845343545017e-06,0.00021265668934892967,-4.1393271704137537e-05,0.0008225497210960733,1.771249687980067e-07,-1.7705653805246444e-07,7.0814677553193584e-06
1.105,5.933799395036062e-06,0.00022448361865168954,-4.765903749276142e-05,0.00035516304212492104,1.3974914141341725e-07,-1.3969311701009423e-07,7.475304501101262e-06
1.138,4.828037255918899e-06,0.00023918737992837804,-3.3206070243758645e-05,0.0004415543926933482,1.1370779884648948e-07,-1.1366045926500873e-07,7.96493975161499e-06
1.171,4.046062733067559e-06,0.0002588610857813627,-2.3482718403944145e-05,0.0005908019775671065,9.529187048465331e-08,-9.52506181999388e-08,8.620074156519377e-06
1.204,3.2126482448648897e-06,0.00026089187712128404,-2.502746210818826e-05,6.0984724922563314e-05,7.56641527326957e-08,-7.5630088375331e-08,8.68769950813876e-06
1.238,2.6567794889414316e-06,0.00026847234187471833,-1.6692755433136878e-05,0.0002276415841872157,6.25729070543002e-08,-6.25436339184484e-08,8.940128984428121e-06
1.272,2.2770933242972934e-06,0.00028295652745472975,-1.1401986926250396e-05,0.00043496052792827084,5.363096828270506e-08,-5.360489407178696e-08,9.422452364242501e-06
1.305,0.03370931457865915,-0.0003909696324553117,1.0122233479079537,-0.02023802282012136,0.0007939331743645535,-0.0007935500355715087,-1.301928876076188e-05
1.338,0.06705426616983491,4.62236484800802e-05,1.0013498976329056,0.013128927355417173,0.0015792756876709148,-0.0015785316771943603,1.539247494386671e-06
1.3719999999999999,0.10312031068916469,4.775419991474937e-05,1.0830643999798732,4.596250554562066e-05,0.0024287142875949502,-0.0024275625022674727,1.5902148571611542e-06
1.405,0.13378084366432114,4.6091026892006874e-05,0.9207367259806739,-4.994513581809298e-05,0.003150843433681543,-0.003149339346742176,1.534831195503829e-06
1.437,0.16714391147188515,4.474212769632175e-05,1.0018939281550754,-4.0507483353907596e-05,0.003936625586286819,-0.003934734496534266,1.4899128522875145e-06
1.472,0.20109601554257908,-0.06428960049381849,1.0195827048256436,-1.9319622408863306,0.004731208677540012,-0.00473906358331035,-0.0021408436964441557
1.504,0.21801433169764167,-0.3368385602037205,0.5080575421940717,-8.184653444741802,0.005094793922747159,-0.0051718797268643785,-0.011216724054783894
1.538,0.21801416981064858,-0.3368413244378319,-4.861471263922262e-06,-8.301003337493626e-05,0.005036459113404065,-0.005228696428515773,-0.011216816103779803
1.572,0.22462080057871062,-0.34705764323522265,0.19839732036222318,-0.30679636028200497,0.005127402620444473,-0.005445880520253651,-0.011557019519732915
1.605,0.2180112453014571,-0.24595153276226822,-0.1984851434610665,3.0362195337223548,0.004924110455379482,-0.005334525934372366,-0.008190186040983533
1.638,0.2180153815013387,-0.2460354973834503,0.00012421020665463032,-0.002521460095557655,0.004880340099256176,-0.005374784730587094,-0.008192982062868896
1.6720000000000002,0.22462350511460405,-0.2534475987564558,0.19844215054850894,-0.2225856268169817,0.004982037074172904,-0.005579320458559182,-0.008439805038589978
1.705,0.20634482558071937,-0.22126478946355463,-0.5489092953118522,0.9664507295165511,0.004535975555725523,-0.005161321341123616,-0.00736811748913637
1.737,0.20627223965689667,-0.2203535091936134,-0.00217975747215312,0.027365773872108784,0.004496320223820223,-0.005192707108150203,-0.007337771856147327
1.772,0.2124098316951408,-0.23092950261523856,0.18431207322054435,-0.3175974000488035,0.004589797819403224,-0.0053818526684973065,-0.007689952437087445
1.8050000000000002,0.17258001116507266,-0.02426775798546042,-1.1960907066086528,6.206058397290635,0.003710542165722088,-0.004388496306914299,-0.000808116340915832
1.838,0.18341714847871546,-0.1886770476340748,0.32543955896825233,-4.937215905363796,0.003926977420704155,-0.004678016359445443,-0.006282945686214692
1.872,0.18918039984726628,-0.19518826726262323,0.17307061166819296,-0.19553212097743003,0.00401944781822164,-0.004850794962827965,-0.006499769299845354
1.905,0.20565490109470314,-0.01633740909664985,0.49472976719029577,5.3708966416208215,0.004350884392409476,-0.0052885847953592505,-0.00054403572291844
1.9380000000000002,0.21799359024390616,-0.16517765361717174,0.3705312056817725,-4.469677012628284,0.004594955637706059,-0.005619789966922439,-0.005500415865451819
1.972,0.22508333077635653,-0.1720275868637748,0.21290512109460577,-0.2057037010991914,0.004711742614098442,-0.0058291057596330615,-0.005728518642563702
2.004,0.2185459480704851,-0.12180023642181928,-0.19631779897511786,1.5083288421007666,0.004547152838580666,-0.005682121095324799,-0.004055947872846582
2.037,0.21843136083555784,-0.11861096593359134,-0.003441058105924066,0.09577388853537351,0.004521999769349764,-0.005697288532811221,-0.0039497451655885925
