Time,linear_velocity_x,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
0.338,-1.96551725881467e-06,-0.00022156260798574643,6.0377616142963495e-05,-0.00015764464418730823,-6.545172471793471e-08,2.414523174653967e-13,-7.378034845925357e-06
0.372,0.0001523311432160742,0.00015825484881703148,0.004633533347594259,0.011405929633717053,5.0726270690323424e-06,-2.405983466312561e-11,5.269886465607149e-06
0.405,4.407929328609462e-05,-0.0004056380875627815,-0.0032508063042035905,-0.016933721813207594,1.467840466358153e-06,-1.3008028975292374e-11,-1.3507748315840626e-05
0.438,-5.755891315513507e-06,2.700419769864861e-05,-0.0014965520901383822,0.012992260818661564,-1.9167118078454972e-07,2.906932042479353e-12,8.992397833649988e-07
0.47200000000000003,-4.854616487639648e-06,0.000187293085464189,2.7065310146362127e-05,0.00481348011307929,-1.616587290272652e-07,1.874956348411751e-12,6.236859745957494e-06
0.504,-3.3996601295720576e-06,0.00022733883651379505,4.369238312515287e-05,0.0012025751065947762,-1.1320868231323169e-07,5.314692275626511e-13,7.570383255909376e-06
0.538,-2.426573014720736e-06,0.0002437071930234233,2.9221835280820466e-05,0.0004915422375263737,-8.080488138957833e-08,-2.5439826481607806e-13,8.115449527679997e-06
0.5720000000000001,-1.6714997107837948e-06,0.0002590612413719599,2.2674873992100338e-05,0.00046108253298908714,-5.566094036523477e-08,-6.411812274047798e-13,8.626739337686266e-06
0.6040000000000001,-9.209784545450562e-07,0.00025554170412077685,2.253817586302518e-05,-0.00010569180934483643,-3.0668582530070314e-08,-6.160564147154732e-13,8.50953874722187e-06
0.638,-2.8293632836032055e-07,0.0002574315293879504,1.916042420975182e-05,5.675150952473081e-05,-9.421779730508812e-09,-2.6973198031006633e-13,8.572469928618749e-06
0.672,3.592876726306042e-07,0.00026538123186295036,1.9286006035763504e-05,0.00023872980405405337,1.1964279490222393e-08,4.4666692774324787e-13,8.837195021036248e-06
0.7050000000000001,9.982758761621793e-07,0.0002560079862256756,1.9188834940888136e-05,-0.00028147884796620885,3.324258664090706e-08,1.5296414720272778e-12,8.525065941314999e-06
0.7380000000000001,1.6898591129279185e-06,0.00025267474565641914,2.0768265368340514e-05,-0.00010009731439208611,5.6272308376811125e-08,3.065944461318201e-12,8.414069030358758e-06
0.772,2.5574216711801925e-06,0.00025473927509695946,2.6052929677245463e-05,6.199788109730683e-05,8.516214148140257e-08,5.359469042012491e-12,8.482817860728751e-06
0.805,3.4059758822882797e-06,0.00023944506032060807,2.5482108441684297e-05,-0.0004592857290195611,1.1341899659273137e-07,8.07097272516944e-12,7.97352050867625e-06
0.8380000000000001,4.487809120815301e-06,0.0002290316439007318,3.248748464045109e-05,-0.00031271520780409243,1.4944404325690948e-07,1.1800226277441754e-11,7.62675374189437e-06
0.8720000000000001,5.975051066788296e-06,0.0002218424868452139,4.466192029948934e-05,-0.00021589060226780474,1.9896919977978175e-07,1.7204448409332072e-11,7.387354811945624e-06
0.905,7.345200839414433e-06,0.0001982844548493246,4.114563881760169e-05,-0.000707448408284964,2.4459518688374644e-07,2.2860599402562734e-11,6.602872346482509e-06
0.9380000000000001,9.084717337864827e-06,0.0001784808867788285,5.223773268619802e-05,-0.0005947017438587414,3.025210858458202e-07,3.0172287557407074e-11,5.943413529734989e-06
0.9720000000000001,-0.0001500476987255856,0.0021782420234641893,-0.004778751233136649,0.060052886987548376,-4.996588318214045e-06,-6.944037353197703e-10,7.253545938135751e-05
1.004,1.0648814842540563e-05,0.00016211767140844615,0.004825721128171956,-0.0605442748365088,3.5460552864213335e-07,6.309942717274936e-11,5.398518457901257e-06
