Time,linear_velocity_x,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,wheelRight_velocity,wheelLeft_velocity,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
0.505,-4.555180749356103e-06,4.020671740490534e-06,4.386200722038047e-05,-8.779137634137175e-05,-4.233527010116861e-06,-4.876834488595346e-06,-1.516875189535578e-07,-1.018831222566906e-14,1.3388836895833477e-07
0.537,-4.0718697231607435e-06,8.63415594276306e-06,1.4513844630491282e-05,0.00013854306913731312,-3.3811372477396984e-06,-4.7626021985817885e-06,-1.3559326178124706e-07,-3.7645503189596443e-14,2.8751739289400996e-07
0.5720000000000001,9.32986445202334e-06,-8.276266872831894e-05,0.0004024544797352577,-0.0027446493895219816,2.7088509537578233e-06,1.5950877950288856e-05,3.106844862521368e-07,-2.9719502914256483e-13,-2.755996868653021e-06
0.605,1.1023749613368268e-05,-1.1178698141830708e-05,5.0867422262610436e-05,0.002149668786381028,1.0129453762021814e-05,1.1918045464714726e-05,3.67090862123995e-07,-9.253538356959176e-13,-3.7225064812296264e-07
0.638,3.270241046128665e-07,2.9723678773551897e-06,-0.00032122298825091293,0.00042495693751308993,5.648135348012817e-07,8.923467442445132e-08,1.0889902683570013e-08,-2.8949147686453394e-14,9.897985031592782e-08
0.672,-6.872089428042157e-08,7.344636686622562e-06,-1.1884234200999641e-05,0.00013129936364166282,5.188500406493834e-07,-6.562918292102266e-07,-2.28840577953096e-09,5.687387748525489e-15,2.4457640166453134e-07
0.7050000000000001,-6.027458556292078e-08,7.790783877885536e-06,2.5364290442945315e-07,1.3397813551440676e-05,5.629881246679221e-07,-6.835372957937637e-07,-2.0071436992402525e-09,4.482812793835796e-15,2.594331031335884e-07
0.7380000000000001,-4.963198352803622e-08,7.969990940988487e-06,3.1959765870524197e-07,5.381593486575096e-06,5.879672917510428e-07,-6.872312588071152e-07,-1.65274505148039e-09,3.2577617197424827e-15,2.6540069833491664e-07
0.772,-4.1776302057345474e-08,8.302143061111076e-06,2.3590635047119352e-07,9.974538141819499e-06,6.223951428315406e-07,-7.059477469462317e-07,-1.3911508585075887e-09,2.365379699839281e-15,2.7646136393499885e-07
0.805,-3.272336095787947e-08,8.114188393765558e-06,2.718600930770572e-07,-5.644284304670235e-06,6.164117105433652e-07,-6.818584324591242e-07,-1.0896879198962743e-09,1.5549908188584322e-15,2.702024735123931e-07
0.8370000000000001,-2.5852301600760764e-08,8.15046529366802e-06,2.063381188323935e-07,1.089396393467355e-06,6.261849218926809e-07,-6.778895250942025e-07,-8.60881643304755e-10,9.95174407162011e-16,2.714104942791451e-07
0.8720000000000001,-1.99884730189028e-08,8.419199150657166e-06,1.7609094840414304e-07,8.070085795469827e-06,6.535474590336705e-07,-6.93524405071476e-07,-6.656161515292034e-10,5.859472606064583e-16,2.8035933171688365e-07
0.905,-1.3197030055343765e-08,8.178460301881531e-06,2.0394723614291394e-07,-7.229394858127159e-06,6.410797940951788e-07,-6.674738542058664e-07,-4.394611008428659e-10,2.653199728232349e-16,2.72342728052655e-07
0.9380000000000001,-7.0798857067254436e-09,8.171644652735348e-06,1.8369802848703667e-07,-2.0467414853403853e-07,6.466516865121023e-07,-6.608114579255532e-07,-2.357601940339436e-10,7.820194401283698e-17,2.721157669360871e-07
0.9720000000000001,-6.244405593195368e-10,8.397432862185871e-06,1.93857211633811e-07,6.780426710225933e-06,6.711701884155503e-07,-6.724190695341893e-07,-2.079387062534048e-11,1.1558003701624852e-18,2.7963451431078956e-07
1.005,6.411003259796797e-09,8.113584141381694e-06,2.1127458916265262e-07,-8.523985609735062e-06,6.554977345703323e-07,-6.426757280507388e-07,2.134864085512276e-10,4.6757436443245475e-17,2.7018235190801043e-07
1.038,1.4181087535489864e-08,8.059408372905762e-06,2.3333586413492692e-07,-1.6268999542321972e-06,6.589337573679508e-07,-6.305715822969711e-07,4.722302149317548e-10,2.3071004454661383e-16,2.683782988177619e-07
1.072,2.4056735182487984e-08,8.224344491222455e-06,2.9656599540534893e-07,4.953036586086894e-06,6.820042944802843e-07,-6.338908241153082e-07,8.010892815766162e-10,6.082517980916131e-16,2.738706715577078e-07
1.105,3.43219033174231e-08,7.87799641737801e-06,3.082633073554089e-07,-1.0400843058391766e-05,6.645616167076638e-07,-5.959178100728176e-07,1.1429193804695825e-09,1.175363197218675e-15,2.6233728069868776e-07
1.138,4.7588220891430655e-08,7.740314809021523e-06,3.983879151353619e-07,-4.134582833528116e-06,6.668134056131525e-07,-5.716369638302911e-07,1.5846877556833228e-09,2.0402199468153794e-15,2.577524831404167e-07
1.172,6.642344708297088e-08,7.783319043329238e-06,5.656224081543611e-07,1.291418447679115e-06,6.8908897054931e-07,-5.562420763833682e-07,2.21190078786028e-09,3.4203772464752802e-15,2.591845241428636e-07
1.205,8.595048916837177e-08,7.308052665524757e-06,5.863976602222487e-07,-1.4272263597732143e-05,6.705947024103525e-07,-4.986937240736088e-07,2.862151289302149e-09,5.143312295052982e-15,2.4335815376197443e-07
1.238,1.130741331198451e-07,6.988371996201153e-06,8.145238423865863e-07,-9.60002009980794e-06,6.721438928159374e-07,-4.4599562657624717e-07,3.765368632883038e-09,7.665140589697524e-15,2.327127874734984e-07
1.272,1.5274966436863193e-07,6.765072195128943e-06,1.1914573948584634e-06,-6.705699731898199e-06,6.939554399789473e-07,-3.884561112416835e-07,5.086563823462396e-09,1.1518702841987787e-14,2.2527690409779383e-07
1.305,1.923627382708135e-07,6.030444171050523e-06,1.1895817988643112e-06,-2.2060901623976565e-05,6.747982719548553e-07,-2.9007279541322834e-07,6.405679184398414e-09,1.5869265390100338e-14,2.0081379089598245e-07
1.338,2.4474683137011476e-07,5.389499487836765e-06,1.5730958888679057e-06,-1.9247588084497228e-05,6.759067903970559e-07,-1.8641312765682643e-07,8.150069484595807e-09,2.1744945867476697e-14,1.794703329449643e-07
1.371,3.142872318751772e-07,4.789330266208793e-06,2.0883003154673406e-06,-1.8023099748587753e-05,6.974336531718805e-07,-6.88591894215262e-08,1.0465764821401257e-08,2.9688605185870374e-14,1.5948469786475284e-07
1.405,-3.823605373421955e-06,5.6268040038643046e-05,-0.00012426103919811206,0.0015459072003734008,6.778378296694881e-07,-8.325048576513401e-06,-1.2732605893398706e-07,-4.90684159199023e-13,1.8737257332868136e-06
1.438,2.5078249863139385e-07,5.348431725032714e-06,0.00012235399015175221,-0.0015291173667750849,6.78657036634011e-07,-1.7709203937122332e-07,8.351057204325966e-09,4.075039433173379e-14,1.781027764435894e-07
1.472,2.0393128895278264e-07,6.200882131592246e-06,-1.406943233591928e-06,2.559911130809405e-05,7.000018594801623e-07,-2.92139281574597e-07,6.790911922040293e-09,3.4445816978961405e-14,2.064893749820218e-07
1.505,1.541210291321175e-07,6.574784393597033e-06,-1.495803598218172e-06,1.1228296156299893e-05,6.801037806198802e-07,-3.718617223556451e-07,5.132230270027836e-09,2.7120644777593766e-14,2.189403203067812e-07
1.538,1.198570880983179e-07,7.010857356121519e-06,-1.02894717819218e-06,1.3095284159894477e-05,6.807256765880394e-07,-4.410115003914036e-07,3.991241033613376e-09,2.1994358912094895e-14,2.334615499588466e-07
1.5710000000000002,9.569855958730883e-08,7.578145521013233e-06,-7.254813366669393e-07,1.7035680627378804e-05,7.019502012683676e-07,-5.105530820937499e-07,3.1867620342046294e-09,1.8336955453673e-14,2.523522458497407e-07
1.605,7.215772552044383e-08,7.620987995326187e-06,-7.069319539599098e-07,1.2865607901787879e-06,6.818367651465388e-07,-5.375213141056511e-07,2.4028522597874265e-09,1.4433908730617406e-14,2.5377890024436204e-07
1.638,5.646367917766615e-08,7.823200267278131e-06,-4.7129268296629664e-07,6.07244059915749e-06,6.823197005599166e-07,-5.693923422045844e-07,1.880240516579386e-09,1.1777502315368681e-14,2.6051256890036176e-07
1.6720000000000002,4.547295885182944e-08,8.22486814141471e-06,-3.300516614365377e-07,1.2062098322419763e-05,7.034624101650062e-07,-6.125164924613473e-07,1.5142495297336166e-09,9.889719017485892e-15,2.7388810910910986e-07
1.705,3.4508164574089576e-08,8.108536662930452e-06,-3.292731014336296e-07,-3.493437792320039e-06,6.831910976085259e-07,-6.141747684603467e-07,1.149121880290587e-09,7.817765254638281e-15,2.700142708755841e-07
1.737,2.7023678310105513e-08,8.206872244349945e-06,-2.2475934726678867e-07,2.9530204630478325e-06,6.83573457858101e-07,-6.295261012378899e-07,8.998884877039912e-10,6.366496404824147e-15,2.732888457368532e-07
