Time,linear_velocity_x,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
0.22,3.14543260259929e-06,-4.476779852043675e-05,-5.758519786184745e-05,0.002092265786402124,1.0474290566651756e-07,-7.807564213247565e-14,-1.490767690730544e-06
0.254,-1.6611054773465247e-05,-7.037009144241456e-05,-0.0005932879091911272,-0.0007688376252846188,-5.531481239543057e-07,1.4727354085054061e-12,-2.343324045032405e-06
0.28700000000000003,-2.266295274419805e-05,-7.563286380515388e-05,-0.00018173867779978386,-0.0001580412120942739,-7.546763263718065e-07,3.843824726596869e-12,-2.5185743647116247e-06
0.319,-4.3818853398142226e-05,-0.0003604603548558872,-0.0006353123319502755,-0.00855337810963163,-1.4591678180380204e-06,1.802704778683976e-11,-1.2003329816701045e-05
0.35400000000000004,0.00018321734311683,0.0003392518033105187,0.006817903799248414,0.02101237712211429,6.101137525265393e-06,-7.752991232929025e-11,1.1297085050240273e-05
0.386,4.523607776367118e-05,-0.0004184475477175114,-0.004143581542136902,-0.022753734265106008,1.5063613893698905e-06,-2.1128310204069686e-11,-1.393430333899313e-05
0.41900000000000004,-6.28026279640091e-06,4.786703186548435e-05,-0.0015470372540562186,0.014003440828318189,-2.0913275107747736e-07,4.2236958301021545e-12,1.5939721611206292e-06
0.453,-5.068269668396392e-06,0.00017456312115247735,3.6396190030165704e-05,0.003804687365975765,-1.687733799344081e-07,2.7835362889221435e-12,5.812951934377496e-06
0.48700000000000004,-3.18409435671621e-06,0.00020636979161345713,5.658184119159705e-05,0.0009551552690984919,-1.0603034207297914e-07,1.076234040846387e-12,6.8721140607281235e-06
0.52,-1.7588540872387574e-06,0.00021922663363395292,4.280000809241599e-05,0.00038609135196684025,-5.856984110464563e-08,1.7946098499519925e-13,7.300246900010633e-06
0.553,-4.675510686396312e-07,0.00023008055659887365,3.8777868426400186e-05,0.0003259436325802021,-1.5569450585509764e-08,-6.876902227185444e-14,7.661682534742493e-06
0.5860000000000001,8.229698339054231e-07,0.00022234350022066468,3.8754381457809433e-05,-0.00023234403538165073,2.7404895467031328e-08,3.2748220358028436e-13,7.4040385573481345e-06
0.619,2.135184297806273e-06,0.00021738177379949304,3.940583975678227e-05,-0.00014900079342857768,7.110163710359085e-08,1.3702129641639824e-12,7.238813067523119e-06
0.654,3.7005432803018252e-06,0.00021472333185106992,4.7007777252118684e-05,-7.983309154423773e-05,1.2322809119063158e-07,3.2613243679109093e-12,7.150286950640629e-06
0.687,5.223733990824327e-06,0.0001954526457849664,4.57414627784535e-05,-0.0005786992812643702,1.7395034179772513e-07,5.791707571539322e-12,6.508573104639382e-06
0.7190000000000001,7.0249582687612475e-06,0.00017891457547989856,5.409081915726488e-05,-0.0004966387478999349,2.3393111016664561e-07,9.246923084896777e-12,5.957855363480623e-06
0.754,9.296925589936927e-06,0.00016374244297657635,6.822724688215253e-05,-0.00045561959469436053,3.0958762182779535e-07,1.4003770925492697e-11,5.452623351119993e-06
