Time,delta_position_x,delta_position_y,delta_yaw,linear_velocity_x,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,wheelRight_velocity,wheelLeft_velocity,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
0.48300000000000004,-3.589855774310813e-07,-1.9178227894656175e-09,8.364986466265491e-08,,,,,,,,,
0.517,-6.923530553870627e-07,-4.960573063428342e-10,1.0111923396489607e-07,-4.555180749356103e-06,4.020671740490534e-06,4.386200722038047e-05,-8.779137634137175e-05,-4.233527010116861e-06,-4.876834488595346e-06,-1.516875189535578e-07,-1.018831222566906e-14,1.3388836895833477e-07
0.551,-1.0330909983036207e-06,-3.714545893096499e-10,1.030977746661086e-07,-4.0718697231607435e-06,8.63415594276306e-06,1.4513844630491282e-05,0.00013854306913731312,-3.3811372477396984e-06,-4.7626021985817885e-06,-1.3559326178124706e-07,-3.7645503189596443e-14,2.8751739289400996e-07
0.5850000000000001,2.636555618273917e-07,3.9657670591886074e-07,-2.965066406108769e-06,9.32986445202334e-06,-8.276266872831894e-05,0.0004024544797352577,-0.0027446493895219816,2.7088509537578233e-06,1.5950877950288856e-05,3.106844862521368e-07,-2.9719502914256483e-13,-2.755996868653021e-06
0.619,2.092319638657969e-07,-1.4456615349267565e-08,-7.508296949161966e-07,1.1023749613368268e-05,-1.1178698141830708e-05,5.0867422262610436e-05,0.002149668786381028,1.0129453762021814e-05,1.1918045464714726e-05,3.67090862123995e-07,-9.253538356959176e-13,-3.7225064812296264e-07
0.653,-2.228895457090374e-09,1.6343130737617173e-08,2.5966391878300833e-07,3.270241046128665e-07,2.9723678773551897e-06,-0.00032122298825091293,0.00042495693751308993,5.648135348012817e-07,8.923467442445132e-08,1.0889902683570013e-08,-2.8949147686453394e-14,9.897985031592782e-08
0.687,-3.249746804989684e-09,1.9032545872654794e-08,3.0041031410002575e-07,-6.872089428042157e-08,7.344636686622562e-06,-1.1884234200999641e-05,0.00013129936364166282,5.188500406493834e-07,-6.562918292102266e-07,-2.28840577953096e-09,5.687387748525489e-15,2.4457640166453134e-07
0.7210000000000001,-3.297253137191092e-09,1.941861904608544e-08,3.062471016615834e-07,-6.027458556292078e-08,7.790783877885536e-06,2.5364290442945315e-07,1.3397813551440676e-05,5.629881246679221e-07,-6.835372957937637e-07,-2.0071436992402525e-09,4.482812793835796e-15,2.594331031335884e-07
0.755,-3.306181495243976e-09,1.9476024015752103e-08,3.0711520220704145e-07,-4.963198352803622e-08,7.969990940988487e-06,3.1959765870524197e-07,5.381593486575096e-06,5.879672917510428e-07,-6.872312588071152e-07,-1.65274505148039e-09,3.2577617197424827e-15,2.6540069833491664e-07
0.789,-3.307465412660804e-09,1.9484431068583774e-08,3.072423600287713e-07,-4.1776302057345474e-08,8.302143061111076e-06,2.3590635047119352e-07,9.974538141819499e-06,6.223951428315406e-07,-7.059477469462317e-07,-1.3911508585075887e-09,2.365379699839281e-15,2.7646136393499885e-07
0.8230000000000001,-3.307667084673227e-09,1.9485709157329723e-08,3.072617061778742e-07,-3.272336095787947e-08,8.114188393765558e-06,2.718600930770572e-07,-5.644284304670235e-06,6.164117105433652e-07,-6.818584324591242e-07,-1.0896879198962743e-09,1.5549908188584322e-15,2.702024735123931e-07
0.8570000000000001,-3.3077099947931288e-09,1.9485944302566338e-08,3.0726528916118723e-07,-2.5852301600760764e-08,8.15046529366802e-06,2.063381188323935e-07,1.089396393467355e-06,6.261849218926809e-07,-6.778895250942025e-07,-8.60881643304755e-10,9.95174407162011e-16,2.714104942791451e-07
0.891,-3.3077298122741183e-09,1.948602645907016e-08,3.0726656843329956e-07,-1.99884730189028e-08,8.419199150657166e-06,1.7609094840414304e-07,8.070085795469827e-06,6.535474590336705e-07,-6.93524405071476e-07,-6.656161515292034e-10,5.859472606064583e-16,2.8035933171688365e-07
0.925,-3.307746077041429e-09,1.9486086300091188e-08,3.0726749891406534e-07,-1.3197030055343765e-08,8.178460301881531e-06,2.0394723614291394e-07,-7.229394858127159e-06,6.410797940951788e-07,-6.674738542058664e-07,-4.394611008428659e-10,2.653199728232349e-16,2.72342728052655e-07
0.9590000000000001,-3.307761620163774e-09,1.9486141700220116e-08,3.0726836508143853e-07,-7.0798857067254436e-09,8.171644652735348e-06,1.8369802848703667e-07,-2.0467414853403853e-07,6.466516865121023e-07,-6.608114579255532e-07,-2.357601940339436e-10,7.820194401283698e-17,2.721157669360871e-07
0.9930000000000001,-3.3077771632861186e-09,1.9486195657059113e-08,3.0726921753725997e-07,-6.244405593195368e-10,8.397432862185871e-06,1.93857211633811e-07,6.780426710225933e-06,6.711701884155503e-07,-6.724190695341893e-07,-2.079387062534048e-11,1.1558003701624852e-18,2.7963451431078956e-07
1.027,-3.3077927064084633e-09,1.9486249502875808e-08,3.072700665403012e-07,6.411003259796797e-09,8.113584141381694e-06,2.1127458916265262e-07,-8.523985609735062e-06,6.554977345703323e-07,-6.426757280507388e-07,2.134864085512276e-10,4.6757436443245475e-17,2.7018235190801043e-07
1.061,-3.3078081385085056e-09,1.9486302460514082e-08,3.0727090321837723e-07,1.4181087535489864e-08,8.059408372905762e-06,2.3333586413492692e-07,-1.6268999542321972e-06,6.589337573679508e-07,-6.305715822969711e-07,4.722302149317548e-10,2.3071004454661383e-16,2.683782988177619e-07
1.095,-3.3078232930527918e-09,1.9486355196107752e-08,3.072717370265702e-07,2.4056735182487984e-08,8.224344491222455e-06,2.9656599540534893e-07,4.953036586086894e-06,6.820042944802843e-07,-6.338908241153082e-07,8.010892815766162e-10,6.082517980916131e-16,2.738706715577078e-07
1.129,-3.307838669641683e-09,1.9486407265567607e-08,3.072725613606094e-07,3.43219033174231e-08,7.87799641737801e-06,3.082633073554089e-07,-1.0400843058391766e-05,6.645616167076638e-07,-5.959178100728176e-07,1.1429193804695825e-09,1.175363197218675e-15,2.6233728069868776e-07
1.163,-3.307853824185969e-09,1.948645877991595e-08,3.072733788938843e-07,4.7588220891430655e-08,7.740314809021523e-06,3.983879151353619e-07,-4.134582833528116e-06,6.668134056131525e-07,-5.716369638302911e-07,1.5846877556833228e-09,2.0402199468153794e-15,2.577524831404167e-07
