Theta_calculated,yaw_world,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,Time,odom_world_velocity_x,odom_world_velocity_y,odom_angular_velocity,odom_yaw_world
-1.5707422146471242,-1.5731021794936744,5.891642509797295e-06,3.1880942995708277e-10,-5.891642501171563e-06,0.000225933285089,4.509700802112922e-05,-0.0002333961562322,7.191910718546183e-07,1.123599709064102e-07,1.1043448057579395e-05,1.2735184950129588e-11,-1.961916951607237e-07,7.523578393464379e-06,-3.3516367938796863e-06,0.802,7.741437683234477e-09,3.3516278534811557e-06,0.0003440527378317,-1.573106077237049
-1.5707346910687308,-1.5730911355600776,7.294189724522533e-06,4.4958268017784064e-10,-7.294189710667356e-06,0.0002014737936873,4.211853497673388e-05,-0.0007345192613103,7.192180597033484e-07,1.1237478369195866e-07,1.1043933596743823e-05,1.7495419620213218e-11,-2.4289651719250857e-07,6.709077329789996e-06,-3.3518802939340665e-06,0.8360000000000001,7.706071600406712e-09,3.351871435679479e-06,0.0003440695567016,-1.5730953582975498
-1.570727981991401,-1.5730800911449403,9.075383897522518e-06,6.202553286399991e-10,-9.075383876326902e-06,0.000180816260184,5.348931450450404e-05,-0.0006203463514528,7.192447677199654e-07,1.1238955755464405e-07,1.1044415137106968e-05,2.369129622192904e-11,-3.022102828564753e-07,6.021181464127499e-06,-3.352122661829399e-06,0.8700000000000001,7.670696182153139e-09,3.352113885352092e-06,0.0003440862955132,-1.5730846389035018
-1.5707219608099368,-1.5730690462495014,-0.0001535961106375,-1.1422326043039216e-08,0.0001535961102128,0.0022245924015457,-0.0048850298659188,0.0613746588997511,7.192713810873319e-07,1.1240431948156965e-07,1.1044895439127345e-05,-6.058087654145421e-10,5.114750447188891e-06,7.407892697147251e-05,-3.3523739796722985e-06,0.904,7.634245414439203e-09,3.3523652870593976e-06,0.0003441035206561,-1.5730735942057523
-1.5706478818829654,-1.573058000874253,1.0686582672432426e-05,1.5863688178282531e-09,-1.0686582554688236e-05,0.0001633455926245,0.0049334142135137,-0.0618993035712063,7.192979506979827e-07,1.124190768782632e-07,1.1045375248430746e-05,5.6298499280937615e-11,-3.558631985448348e-07,5.439408234397495e-06,-3.3526160523367952e-06,0.938,7.598855678446937e-09,3.352607440750965e-06,0.0003441202353857,-1.573062873893047
-1.570642442474731,-1.573046955019472,8.868369354067548e-06,1.3647029836426355e-09,-8.868369249064353e-06,0.0001871555823394,-5.460100055149784e-05,0.0007150147061537,7.193244918188361e-07,1.124338319296106e-07,1.1045854781066566e-05,4.844329723153783e-11,-2.953166955119666e-07,6.232280891904366e-06,-3.352857833907848e-06,0.972,7.563458579796225e-09,3.352849302979712e-06,0.0003441369506967,-1.573052153128501
-1.5706362101938391,-1.5730359086853622,7.426950657103634e-06,1.1891780903557915e-09,-7.426950561900057e-06,0.0002152064714937,-4.328584675567308e-05,0.000842369043672,7.193510101424856e-07,1.1244858544572774e-07,1.1046334109643396e-05,4.22264404688736e-11,-2.4731745327820373e-07,7.1663755007418825e-06,-3.3531063210134154e-06,1.006,7.526980440399996e-09,3.3530978728014444e-06,0.0003441541741778,-1.5730411070199346
-1.5706290438183383,-1.5730248618720957,5.793592348747748e-06,9.691693685436319e-10,-5.793592267684979e-06,0.0002274290844858,-4.904979904972631e-05,0.000367045435197,7.193775087316124e-07,1.1246333784641765e-07,1.1046813266579749e-05,3.436171407445185e-11,-1.92926622154046e-07,7.573388513377506e-06,-3.3533479542637307e-06,1.04,7.491569415517545e-09,3.353339585957921e-06,0.0003441708930338,-1.573030385338614
-1.570621470429825,-1.5730138145798225,4.650037855536024e-06,8.130887127215101e-10,-4.650037784449156e-06,0.0002424855572773,-3.4340975772123834e-05,0.0004521463300749,7.194039896729535e-07,1.1247808940316463e-07,1.1047292273191898e-05,2.8790840217104488e-11,-1.548462579135817e-07,8.074769057334362e-06,-3.353589730373316e-06,1.074,7.456152012464349e-09,3.353581441602774e-06,0.0003441876137411,-1.57301966320598
-1.5706133956607675,-1.5730027668086748,3.832433674914402e-06,7.010714347165591e-10,-3.832433610790505e-06,0.0002625302317154,-2.455267809674541e-05,0.0006019421753206,7.194304547759779e-07,1.1249284036923825e-07,1.1047771147687511e-05,2.4801713117230238e-11,-1.276200389638663e-07,8.742256716125627e-06,-3.353840533299548e-06,1.108,7.419658109950042e-09,3.353832326082586e-06,0.0003442048430076,-1.5730086156883392
